#key_ks,msg_s,show_s(1:系统，2:淡入淡出提示，3:确定对话框，4:大喇叭，5:屏幕提示，6:结拜频道，7:世界频道，10。帮会频道，11.IM消息，),"transform_t(用于对接收到的参数进行转换)编写规则{[index1] = op,[index2] = op}1:物品entry => 物品name 2:物品品质 => 颜色 7.物品附加属性id->名称  9:帮会建筑id =》建筑名  10:时间转换，转换成的格式放在100对应的参数 例子参见 RESULT_BIWU_ENTER_ROOM，11。id转竞技组别名字  12。id转比赛名字，13。数字转星期名，14.帮会职位名字"
key_ks,msg_s,show_t,transform_t
UNIMPLEMENT_TIPS,功能尚未开放，请敬请期待,,
RETURN_LOGIN_CONFIRM,确定返回登入吗？,2,
EXIT_GAME_CONFIRM,确定退出游戏吗？,2,
BAN_LOGIN_CONFIRM,账号已被冻结，请联系客服。
BAN_CHAT_CONFIRM,账号已被禁言，请联系客服。
CHEAT_TXT1,系统检测有外挂行为#br请关闭可疑程序。
GONGGAO,公告:,,
PALYER_FIGHTING,玩家正在战斗中,2,
FIGHT_ON_TIPS,正在战斗中，不能进行此操作,,
BEIBAO_IS_FULL_TIPS,背包已满，请前往熔炼,,
BEIBAO_WILL_FULL_TIPS,背包空间不足20格，请先清理背包，以免不能获得怪物掉落物品,,
NPC_FIGHTING,怪物正在战斗中,2,
TEN_THOUSAND,万,,
A_HUNDRED_MILLION,亿,,
THOUSAND,k,,
FINISHED,已完成,,
NOT_FINISHED,未完成,,
YOU_GET,恭喜你获得,,
YOU_POS,你的位置,,
ITEM_GET,获得%s*%d,,
ITEM_DROP,失去%s*%d,,
ITEM_GET_COLOR,获得#%s%s*%d#rf,,
ITEM_DROP_COLOR,失去#%s%s*%d#rf,,
ITEM_DEBLOCK_GET,恭喜获得了%s,,
ITEM_DEBLOCK_UNLOCK,恭喜解锁了%s,,
TASK_EDIT_QUIT,清除,2,
TASK_EDIT_ACCEPT,领取,2,
TASK_EDIT_TASK_NOT_EXSIT,你现在身上没有所选任务，无法执行清除操作！,2,
TASK_EDIT_TASK_EXSIT,所选任务已经在你身上，无需重复领取！,2,
TASK_EDIT_DIALOG_NONE,对不起没有任务关于%d的对话信息！,2,
TASK_EDIT_STATE_SHOW,显示,2,
TASK_EDIT_STATE_HIDE,隐藏,2,
TASK_EDIT_QUIT_TASK,任务%d已经从你身上成功清除！,2,
TASK_EDIT_ACCEPT_TASK,你已经成功领取任务%d！,2,
TASK_EDIT_OPTION_JUMP,跳转,2,
TASK_EDIT_SHIFT,瞬移,2,
TASK_EDIT_NODE_FILENAME,文件名:,2,
TASK_EDIT_NODE_NUM,对话序号:,2,
TASK_EDIT_NODE_LOAD,载入,2,
TASK_EDIT_NODE_SAVE,保存,2,
TASK_EDIT_NODE_TASKNAME,任务名称:,2,
TASK_EDIT_NODE_NODETYPE,节点类型:,2,
TASK_EDIT_NODE_HEADICON,头顶图标类型:,2,
TASK_EDIT_NODE_NPCNAME,npc名称:,2,
TASK_EDIT_NODE_FRAMETYPE,显示面板:,2,
TASK_EDIT_NODE_SHOW_ORNOT,是否显示:,2,
TASK_EDIT_NODE_CONTENT,内容:,2,
TASK_EDIT_NODE_OPTION,选项:,2,
TASK_EDIT_NODE_OPTION_ADD,添加,2,
TASK_EDIT_NODE_OPTION_DELETE,删除,2,
TASK_EDIT_NODE_OPTION_CONFIRM,确定,2,
TASK_EDIT_NODE_OPTION_OPTION,选项%d,2,
TASK_EDIT_NODE_OPTION_OPERATE,操作%d,2,
TASK_EDIT_NODE_OPTION_JUMP,跳转%d,2,
TASK_DIALOG_GUANBI,返回,,
TASK_CANCEL_TIPS,取消任务#yellow%s,,
TASK_TXT1,当天封魔进度,,
TASK_TXT2,进入跨服服务器会导致圣地挂机停止，是否确定要进入？,,
TASK_TXT3,已完成全部任务,,
TASK_PRIZE,#br#orange奖励%sx%d,,
PANEL_CANCELTASK_SHIMEN,#space放弃后，需要10分钟才能再次接取，你确定要放弃么？,2,
PANEL_CANCELTASK_XIULIAN,放弃修炼任务需要消耗100点善恶值#br当前的善恶值为##heroProperty[goodAndEvil]##点。,2,
MOVIE_ITEM_MOVE_TYPE,移动类型,,
MOVIE_ITEM_MOVE_TIME,移动时间,,
MOVIE_ITEM_HIDE_BUST,隐藏头像,,
MOVIE_ITEM_ADD_RES,预加载资源,,
MOVIE_ITEM_STOP_ACIONT,停止动作,,
MOVIE_ITEM_POS_TYPE,坐标类型,,
MOVIE_ITEM_TIME_TYPE,时间类型,,
MOVIE_ITEM_IS_BG,是否背景图片,,
MOVIE_ITEM_HIDE_IMAGE,隐藏图片,,
MOVIE_ITEM_FILP_IMAGE,对称图片,,
CLIPBOARD_SUCCEED,复制成功!
#登陆,,,
TYPE_ACC,账号,2,
TYPE_ACC_INFO,点击输入账户,2,
TYPE_PWD,密码,2,
TYPE_PWD_INFO,点击输入密码,2,
