#key,msg_s,count(播放次数),优先级（数值越大越高）,show_s(1:系统，2:淡入淡出提示，3:确定对话框，4:大喇叭，5:屏幕提示，6：结拜频道，7:世界频道，10。帮派频道，11.IM消息，23:圣地横幅，24:世界BOSS横幅)","transform_s(用于对接收到的参数进行转换)编写规则{[index1] = op,[index2] = op}1:物品entry => 物品name 2：物品品质 => 颜色 7.物品附加属性id->名称  9:帮派建筑id =》建筑名  10：时间转换，转换成的格式放在100对应的参数 例子参见 RESULT_BIWU_ENTER_ROOM，11。id转竞技组别名字  12。id转比赛名字，13。数字转星期名，14.帮派职位名字"
key_ks,msg_s,count_n,priority_n,show_t,transform_t
RESULT_GET_RIDE,#yellow%s#rf运气真好，打开#yellow%s#rf，竟然得到了#yellow%s#rf。,,,0,
RESULT_TASK_INTIMATE_ACCEPT,角色#yellow%s#rf亲密度达到%d，触发任务,,,0,
RESULT_TASK_ADD_TASK,接受任务：#yellow%s#rf,,,2,
#
RESULT_MINE_ONCE_PRIZE,开采%s%s#rf获得：积分*%s，%s%s#rf*%s,,,1,"[1]=31,[2]=32,[4]=31,[5]=13"
#
RESULT_PET_GET_INTIMATE,#yellow%s#rf角色获得%d点亲密度,,,0,
RESULT_PET_REDUCE_INTIMATE,#yellow%s#rf角色减少%d点亲密度,,,0,
RESULT_WUDOU_MATCH,#rf//6;6;斗技大赛-单人赛制//已经火热开启，现在正在决出#yellow%s#rf比赛，大家可以进行比赛观战。,,1,0,
RESULT_WUDOU_APPLY_NOTICE,#rf距离//6;6;斗技大赛-单人赛制//参赛报名时间截止还有1个小时，请想参赛的玩家尽快报名。,,,0,
RESULT_WUDOU_RANK,#rf本次斗技大赛获得冠军是#yellow%s#rf，亚军是#yellow%s#rf，季军是#yellow%s#rf，祝贺他们！,,,0,
RESULT_WUDOU_CANCEL,#rf本次斗技大赛由于报名人数不足，暂不开启！,,,0,
RESULT_RELIC_MINE_FAILED,#yellow%s#rf占领了#yellow%s#rf的商船，大家快去帮他复仇！,,1,0,
RESULT_WORLDBOSS_OPEN,//6;1;世界BOSS//活动开启了，赶快前去击杀白胡子，有大量宝藏等着您！,,1,0,
RESULT_ROBBER_REFRESH_BOSS,//6;2;圣地//出现了宝藏钥匙，赶紧前去探索吧。,,2,0,
RESULT_JJC_CHAMPION,#yellow%s#rf所向披靡，成为//6;3;竞技场//第一名的王者！,,,22,
RESULT_SKYTOWER_FLOOR,#yellow%s#rf勇闯//6;4;海底逃生//，成为全服首个通过%d层的勇者。,,,0,
RESULT_RANK_IN_THREE,恭喜%s在%s排行中成为全服第%s名。,,,22,"[2]=33"
RESULT_RANK_FIRST,%s超群绝伦，以非凡的实力在%s排行中超越了%s，成为全服第一。,,,22,"[2]=33"
RESULT_LITTLE_THREE,恭喜%s在%s排行中成功超越了%s成为第%s名。,,,0,"[2]=33"
RESULT_WROLDBOSS_KILLER,#yellow%s#rf在//6;1;世界BOSS//活动中对白胡子造成最后致命一击！,,,0,
RESULT_CALL_GOLDEN_HERO,#yellow%s#rf在//6;5;祭坛//中召集成功，获得女神%s%s#rf。,,,0,"[2]=28,[3]=12"
RESULT_CALL_GOLDEN_HERO_MONTHCARD,#yellow%s#rf在//6;5;祭坛//中召集成功，获得女神%s%s#rf。【通过月卡赠送的120抽】,,,0,"[2]=28,[3]=12"
RESULT_INVITE_GOLDEN_HERO,#yellow%s#rf在命运邀请中，意外邀请到女神#orange%s#rf。,,,0,[2]=12
RESULT_CHAMPION_SERVER_FIRST,#yellow%s#rf成为全服首个通过#yellow%s#rf的勇者，获得#yellow%d#rf钻石奖励！,,,0,[2]=11
RESULT_REFRESH_CHAMPION,竞技场可挑战次数已全部恢复。,,,22,
RESULT_REFRESH_SKYTOWER,海底逃生已经重置为第1层。,,,0,
RESULT_REFRESH_ITEMTRADE,市场物品的回收量和库存已经重置。,,,0,
RESULT_REFRESH_HERO,女神召集已重置为绿色法阵，免费转动和挑战次数恢复。,,,0,
RESULT_ROBBER_MAX_PIECE,您拥有%s达到上限数量500，无法再获取,,,2,[1]=13
RESULT_WORLDQUESTION_OPEN,//6;7;科举考试//现在开始了！请还没进入考场的玩家赶快就位。,,1,0,
RESULT_WORLDQUESTION_PREVIEW,//6;7;科举考试//将在10分钟后开启，请各位做好答题准备，答对有奖励哦。,,,0,
RESULT_FACTIONMAP_KILLBOSS,经过大家的齐心协力，最后%s以迅雷不及掩耳之势给予BOSS致命一击，成功击杀BOSS！,,,0,
RESULT_FACTIONMAP_LEAVE,全体公会成员获得通关奖励，副本内成员将在10秒后被送出副本。,,,0,
RESULT_FACTIONMAP_CREATE,我已开启#yellow%s#rf副本了！兄弟们，为了大家的利益冲啊！,,1,0,[1]=14
RESULT_FACTIONMAP_FIRST,%s公会众志成城，齐心协力一举把#yellow%s#rf副本通关！成为全服首次通过#yellow%s#rf副本的公会！,,,0,"[2]=14,[3]=14"
RESULT_WORLDQUESTION_LOTTERY,#yellow%s#rf在科举考试中答题正确，被幸运女神选中，获得答题惊喜#orange%s#rf。,,,0,
RESULT_ITEM_GET,获得%d个%s,,,"2",[2]=15
RESULT_ITEM_DROP,失去%d个%s,,,"2",[2]=15
RESULT_WUDOU_APPLYEND,#rf//6;6;斗技大赛-单人赛制//参赛报名已截止，晚上8点将开启比赛，开启前可押注冠军赢取钻石奖励。,,1,0,
RESULT_ROLE_WU_DOU_POINT,获得斗技积分:%d,,,0,
RESULT_RIDDLE_BOX_OPEN,时空商人刚刚丢弃大量礼物，赶快去拾取啊！,,2,0,
RESULT_SPACE_TIME_ROBBER_OPEN,一群时空盗贼从异界闯进了#yellow%s#rf到处肆意破坏，女神们请速速前去击杀时空盗贼！,,2,0,
RESULT_SPACE_TIME_ROBBER_CLEAR,由于女神们奋勇杀敌，邪恶的时空盗贼们丢盔弃甲，被驱赶回到异界了。,,,0,
RESULT_ONLINE_QUESTION_CLOSE,每日抢答活动已经结束，下次活动开启请留意系统公告！,,2,0,
RESULT_ONLINE_QUESTION_START,每日抢答要开始了，1分钟内在系统频道选出答案的玩家，可以获得礼物一份。,,2,0,
RESULT_WORLDBOSS_DAMAGE,#yellow%s#rf对世界BOSS造成伤害为%s，暂时排在第一名,,,0,
RESULT_WORLDBOSS_BOX,#yellow%s#rf在世界BOSS眼皮底下开启圣地宝箱，获得大量宝藏,,1,0,
RESULT_WORLDBOSS_ENTER,#yellow%s#rf前来挑战世界BOSS,,,0,
RESULT_WORLDBOSS_LEAVE,#yellow%s#rf撤出世界BOSS的地盘,,,0,
RESULT_ROBBER_KICK,#yellow%s#rf被#yellow%s#rf杀得人仰马翻，被赶出了圣地,,,0,
RESULT_ROBBER_GANKTICKET,#yellow%s#rf在圣地夺取了%s！大家快去争夺！,,,0,[2]=29
RESULT_ROBBER_KILLBOSS,#yellow%s#rf在圣地成功抢夺了宝藏钥匙，获得大量宝藏！,,,0,
RESULT_ROBBER_LOSTTICKET,#yellow%s#rf在圣地被击败，丢失了宝藏钥匙,,,0,
RESULT_ROBBER_ENTER_ROOM,#yellow%s#rf进入了圣地,,,0,
RESULT_ROBBER_LEAVE_ROOM,#yellow%s#rf撤出了圣地,,,0,
RESULT_FIRST_RECHARGE,【#yellow%s#rf】通过首次充值获得女神【#magenta%s#rf】！,,,0,[2]=12
RESULT_RECHARGE_GET_PET,恭喜【#yellow%s#rf】通过充值获得了典藏女神【#magenta%s#rf】！,,,0,[2]=12
RESULT_RECHARGE_GET_ITEM,【#yellow%s#rf】通过充值获得了【#magenta%s * 2 #rf】，可进化为史诗品质！,,,0,[2]=13
RESULT_CREATE_FACTION,【#yellow%s#rf】成功创建了【#yellow%s#rf】公会，欢迎各界勇士加入！,,,0,
RESULT_ROBBER_KILL_BOSS,【#yellow%s#rf】在圣地成功获取了宝藏钥匙，获得%s并存入所在公会仓库！,,,0,[2]=15
RESULT_ROBBER_BOSS_KILLED,宝藏钥匙已经成功获取，%s存入您所在公会仓库,,,0,[1]=15
RESULT_QIANGDA_RANK,在线答题前3名抢答成功的玩家为#yellow%s#rf、#yellow%s#rf、#yellow%s#rf，获得%s！,,,0,[4]=15
RESULT_WORLDBOSS_RANK,世界BOSS活动伤害排名前3的玩家分别是：第一名#yellow%s#rf、第二名#yellow%s#rf、第三名#yellow%s#rf，恭喜他们！,,,0,
RESULT_ROLE_ADD_EXP,主角获得%d点经验,,,2,
RESULT_RELIC_MINE_LEAVE,战斗过程中，对方刚好撤离了商船,,,0,
RESULT_ROBBER_MUTIL_OPEN,圣地受到不明空间力量冲击，%d分钟内杀怪奖励为平时的2倍！,,,0,
RESULT_ROBBER_MUTIL_CLOSE,圣地受到冲击而产出的变化已恢复正常，杀怪奖励恢复正常！,,,0,
RESULT_CAMPAGIN_MUTIL_OPEN,世界受到战斗之神的眷顾，在60分钟内所有关卡的经验值为平时的2倍！,,,0,
RESULT_CAMPAGIN_MUTIL_CLOSE,随着时间的流逝，关卡中的收益恢复了正常！,,,0,
RESULT_LOTTERY_PET,【#yellow%s#rf】通过幸运轮盘获得了女神【#yellow%s#rf】！,,,0,
RESULT_MYSTICAL_STONE,【#yellow%s#rf】通过召集石获得获得了女神【#yellow%s#rf】！,,,0,[2]=12
RESULT_FACTION_CHANGE_LEADER,会长【#yellow%s#rf】由于3天不上线，现由【#yellow%s#rf】继承成为新会长！,,,0,
RESULT_MAGIC_STONE_INCREASE_BEGIN,异界大陆受到幸运女神的眷顾，所有冒险者天赋石的升级概率得到提升！,,,0,
RESULT_MAGIC_STONE_INCREASE_END,幸运女神离去，天赋石的升级概率恢复正常！,,,0,
RESULT_SACRIFICE_INCREASE_BEGIN,异界大陆受到幸运女神的眷顾，所有冒险者御灵的升级概率得到提升！,,,0,
RESULT_SACRIFICE_INCREASE_END,幸运女神离去，御灵的升级概率恢复正常！,,,0,
RESULT_LOSTTEMPLE_PICKCOUNT,魔盒捡取已达7次，请攻击其他玩家获得魔盒！,,,0,
RESULT_LOSTTEMPLE_MAXCOUNT,您已获得10个魔盒奖励，给其他小伙伴留点奖励吧,,,0,
RESULT_NOT_ACTIVE_TIME,不在活动时间！,,,2,
RESULT_ZHENYING_END,【%s】在#yellow%s、%s、%s#rf的英勇带领下打败了【%s】获得了伟大的胜利,,,0,"[1] = 19, [5] = 19"
RESULT_ZHENYING_BEGIN,//6;8;众神之战//已经开始，各位神选者可以参与其中为阵营出一份力，收获更大奖励。,,1,0,
RESULT_FACTIONWAR_NOTICE_APPLY,距离公会赛-预选赛的参赛报名时间截止还有1个小时，请要参赛的公会尽快报名！会长或副会长可为公会报名。,,,0,
RESULT_FACTIONWAR_APPLY_END,公会赛参赛报名已截止，晚上8点将开启比赛，请成功报名的公会成员准时参加比赛！,,,0,
RESULT_FACTIONWAR_START1,公会赛淘汰赛1/8赛已经火热开启，请获得资格的公会成员迅速进入活动，为公会抢夺战旗展现公会实力！,,1,0,
RESULT_FACTIONWAR_START2,公会战淘汰赛1/4赛已经火热开启，请获得资格的公会成员迅速进入活动，为公会抢夺战旗展现公会实力！,,1,0,
RESULT_FACTIONWAR_START3,公会战冠军赛半决赛已经火热开启，请获得资格的公会成员迅速进入活动，为公会抢夺战旗展现公会实力！,,1,0,
RESULT_FACTIONWAR_START4,公会战冠军赛决赛已经火热开启，请获得资格的公会成员迅速进入活动，为公会抢夺战旗展现公会实力！,,1,0,
RESULT_FACTIONWAR_TWO,恭喜#yellow %s#rf 、#yellow %s#rf 、#yellow %s#rf 和#yellow %s#rf以强大实力获得了进入半决赛的资格！半决赛将在周日晚上8点开始！敬请各位关注！,,,0,
RESULT_FACTIONWAR_THREE,恭喜%s、%s在半决赛中获得胜利，争夺冠军！%s、%s争夺季军,,,0,
RESULT_FACTIONWAR_SENIOR,第一阶段比赛已经火热结束，请参赛双方公会前往第二阶段布置精英赛！,,,0,
RESULT_FACTIONWAR_FOUR_1,经过这次公会战火热比拼，#yellow %s #rf最终技高一筹成为本次公会战冠军，获得亚军、季军的公会分别是#yellow %s #rf、#yellow %s #rf，祝贺他们！,,,0,
RESULT_MONSTER_SIEGE_OPEN,//6;9;魔物攻城//开始了！深渊魔王和他的将领正对我们发起了进攻！英勇的女神请前往战场抗敌，成为守护英雄！,,1,0,
RESULT_MONSTER_SIEGE_FAIL,由于无法抵御深渊魔王的猛烈攻势，全体女神无法获得击退奖励！请各位好好提升实力，争取下次成功击退深渊魔王！,,,0,
RESULT_MONSTER_SIEGE_SUCCESS,通过大家的努力，成功将深渊魔王和他的将领击退了！参与战斗的玩家将会获得击退奖励！,,,0,
RESULT_MONSTER_SIEGE_RANK,#yellow%s%s%s%s%s#rf在这次抵御深渊魔王的进攻中表现突出，成为这次的守护英雄获得英雄奖励！,,,0,"[1] = 18,[2] = 18,[3] = 18, [4] = 18, [5] = 18"
RESULT_BLACK_ROLE_EXIST,角色已经在黑名单里了！,,,2,
RESULT_BLACK_ROLE_TOO_MUCH,黑名单数量已经到了最大！,,,2,
RESULT_BLACK_ROLE_NOT_EXIST,黑名单里没有这个玩家！,,,2,
RESULT_BLACK_ROLE_ADD_OK,加入黑名单成功,,,2,
RESULT_BLACK_ROLE_REMOVE_OK,删除黑名单成功,,,2,
RESULT_FACTION_LEAVE_UNION,%s公会离开了联盟！,,,0,
RESULT_FACTION_ADD_UNION,%s公会加入了联盟！,,,0,
RESULT_FACTION_LEAVE_UNION,%s公会离开了联盟！,,,0,
RESULT_FACTION_ADD_UNION,%s公会加入了联盟！,,,0,
LEAGUE_COMMING,跨服天梯将在22点开始，敬请期待,,,0,
LEAGUE_CLOSING,跨服天梯将在23:00关闭，请还在对战的玩家及时退出,,,0,
LEAGUE_HAVE_CLOSE,跨服天梯已经关闭，每晚22点开放一小时,,,0,
RESULT_WUDOUTEAM_MATCH,#rf//6;6;斗技大赛-组队赛制//已经火热开启，现在正在决出#yellow%s#rf比赛，大家可以进行比赛观战。,,1,0,
RESULT_WUDOUTEAM_APPLY_NOTICE,#rf距离//6;6;斗技大赛-组队赛制//参赛报名时间截止还有1个小时，请想参赛的玩家尽快报名。,,,0,
RESULT_WUDOUTEAM_RANK,#rf本次组队斗技大赛获得冠军是#yellow%s#rf，亚军是#yellow%s#rf，季军是#yellow%s#rf，祝贺他们！,,,0,
RESULT_WUDOUTEAM_CANCEL,#rf本次组队斗技大赛由于报名人数不足，暂不开启！,,,0,
RESULT_WUDOUTEAM_APPLYEND,#rf//6;6;斗技大赛-组队赛制//参赛报名已截止，晚上8点将开启比赛，开启前可押注冠军赢取钻石奖励。,,,0,
RESULT_ROLE_VIP13_LOGIN,侯爵#yellow%s#rf前来异界大陆，大家欢迎！,,,0,
RESULT_ROLE_VIP14_LOGIN,公爵#yellow%s#rf莅临异界大陆，众人赶快迎接！,,,0,
RESULT_ROLE_VIP15_LOGIN,国王#yellow%s#rf百忙之中驾临异界大陆，众民普天同庆，参拜国王！,,,0,
RESULT_ROLE_VIP16_LOGIN,统治世界各大国家的伟大#yellow%s#rf大帝来临了，献出你们最高的敬意吧！,,,0,
RESULT_FACTIONWARSERVER_PRESTART,跨服公会战将在一个小时候开始，请相关的公会成员准时参加比赛！,,,0,
RESULT_FACTIONWARSERVER_START,跨服公会赛已经火热开启，请获得资格的公会成员迅速进入活动，为公会抢夺战旗展现公会实力！,,,0,
RESULT_FACTIONWARSERVER_END,本届跨服公会战4强已诞生，一起祝贺他们。,,,0,
RESULT_FACTIONWARSERVER_FINALEND,本届跨服公会战冠军已诞生，一起祝贺他们。,,,0,
RESULT_RUNMAN_PRESTART,奇异梦境还有十分钟就开始啦。请神选者进入活动场景内准备。,,,0,
RESULT_RUNMAN_NOTSTART,当前活动还未开启，请做好准备耐心等待。,,,22,
RESULT_RUNMAN_START,奇异梦境活动正式开启，各位神选者来体验奇异之旅吧。,,1,0,
RESULT_RUNMAN_RIGHTDOOR,恭喜少爷选择了正确的门，前进了一关,,,0,
RESULT_RUNMAN_WRONGDOOR,很遗憾，少爷选择了错误的门。,,,0,
RESULT_RUNMAN_DROP5,%s脚一滑倒退了5关迷宫，让我们在世界频道为他加油吧！,,,0,
RESULT_RUNMAN_FIRST,恭喜%s以最快的速度达到梦境的%d关。,,,0,
RESULT_RUNMAN_RISE10,%s有一股一步登天的气势，没有选错门前进了10关。,,,0,
RESULT_RUNMAN_END,奇异梦境活动已圆满结束!,,,0,
RESULT_USE_ITEM,无敌幸运星#yellow%s#rf在打开#yellow%s#rf的时候，获得了#yellow%s#rf！,,,0,
RESULT_DEAD_FIELD_GATES,恭喜你已经通过第#red %s#rf区！,,,2,
RESULT_DEAD_FIELD,%s玩家勇闯死亡领域，成为全服首个通过%s层的勇者。,,,0,
RESULT_DEAD_FIELD_BEGIN,死亡领域活动正式开启！谁才是真正的王者，赶快来试炼吧！,,1,0,
RESULT_DEAD_FIELD_END,死亡领域活动已结束，期待下次更多勇者参与。,,,0,
RESULT_PET_ADVANCEEX,恭喜#yellow%s#rf通过【异界邀请】成功邀请特殊角色%s！,,,0,[2]=20
RESULT_SECRET_LAND_TIME_OUT,当前题目倒计时结束，题目刷新,,,25,
RESULT_ACTIVITY_TIPS,在玩家%s的带领下，正确解开了密语，获得丰厚奖励，希望神选者们的再接再厉,,,0,
RESULT_SECRET_LAND_FAILD,本条答题解谜失败，全体人员受到百分之%d的伤害,,,0,
RESULT_SECRET_LAND_PREPARE,密语境地即将开始！5分钟后密语境地将会开放福利，考验各位神选者的时刻即将到来。,,,0,
RESULT_SECRET_LAND_OPEN,密语境地开始了！英勇的神选者请带上实力和知识挑战自己，获得丰富奖励吧！,,1,0,
RESULT_SECRET_LAND_CLOSE,密语境地活动到此结束，参加本次活动的神选者们可以获得活动奖励。,,,0,
RESULT_HALLOWEEN_GET_PET,【#yellow%s#rf】通过使用【#yellow%s#rf】获得了女神【#yellow%s#rf】！,,,0,"[2]=1,[3]=1"
RESULT_TASK_FINISH,完成任务：#yellow%s#rf,,,2,[1]=3
RESULT_TASK_ACCEPT,任务接受：#yellow%s#rf,,,2,[1]=3
RESULT_CHRISTMAS_DAY_REFRESH,异界大陆正下着纷纷小雪，雪花飘洋，快去收集雪花跟圣诞使者兑换礼物吧！,,2,0,
RESULT_NEWYEAR_DAY_REFRESH,异界大陆出现了一批烟花小偷，他们把制造烟花的材料偷走了，打败他们夺回材料跟元旦使者兑换奖励吧！,,2,0,
RESULT_DEAD_FIELD_PERSONAL,玩家#yellow%s#rf勇闯终极境地，成为全服首个通过%s层的勇者,,,0,
RESULT_ROBBER_NPC_BUSY,怪物战斗中，请稍后!,,,0,
RESULT_SPRING_ONLINE,【#yellow%s#rf】在新年运气爆棚通过在线奖励获得【#yellow%s#rf*#yellow%d#rf】,,,0,
RESULT_SPRING_MONSTER,英勇的【#yellow%s#rf】打跑了正在做坏事的年兽，获得了【#yellow%s#rf*#yellow%d#rf】,,,0,
RESULT_SPRING_PLANT_MONEY_TREE,【%s】在【%s】种下了一颗摇钱树，大家快去摇一摇吧,,2,0,
RESULT_DISCOUNT_NOT_IN_TIME,不在打折活动的时间里,,,0,
RESULT_DISCOUNT_NO_ACT,没有打折活动,,,0,
RESULT_KITE_CREATE,感恩节活动的彩蛋在【%s】刷新，请各位玩家前去收集。,,2,0,
RESULT_GUOZHAN_BUILD,目前没有空闲的工匠可以进行建造！,,,0,
RESULT_GUOZHAN_BUILD_MAX,该建筑物不可再建造！,,,0,
RESULT_GUOZHAN_GOLD_DEC,使用%s异界钻石！,,,0,
RESULT_GUOZHAN_GOLD_ADD,获得%s异界钻石！,,,0,
RESULT_WING_REFINING_ADD,守护幸运值增加%s,,,0,
RESULT_WING_REFINING_REDUCE,守护幸运值减少%s,,,0,
RESULT_GUOZHAN_MAKE_WEAPON,请等待正在制作中的武器完成后再操作！,,,0,
RESULT_WING_REFINING_LVUP,守护幸运升级,,,0,
RESULT_FACITON_BUILD_GET_POINT,获得公会建筑积分%s,,,0,
RESULT_FACITON_BUILD_USE_POINT,使用公会建筑积分%s,,,0,
RESULT_EQUIP_STONE_OFF,请先卸下融合装备的所有宝石,,,0,
RESULT_STAR_EFFECT_ACTIVATED,%s获得%s品质装备共鸣属性,,,0,"[1]=21, [2]=22"
RESULT_FACITON_BUILD_SCHEDULE_FULL,建设进度已满！,,,0,
RESULT_FACITON_BUILD_MAX_LEVEL,建筑已满级！,,,0,
