关键字段类型,#任务判断条件中文,判断条件ID,参数格式,备注,
kType_n,key_s,value_s,param_c,remark_c,
1,主角等级,FIELD_CHECK_LEVEL,"{""op"", value1, value2}",如当前等级为5级，然后就判断5 "op" value1，返回判断值；当且仅当"op"为"><"时，value2才需要，并返回判断语句5 > value1 and 5 < value2的值。下同,
1,是否已记录节点,FIELD_CHECK_TASK_NODE,"{taskid,nodeid}",,
1,部下突破等级,FIELD_CHECK_PET_BREAK_LEVEL,"{""op"", value1, value2,[""entryID""]=petID/nil 为nil时检查所有Pet} ",,
1,背包物品指定数量,FIELD_CHECK_ANY_ITEM_COUNT,"{[1]={[itemId1]=count1,[itemId2]=count2},[2]={""op"", value1, value2} }",如itemId1 的物品满足数量count1，则一个内部初值为0的参数t自加1，然后每当itemIdn的物品满足数量countn的都将t自加1，最后以"op"判断t与value1（和value2）的关系,
1,完成任务,FIELD_CHECK_FINISHTASK,taskId,,
1,指定物品数量,FIELD_CHECK_ITEM_COUNT,"{[1]=itemEntryId, [2]={""op"", value1, value2} }",,
1,是否以找任务所需NPC,FIELD_CHECK_FINISH_NPCTASK,taskId,,
1,通关关卡,FIELD_CHECK_FINISHCARD,{{campainId, ret}, {}},,
1,记录信息,FIELD_CHECK_SAVERECORD,"{recordId, ""NULL""/""string""/number}",,
1,当前地图,FIELD_CHECK_CURRENT_MAP,mapId,,
