索引ID,添加叹号的路径,红点检查事件,红点检查参数,手动关闭红点,特效表现（不填默认红点）,描述,
id_kn,buttonList_t,checkEvent_s,checkParam_t,manualCloseParam_t,show_t1,des_c,
1,"""MainFrame/bottom_group/scene_group/tab1"",""MainFrame/bottom_group/scene_group/tab1"",""FriendsFrame/group_root/tab_wnd/tab_apply""",event_friend_apply,,,,好友申请,
3,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/champion_btn_img""",event_champion_fight,["checkLevel"]=20,,,竞技场,
4,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/cailiao_check""",event_copy_material,["checkLevel"]=20,,,材料副本,
5,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/dohailonggong"",""CopyMainFrame/longwang_group/longwang_wabao""",event_copy_dragon,["checkLevel"]=30,,,秘境宝藏,
6,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/xiaoleiyinsi"",""CopyMainFrame/leiyin_group/leiyin_fight_btn""",event_copy_temple,["checkLevel"]=40,,,皇城天塔,
7,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/tiantingshilian""",event_copy_heaven,["checkLevel"]=55,,,天庭试练,
8,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/boss_btn_img"",""BossMainFrame/bottom_group_root/bottom_group/geren_check""",event_boss_single,["checkLevel"]=20,,,个人BOSS,
9,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/boss_btn_img"",""BossMainFrame/bottom_group_root/bottom_group/quanmin_check""",event_boss_global,["checkLevel"]=20,,,全民BOSS,
10,"""ItemBeiBaoFrame/group_bottom/equips"",""ItemBeiBaoFrame/group_equip/btn_smelte""",event_equippacket_full,,,,熔炼,
11,"""MainContentFrame/activity_wnd/dynamic_beibao""",event_equippacket_full,,,["image"]="zjm_hongDian02",熔炼,
