#name,x,y,w,h,filename,refname
name_ks,x_n,y_n,w_n,h_n,filename_s,refname_s
################################################################################,,,,,,
button_tip_plainclose_default,0,0,57,57,ui/tool/button_tip_plainclose_default.png,
countbutton_default,0,0,97,52,ui/tool/countbutton_default.png,
countbutton_pressed,0,0,97,52,ui/tool/countbutton_pressed.png,
di2,0,0,239,239,ui/tool/di2.png,
frame_bg,0,0,137,145,ui/tool/frame_bg.png,
frame_bg2,0,0,61,61,ui/tool/frame_bg2.png,
itemBg1,0,0,6,6,ui/tool/itemBg1.png,
itemBg2,0,0,6,6,ui/tool/itemBg2.png,
itemBg3,0,0,2,2,ui/tool/itemBg3.png,
itemBg4,0,0,2,2,ui/tool/itemBg4.png,
list_bg,0,0,210,90,ui/tool/list_bg.png,
little_blue_button_default,0,0,82,32,ui/tool/little_blue_button_default.png,
selected,0,0,16,16,ui/tool/selected.png,
singleColor,0,0,2,2,ui/tool/singleColor.png,
singleColor2,0,0,2,2,ui/tool/singleColor2.png,
team_input_bg,0,0,49,46,ui/tool/team_input_bg.png,
titleBackground,0,0,16,16,ui/tool/titleBackground.png,
waiting,0,0,120,120,ui/tool/waiting.png,
################################################################################,,,,,,
10ycz_uiDi01,0,640,402,0,ui/image/10yuanChongZhi/10ycz_uiDi01.png,
bh_ztDi01,0,0,588,415,ui/image/bangHui/bh_ztDi01.png,
bb_ztUiDi01,0,0,580,736,ui/image/beiBao/bb_ztUiDi01.png,
boss_shengSiJieDi01,0,0,588,137,ui/image/boss/boss_shengSiJieDi01.png,
boss_ztBg01,0,0,610,370,ui/image/boss/boss_ztBg01.jpg,
cz_VIPLiBao01,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao01.jpg,
cz_VIPLiBao02,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao02.jpg,
cz_VIPLiBao03,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao03.jpg,
cz_VIPLiBao04,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao04.jpg,
cz_VIPLiBao05,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao05.jpg,
cz_VIPLiBao06,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao06.jpg,
cz_VIPLiBao07,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao07.jpg,
cz_VIPLiBao08,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao08.jpg,
cz_VIPLiBao09,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao09.jpg,
cz_VIPLiBao10,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao10.jpg,
cz_VIPLiBao11,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao11.jpg,
cz_VIPLiBao12,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao12.jpg,
cz_VIPLiBao13,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao13.jpg,
cz_VIPLiBao14,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao14.jpg,
cz_VIPLiBao15,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao15.jpg,
cz_VIPLiBao16,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao16.jpg,
cz_VIPLiBao17,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao17.jpg,
cz_VIPLiBao18,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao18.jpg,
cz_VIPLiBao19,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao19.jpg,
cz_VIPLiBao20,0,0,457,103,ui/image/chongZhi/cz_VIPLiBao20.jpg,

cz_ztBg01,0,0,550,166,ui/image/chongZhi/cz_ztBg01.png,
cz_ztBg02,0,0,576,375,ui/image/chongZhi/cz_ztBg02.png,
dl_chuangJianDi01,0,0,800,1136,ui/image/dengLu/dl_chuangJianDi01.jpg,
dl_chuangJianDi02,0,0,800,571,ui/image/dengLu/dl_chuangJianDi02.png,
dl_dengLuDi01,0,0,800,1136,ui/image/dengLu/dl_dengLuDi01.jpg,
dl_dengLuDi02,0,0,800,1136,ui/image/dengLu/dl_dengLuDi02.jpg,
dl_wenZi01,0,0,564,42,ui/image/dengLu/dl_wenZi01.png,
dl_wu01,0,0,320,568,ui/image/dengLu/dl_wu01.png,
dl_moTu01,0,0,600,700,ui/image/dengLu/dl_moTu01.png,
dl_moTu02,0,0,600,700,ui/image/dengLu/dl_moTu02.png,
dl_renTu01,0,0,600,700,ui/image/dengLu/dl_renTu01.png,
dl_renTu02,0,0,600,700,ui/image/dengLu/dl_renTu02.png,
dl_xianTu01,0,0,600,700,ui/image/dengLu/dl_xianTu01.png,
dl_xianTu02,0,0,600,700,ui/image/dengLu/dl_xianTu02.png,
dz_ztUiDi01,0,0,565,737,ui/image/duanZao/dz_ztUiDi01.png,
fb_ztBg01,0,0,603,562,ui/image/fuBen/fb_ztBg01.png,
fb_ztBg02,0,0,564,729,ui/image/fuBen/fb_ztBg02.jpg,
fb_ztBg03,0,0,564,510,ui/image/fuBen/fb_ztBg03.jpg,
fldt_biaoTiTu01,0,0,550,197,ui/image/fuLiDaTing/fldt_biaoTiTu01.png,
fldt_biaoTiTu02,0,0,550,197,ui/image/fuLiDaTing/fldt_biaoTiTu02.png,
fldt_biaoTiTu03,0,0,550,197,ui/image/fuLiDaTing/fldt_biaoTiTu03.png,
fldt_biaoTiTu04,0,0,550,197,ui/image/fuLiDaTing/fldt_biaoTiTu04.png,
fldt_biaoTiTu05,0,0,550,197,ui/image/fuLiDaTing/fldt_biaoTiTu05.png,
fldt_biaoTiTu06,0,0,565,363,ui/image/fuLiDaTing/fldt_biaoTiTu06.png,
gk_ztBOSSDi01,0,0,610,371,ui/image/guanKa/gk_ztBOSSDi01.jpg,
hd_huSongDi01,0,0,610,853,ui/image/huoDong/hd_huSongDi01.jpg,

hd_huoDongIcon01,0,0,561,187,ui/image/huoDong/hd_huoDongIcon01.png,
hd_huoDongIcon02,0,0,561,187,ui/image/huoDong/hd_huoDongIcon02.png,
hd_huoDongIcon03,0,0,561,187,ui/image/huoDong/hd_huoDongIcon03.png,
hd_huoDongIcon04,0,0,561,187,ui/image/huoDong/hd_huoDongIcon04.png,
hd_huoDongIcon05,0,0,561,187,ui/image/huoDong/hd_huoDongIcon05.png,
hd_huoDongIcon06,0,0,561,187,ui/image/huoDong/hd_huoDongIcon06.png,

jj_ztBg01,0,0,610,562,ui/image/jingJi/jj_ztBg01.jpg,
kfhd_biaoTiTu01,0,0,550,197,ui/image/kaiFuHuoDong/kfhd_biaoTiTu01.png,
kfhd_biaoTiTu02,0,0,550,197,ui/image/kaiFuHuoDong/kfhd_biaoTiTu02.png,
kfhd_biaoTiTu03,0,0,550,197,ui/image/kaiFuHuoDong/kfhd_biaoTiTu03.png,
kfhd_biaoTiTu04,0,0,550,197,ui/image/kaiFuHuoDong/kfhd_biaoTiTu04.png,
kfhd_biaoTiTu05,0,0,550,197,ui/image/kaiFuHuoDong/kfhd_biaoTiTu05.png,
kfhd_biaoTiTu06,0,0,550,197,ui/image/kaiFuHuoDong/kfhd_biaoTiTu06.png,
kfhd_biaoTiTu07,0,0,550,197,ui/image/kaiFuHuoDong/kfhd_biaoTiTu07.png,
kfhd_biaoTiTu08,0,0,550,197,ui/image/kaiFuHuoDong/kfhd_biaoTiTu08.png,
kfhd_xiongMaoDi01,0,0,565,476,ui/image/kaiFuHuoDong/kfhd_xiongMaoDi01.png,
kfhd_kaiFuChongBangDi01,0,0,565,257,ui/image/kaiFuHuoDong/kfhd_kaiFuChongBangDi01.png,
lxsy_ztBg01,0,0,617,824,ui/image/liXianShouYi/lxsy_ztBg01.png,
rc_ztBg01,0,0,564,733,ui/image/riChang/rc_ztBg01.jpg,
rc_ztBg02,0,0,564,733,ui/image/riChang/rc_ztBg02.jpg,
rc_ztBg03,0,0,564,733,ui/image/riChang/rc_ztBg03.jpg,
rc_ztBg04,0,0,610,370,ui/image/riChang/rc_ztBg04.jpg,
ssss_ztBg01,0,0,565,166,ui/image/sanShengSanShi/ssss_ztBg01.jpg,
ssss_ztBg02,0,0,550,737,ui/image/sanShengSanShi/ssss_ztBg02.png,
ssss_ztBg03,0,0,471,459,ui/image/sanShengSanShi/ssss_ztBg03.png,
ssss_ztBg04,0,0,640,552,ui/image/sanShengSanShi/ssss_ztBg04.jpg,
sss_fangWu01,0,0,595,529,ui/image/sanShengSanShi/sss_fangWu01.png,
sss_fangWu02,0,0,595,529,ui/image/sanShengSanShi/sss_fangWu02.png,
