#key,value(根据每个参数的type不同，来定义不同关键字的内容)
key_s,value_t
#字体颜色,
yellow,"['type']=1, ['font']='ht_20_cc', ['color'] = 'yellow'"
red,"['type']=1, ['font']='ht_20_cc', ['color'] = 'red'"
white,"['type']=1, ['font']='ht_20_cc', ['color'] = 'white'"
oldlace,"['type']=1, ['font']='ht_20_cc', ['color'] = 'oldlace'"
blue,"['type']=1, ['font']='ht_20_cc', ['color'] = 'blue'"
black,"['type']=1, ['font']='ht_20_cc', ['color'] = 'black'"
greenyellow,"['type']=1, ['font']='ht_20_cc', ['color'] = 'greenyellow'"
deepskyblue,"['type']=1, ['font']='ht_20_cc', ['color'] = 'deepskyblue'"
darkorchid,"['type']=1, ['font']='ht_20_cc', ['color'] = 'darkorchid'"
darkorange,"['type']=1, ['font']='ht_20_cc', ['color'] = 'darkorange'"
pink,"['type']=1, ['font']='ht_20_cc', ['color'] = 'pink'"
aqua,"['type']=1, ['font']='ht_20_cc', ['color'] = 'aqua'"
chartreuse,"['type']=1, ['font']='ht_20_cc', ['color'] = 'chartreuse'"
ghostwhite,"['type']=1, ['font']='ht_20_cc', ['color'] = 'ghostwhite'"
violet,"['type']=1, ['font']='ht_20_cc', ['color'] = 'violet'"
turquoise,"['type']=1, ['font']='ht_20_cc', ['color'] = 'turquoise'"
orange,"['type']=1, ['font']='ht_20_cc', ['color'] = 'orange'"
magenta,"['type']=1, ['font']='ht_20_cc', ['color'] = 'magenta'"
sandybrown,"['type']=1, ['font']='ht_20_cc', ['color'] = 'sandybrown'"
aquamarine,"['type']=1, ['font']='ht_20_cc', ['color'] = 'aquamarine'"
bisque,"['type']=1, ['font']='ht_20_cc', ['color'] = 'bisque'"
green,"['type']=1, ['font']='ht_20_cc', ['color'] = 'green'"
nor,"['type']=1, ['font']='ht_20_cc', ['color'] = 'white'"
norb,"['type']=1, ['font']='ht_20_cc', ['color'] = 'black'"
imp,"['type']=1, ['font']='ht_20_cc', ['color'] = 'chartreuse'"
ps,"['type']=1,['font']='ht_20_cc', ['color'] = 'deeppink'"
