章节id,地图Id,遇怪使用的关卡起始ＩＤ,向后随机多少关,掉落装备概率,掉落绿色装备概率,装备套装id,经验,银两,多少秒遇怪一次,魂币掉落几率,每天上限
id_kn,mapId_c,begincampaign_n,randnum_n,drop_n,green_n,suitid_n,exp_n,funds_n,second_n,hundrop_n,hunnum_n
1001,50001,1000,10,0.5,0.2,101,1230,180,5,,
1002,50001,1000,10,0.5,0.2,102,1230,230,6,,
1003,50009,1000,10,0.5,0.2,102,1681,280,6,,
1004,50009,1000,10,0.5,0.2,103,2132,310,6,,
1005,50023,1000,10,0.5,0.2,103,2583,350,6,,
1006,50023,1010,10,0.5,0.2,103,3034,380,6,,
1007,50023,1010,10,0.5,0.2,104,3485,390,6,,
1008,50024,1010,10,0.5,0.2,104,3936,410,6,,
1009,50024,1010,10,0.5,0.2,104,3936,430,6,,
1010,50024,1010,10,0.5,0.2,104,3936,440,6,,
1011,50019,1010,10,0.5,0.2,104,5412,460,6,,
1012,50019,1010,10,0.5,0.2,104,5412,480,6,,
1013,50019,1010,10,0.5,0.2,105,5412,490,6,,
1014,50002,1010,10,0.5,0.2,105,6888,500,6,0.04167,30
1015,50002,1020,10,0.5,0.2,105,6888,510,6,0.04167,30
1016,50002,1020,10,0.5,0.2,105,6888,520,6,0.04167,30
1017,50002,1020,10,0.5,0.2,105,6888,530,6,0.04167,30
1018,50002,1020,10,0.5,0.2,105,6888,540,6,0.04167,30
1019,50004,1020,10,0.5,0.2,105,9348,550,6,0.04313,31
1020,50004,1020,10,0.5,0.2,105,9348,560,6,0.04313,31
1021,50004,1020,10,0.5,0.2,105,9348,570,6,0.04313,31
1022,50004,1020,10,0.5,0.2,105,9348,580,6,0.04313,31
1023,50004,1020,10,0.5,0.2,106,9348,590,6,0.04313,31
1024,50010,1020,10,0.5,0.2,106,16531,590,6,0.04458,32
1025,50010,1030,10,0.5,0.2,106,16531,600,6,0.04458,32
1026,50010,1030,10,0.5,0.2,106,16531,600,6,0.04458,32
1027,50010,1030,10,0.5,0.2,106,16531,610,6,0.04458,32
1028,50010,1030,10,0.5,0.2,106,16531,610,6,0.04458,32
1029,50010,1030,10,0.5,0.2,106,16531,620,6,0.04458,32
1030,50010,1030,10,0.5,0.2,106,16531,630,6,0.04458,32
1031,50010,1030,10,0.5,0.2,106,16531,630,6,0.04458,32
1032,50020,1030,10,0.5,0.2,106,22041,640,6,0.04604,33
1033,50020,1030,10,0.5,0.2,106,22041,640,6,0.04604,33
1034,50020,1030,10,0.5,0.2,106,22041,650,6,0.04604,33
1035,50020,1030,10,0.5,0.2,106,22041,660,6,0.04604,33
1036,50020,1030,10,0.5,0.2,106,22041,660,6,0.04604,33
1037,50020,1030,10,0.5,0.2,106,22041,670,6,0.04604,33
1038,50020,1030,10,0.5,0.2,106,22041,680,6,0.04604,33
1039,50020,1030,10,0.5,0.2,107,22041,680,6,0.04604,33
1040,50003,1030,10,0.5,0.2,107,27552,690,6,0.0475,34
1041,50003,1030,10,0.5,0.2,107,27552,690,6,0.0475,34
1042,50003,1030,10,0.5,0.2,107,27552,700,6,0.0475,34
1043,50003,1030,10,0.5,0.2,107,27552,700,6,0.0475,34
1044,50003,1030,10,0.5,0.2,107,27552,710,6,0.0475,34
1045,50003,1030,10,0.5,0.2,107,27552,710,6,0.0475,34
1046,50003,1030,10,0.5,0.2,107,27552,720,6,0.0475,34
1047,50003,1030,10,0.5,0.2,107,27552,720,6,0.0475,34
1048,50003,1030,10,0.5,0.2,107,27552,730,6,0.0475,34
1049,50003,1030,10,0.5,0.2,107,27552,730,6,0.0475,34
1050,50017,1030,10,0.5,0.2,107,39360,740,6,0.04896,35
1051,50017,1030,10,0.5,0.2,107,39360,740,6,0.04896,35
1052,50017,1030,10,0.5,0.2,107,39360,750,6,0.04896,35
1053,50017,1030,10,0.5,0.2,107,39360,750,6,0.04896,35
1054,50017,1030,10,0.5,0.2,107,39360,760,6,0.04896,35
1055,50017,1030,10,0.5,0.2,107,39360,760,6,0.04896,35
1056,50017,1030,10,0.5,0.2,107,39360,770,6,0.04896,35
1057,50017,1030,10,0.5,0.2,107,39360,770,6,0.04896,35
1058,50017,1030,10,0.5,0.2,107,39360,780,6,0.04896,35
1059,50017,1030,10,0.5,0.2,108,39360,780,6,0.04896,35
1060,50006,1030,10,0.5,0.2,108,47232,780,6,0.05042,36
1061,50006,1030,10,0.5,0.2,108,47232,790,6,0.05042,36
1062,50006,1030,10,0.5,0.2,108,47232,790,6,0.05042,36
1063,50006,1030,10,0.5,0.2,108,47232,790,6,0.05042,36
1064,50006,1030,10,0.5,0.2,108,47232,800,6,0.05042,36
1065,50006,1030,10,0.5,0.2,108,47232,800,6,0.05042,36
1066,50006,1030,10,0.5,0.2,108,47232,810,6,0.05042,36
1067,50006,1030,10,0.5,0.2,108,47232,810,6,0.05042,36
1068,50006,1030,10,0.5,0.2,108,47232,810,6,0.05042,36
1069,50006,1030,10,0.5,0.2,108,47232,820,6,0.05042,36
1070,50006,1030,10,0.5,0.2,108,47232,820,6,0.05042,36
1071,50006,1030,10,0.5,0.2,108,47232,830,6,0.05042,36
1072,50006,1030,10,0.5,0.2,108,47232,830,6,0.05042,36
1073,50016,1030,10,0.5,0.2,108,57466,830,6,0.05188,37
1074,50016,1030,10,0.5,0.2,108,57466,840,6,0.05188,37
1075,50016,1030,10,0.5,0.2,108,57466,840,6,0.05188,37
1076,50016,1030,10,0.5,0.2,108,57466,840,6,0.05188,37
1077,50016,1030,10,0.5,0.2,108,57466,850,6,0.05188,37
1078,50016,1030,10,0.5,0.2,108,57466,850,6,0.05188,37
1079,50016,1030,10,0.5,0.2,108,57466,850,6,0.05188,37
1080,50016,1030,10,0.5,0.2,108,57466,860,6,0.05188,37
1081,50016,1030,10,0.5,0.2,108,57466,860,6,0.05188,37
1082,50016,1030,10,0.5,0.2,108,57466,870,6,0.05188,37
1083,50016,1030,10,0.5,0.2,108,57466,870,6,0.05188,37
1084,50016,1030,10,0.5,0.2,108,57466,880,6,0.05188,37
1085,50016,1030,10,0.5,0.2,109,57466,880,6,0.05188,37
1086,50012,1030,10,0.5,0.2,109,67699,880,6,0.05333,38
1087,50012,1030,10,0.5,0.2,109,67699,890,6,0.05333,38
1088,50012,1030,10,0.5,0.2,109,67699,890,6,0.05333,38
1089,50012,1030,10,0.5,0.2,109,67699,890,6,0.05333,38
1090,50012,1030,10,0.5,0.2,109,67699,900,6,0.05333,38
1091,50012,1030,10,0.5,0.2,109,67699,900,6,0.05333,38
1092,50012,1030,10,0.5,0.2,109,67699,900,6,0.05333,38
1093,50012,1030,10,0.5,0.2,109,67699,910,6,0.05333,38
1094,50012,1030,10,0.5,0.2,109,67699,910,6,0.05333,38
1095,50012,1030,10,0.5,0.2,109,67699,910,6,0.05333,38
1096,50012,1030,10,0.5,0.2,109,67699,920,6,0.05333,38
1097,50012,1030,10,0.5,0.2,109,67699,920,6,0.05333,38
1098,50012,1030,10,0.5,0.2,109,67699,920,6,0.05333,38
1099,50012,1030,10,0.5,0.2,109,67699,930,6,0.05333,38
1100,50013,1030,10,0.5,0.2,109,78720,930,6,0.05479,39
1101,50013,1030,10,0.5,0.2,109,78720,940,6,0.05479,39
1102,50013,1030,10,0.5,0.2,109,78720,940,6,0.05479,39
1103,50013,1030,10,0.5,0.2,109,78720,940,6,0.05479,39
1104,50013,1030,10,0.5,0.2,109,78720,950,6,0.05479,39
1105,50013,1030,10,0.5,0.2,109,78720,950,6,0.05479,39
1106,50013,1030,10,0.5,0.2,109,78720,950,6,0.05479,39
1107,50013,1030,10,0.5,0.2,109,78720,960,6,0.05479,39
1108,50013,1030,10,0.5,0.2,109,78720,960,6,0.05479,39
1109,50013,1030,10,0.5,0.2,109,78720,960,6,0.05479,39
1110,50013,1030,10,0.5,0.2,109,78720,970,6,0.05479,39
1111,50013,1030,10,0.5,0.2,109,78720,970,6,0.05479,39
1112,50013,1030,10,0.5,0.2,109,78720,970,6,0.05479,39
1113,50013,1030,10,0.5,0.2,110,78720,980,6,0.05479,39
1114,50005,1030,10,0.5,0.2,110,89741,980,6,0.05625,41
1115,50005,1030,10,0.5,0.2,110,89741,990,6,0.05625,41
1116,50005,1030,10,0.5,0.2,110,89741,990,6,0.05625,41
1117,50005,1030,10,0.5,0.2,110,89741,990,6,0.05625,41
1118,50005,1030,10,0.5,0.2,110,89741,1000,6,0.05625,41
1119,50005,1030,10,0.5,0.2,110,89741,1000,6,0.05625,41
1120,50005,1030,10,0.5,0.2,110,89741,1000,6,0.05625,41
1121,50005,1030,10,0.5,0.2,110,89741,1010,6,0.05625,41
1122,50005,1030,10,0.5,0.2,110,89741,1010,6,0.05625,41
1123,50005,1030,10,0.5,0.2,110,89741,1010,6,0.05625,41
1124,50005,1030,10,0.5,0.2,110,89741,1020,6,0.05625,41
1125,50005,1030,10,0.5,0.2,110,89741,1020,6,0.05625,41
1126,50005,1030,10,0.5,0.2,110,89741,1020,6,0.05625,41
1127,50005,1030,10,0.5,0.2,110,89741,1030,6,0.05625,41
1128,50005,1030,10,0.5,0.2,110,89741,1030,6,0.05625,41
1129,50021,1030,10,0.5,0.2,110,101549,1030,6,0.05771,42
1130,50021,1030,10,0.5,0.2,110,101549,1040,6,0.05771,42
1131,50021,1030,10,0.5,0.2,110,101549,1040,6,0.05771,42
1132,50021,1030,10,0.5,0.2,110,101549,1040,6,0.05771,42
1133,50021,1030,10,0.5,0.2,110,101549,1050,6,0.05771,42
1134,50021,1030,10,0.5,0.2,110,101549,1050,6,0.05771,42
1135,50021,1030,10,0.5,0.2,110,101549,1050,6,0.05771,42
1136,50021,1030,10,0.5,0.2,110,101549,1060,6,0.05771,42
1137,50021,1030,10,0.5,0.2,110,101549,1060,6,0.05771,42
1138,50021,1030,10,0.5,0.2,110,101549,1060,6,0.05771,42
1139,50021,1030,10,0.5,0.2,110,101549,1070,6,0.05771,42
1140,50021,1030,10,0.5,0.2,110,101549,1070,6,0.05771,42
1141,50021,1030,10,0.5,0.2,110,101549,1070,6,0.05771,42
1142,50021,1030,10,0.5,0.2,109,101549,1080,6,0.05771,42
1143,50021,1030,10,0.5,0.2,110,101549,1080,6,0.05771,42
1144,50018,1030,10,0.5,0.2,110,113357,1080,6,0.05917,43
1145,50018,1030,10,0.5,0.2,110,113357,1080,6,0.05917,43
1146,50018,1030,10,0.5,0.2,110,113357,1090,6,0.05917,43
