全民boss索引,怪物entryId,等级（要求）,boss名字,复活消耗,怪物复活时间,能否组队,怪物列表,掉落预览,战斗经验,月卡加成系数,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,金装碎片权重,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,第一名邮件金色掉落装备,金装概率,金装碎片权重,第一名经验,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,其他名邮件金色掉落装备,金装概率,金装碎片权重,其他名次经验,复活需要vip等级
index_kn,entryId_n,level_n,bossName_s,consum_t,coolDown_n,canTeam_n,monster_t,itemShow_t,fightPlrExp,cardRatio_n,suitid_n,gray_n,green_n,blue_n,purple_n,gold_t,peiece_t,firstEmailGray_t,firstEmailGreen_t,firstEmailBlue_t,firstEmailPurple_t,firstEmailGoldSuitId_t,firstEmailGold_t,firstEmailPeiece_t,firstEmailPlrExp,otherEmailGray_t,otherEmailGreen_t,otherEmailBlue_t,otherEmailPurple_t,otherEmailGoldSuitId_t,otherEmailGold_t,otherEmailPeiece_t,otherEmailPlrExp,reviveVipLevel
11,7000110,30,忠勇兔（30级）,"{60014, 1}",60,0,"[2]=7000109,[3]=7000109,[4]=7000109,[5]=7000109,[6]=7000109,[8]=7000109,[9]=7000109,[10]=7000110,[11]=7000109,[12]=7000109","{""item"",60061,70000},{""equip"",15021,1,5},{""equip"",15022,1,5}",70000,0.3,103,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,10}","{1,200},{2,100}","{103,1}","{0,29},{1,1}","{0,45},{2,55}",163100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,10}","{1,200},{2,100}","{103,1}","{0,49},{1,1}","{0,45},{1,55}",105000,6
12,7000210,40,粉红兔（40级）,"{60014, 1}",60,0,"[2]=7000209,[3]=7000209,[4]=7000209,[5]=7000209,[6]=7000209,[8]=7000209,[9]=7000209,[10]=7000210,[11]=7000209,[12]=7000209","{""item"",60061,70000},{""equip"",15021,1,5},{""equip"",15022,1,5}",70000,0.3,103,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,11}","{1,200},{2,100}","{103,1}","{0,29},{1,1}","{0,45},{2,55}",163100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,11}","{1,200},{2,100}","{103,1}","{0,49},{1,1}","{0,45},{1,55}",105000,6
13,7000310,50,鲛人（50级）,"{60014, 1}",360,0,"[2]=7000309,[3]=7000309,[4]=7000309,[5]=7000309,[6]=7000309,[8]=7000309,[9]=7000309,[10]=7000310,[11]=7000309,[12]=7000309","{""item"",60061,70000},{""equip"",15021,1,5},{""equip"",15022,1,5}",70000,0.3,103,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,12}","{1,200},{2,100}","{103,1}","{0,29},{1,1}","{0,45},{3,55}",163100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,12}","{1,200},{2,100}","{103,1}","{0,49},{1,1}","{0,45},{2,55}",105000,6
14,7000410,60,狐妖（60级）,"{60014, 1}",360,0,"[2]=7000409,[3]=7000409,[4]=7000409,[5]=7000409,[6]=7000409,[8]=7000409,[9]=7000409,[10]=7000410,[11]=7000409,[12]=7000409","{""item"",60061,70000},{""equip"",15031,1,5},{""equip"",15033,1,5}",70000,0.3,104,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,13}","{1,200},{2,100}","{104,1}","{0,299},{1,1}","{0,45},{3,55}",163100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,13}","{1,200},{2,100}","{104,1}","{0,299},{1,1}","{0,45},{2,55}",105000,6
15,7000510,70,鱼精（70级）,"{60014, 1}",360,0,"[2]=7000509,[3]=7000509,[4]=7000509,[5]=7000509,[6]=7000509,[8]=7000509,[9]=7000509,[10]=7000510,[11]=7000509,[12]=7000509","{""item"",60061,90000},{""equip"",15031,1,5},{""equip"",15033,1,5}",90000,0.3,104,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,14}","{1,200},{2,100}","{104,1}","{0,299},{1,1}","{0,45},{3,55}",209700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,14}","{1,200},{2,100}","{104,1}","{0,299},{1,1}","{0,45},{2,55}",135000,6
16,7000610,80,剑灵（80级）,"{60014, 1}",3600,0,"[2]=7000609,[3]=7000609,[4]=7000609,[5]=7000609,[6]=7000609,[8]=7000609,[9]=7000609,[10]=7000610,[11]=7000609,[12]=7000609","{""item"",60061,120000},{""equip"",15043,1,5},{""equip"",15044,1,5}",120000,0.3,105,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,15}","{1,200},{2,100}","{105,1}","{0,299},{1,1}","{0,45},{4,55}",279600,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,15}","{1,200},{2,100}","{105,1}","{0,299},{1,1}","{0,45},{3,55}",180000,6
17,7000710,90,蟹精（90级）,"{60014, 1}",3600,0,"[2]=7000709,[3]=7000709,[4]=7000709,[5]=7000709,[6]=7000709,[8]=7000709,[9]=7000709,[10]=7000710,[11]=7000709,[12]=7000709","{""item"",60061,160000},{""equip"",15043,1,5},{""equip"",15044,1,5}",160000,0.3,105,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,16}","{1,200},{2,100}","{105,1}","{0,299},{1,1}","{0,45},{4,55}",372800,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,16}","{1,200},{2,100}","{105,1}","{0,299},{1,1}","{0,45},{3,55}",240000,6
18,7000810,100,小白虎（100级）,"{60014, 1}",3600,0,"[2]=7000809,[3]=7000809,[4]=7000809,[5]=7000809,[6]=7000809,[8]=7000809,[9]=7000809,[10]=7000810,[11]=7000809,[12]=7000809","{""item"",60061,290000},{""equip"",15052,1,5},{""equip"",15056,1,5}",290000,0.3,106,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,17}","{1,200},{2,100}","{106,1}","{0,299},{1,1}","{0,45},{4,55}",675700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,17}","{1,200},{2,100}","{106,1}","{0,299},{1,1}","{0,45},{3,55}",435000,6
19,7000910,106,剑邪（106级）,"{60014, 1}",3600,0,"[2]=7000909,[3]=7000909,[4]=7000909,[5]=7000909,[6]=7000909,[8]=7000909,[9]=7000909,[10]=7000910,[11]=7000909,[12]=7000909","{""item"",60061,290000},{""equip"",15052,1,5},{""equip"",15056,1,5}",290000,0.3,106,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,18}","{1,200},{2,100}","{106,1}","{0,299},{1,1}","{0,45},{5,55}",675700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,18}","{1,200},{2,100}","{106,1}","{0,299},{1,1}","{0,45},{4,55}",435000,6
