等级阶段,等级说明,奖励索引位置,怪物条件需求,奖励内容,"快速完成消耗货币种类id(1，银两,3，元宝,2，绑定元宝）",快速完成消耗数量,VIP等级
level_kn,,index_kn,needCondition_n,prize_t,unity_n,needNum,needVip
40,40~69级,1,100,"{""exp"",20000},{""bindRmb"",500},{""item"",60001,300}",3,3000,6
70,70~79级,1,100,"{""exp"",30000},{""bindRmb"",500},{""item"",60001,300}",3,3000,6
80,80~89级,1,100,"{""exp"",36667},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
90,90~99级,1,100,"{""exp"",50000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
100,100~109级,1,100,"{""exp"",100000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
110,110~119级,1,100,"{""exp"",120000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
120,120~129级,1,100,"{""exp"",150000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
130,130~139级,1,100,"{""exp"",213333},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
140,140~149级,1,100,"{""exp"",256667},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
150,150~159级,1,100,"{""exp"",313333},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
160,160~169级,1,100,"{""exp"",370000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
170,170~179级,1,100,"{""exp"",430000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
180,180~189级,1,100,"{""exp"",490000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
190,190~199级,1,100,"{""exp"",553333},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
200,200~209级,1,100,"{""exp"",620000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
210,210~219级,1,100,"{""exp"",686667},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
220,220~229级,1,100,"{""exp"",756667},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
230,230~239级,1,100,"{""exp"",830000},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
240,240~300级,1,100,"{""exp"",903333},{""bindRmb"",500},{""item"",60074,5}",3,3000,6
40,40~69级,2,200,"{""exp"",30000},{""bindRmb"",500},{""item"",60003,10}",3,3000,6
70,70~79级,2,200,"{""exp"",45000},{""bindRmb"",500},{""item"",60003,10}",3,3000,6
80,80~89级,2,200,"{""exp"",55000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
90,90~99级,2,200,"{""exp"",75000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
100,100~109级,2,200,"{""exp"",150000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
110,110~119级,2,200,"{""exp"",180000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
120,120~129级,2,200,"{""exp"",225000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
130,130~139级,2,200,"{""exp"",320000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
140,140~149级,2,200,"{""exp"",385000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
150,150~159级,2,200,"{""exp"",470000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
160,160~169级,2,200,"{""exp"",555000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
170,170~179级,2,200,"{""exp"",645000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
180,180~189级,2,200,"{""exp"",735000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
190,190~199级,2,200,"{""exp"",830000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
