野外boss索引,怪物entryId,等级（要求）,能否组队,怪物列表,固定掉落,刷新时间,刷新时间描述,掉落预览（固定）,掉落预览（稀有）,挑战消耗,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,普通物品掉落库
index_kn,entryId_n,level_n,canTeam_n,monster_t,prize_t,refreshTimeConfig_t,refreshDes_s,itemShow_t,rareItemShow_t,consum_t,suitid_n,gray_t,green_t,blue_t,purple_t,gold_t,lib_t
11,8000110,70,0,"[2]=8000109,[3]=8000109,[4]=8000109,[5]=8000109,[6]=8000109,[8]=8000109,[9]=8000109,[10]=8000110,[11]=8000109,[12]=8000109","{""bindRmb"",180},{""item"",60019,3},{""funds"",52800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,52800}","{""equip"",15032,1,5},{""equip"",15033,1,5},{""equip"",15034,1,5}","{""item"",60011,0}",104,"{0,100}","{0,100}","{4,100}","{2,100}","{0,3000},{1,1000}",
12,8000210,75,0,"[2]=8000209,[3]=8000209,[4]=8000209,[5]=8000209,[6]=8000209,[8]=8000209,[9]=8000209,[10]=8000210,[11]=8000209,[12]=8000209","{""bindRmb"",180},{""item"",60019,3},{""funds"",56800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,56800}","{""equip"",15032,1,5},{""equip"",15033,1,5},{""equip"",15034,1,5}","{""item"",60011,0}",104,"{0,100}","{0,100}","{4,100}","{2,100}","{0,3000},{1,1000}",
13,8000310,80,0,"[2]=8000309,[3]=8000309,[4]=8000309,[5]=8000309,[6]=8000309,[8]=8000309,[9]=8000309,[10]=8000310,[11]=8000309,[12]=8000309","{""bindRmb"",180},{""item"",60019,3},{""funds"",60800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,60800}","{""equip"",15032,1,5},{""equip"",15033,1,5},{""equip"",15034,1,5}","{""item"",60011,0}",104,"{0,100}","{0,100}","{4,100}","{2,100}","{0,3000},{1,1000}",
14,8000410,85,0,"[2]=8000409,[3]=8000409,[4]=8000409,[5]=8000409,[6]=8000409,[8]=8000409,[9]=8000409,[10]=8000410,[11]=8000409,[12]=8000409","{""bindRmb"",180},{""item"",60019,3},{""funds"",64800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,64800}","{""equip"",15042,1,5},{""equip"",15043,1,5},{""equip"",15044,1,5}","{""item"",60011,0}",105,"{0,100}","{0,100}","{4,100}","{2,100}","{0,4000},{1,1000}",
15,8000510,90,0,"[2]=8000509,[3]=8000509,[4]=8000509,[5]=8000509,[6]=8000509,[8]=8000509,[9]=8000509,[10]=8000510,[11]=8000509,[12]=8000509","{""bindRmb"",180},{""item"",60019,3},{""funds"",68800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,68800}","{""equip"",15042,1,5},{""equip"",15043,1,5},{""equip"",15044,1,5}","{""item"",60011,0}",105,"{0,100}","{0,100}","{4,100}","{2,100}","{0,4000},{1,1000}",
16,8000610,95,0,"[2]=8000609,[3]=8000609,[4]=8000609,[5]=8000609,[6]=8000609,[8]=8000609,[9]=8000609,[10]=8000610,[11]=8000609,[12]=8000609","{""bindRmb"",180},{""item"",60019,3},{""funds"",72800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,72800}","{""equip"",15042,1,5},{""equip"",15043,1,5},{""equip"",15044,1,5}","{""item"",60011,0}",105,"{0,100}","{0,100}","{4,100}","{2,100}","{0,4000},{1,1000}",
17,8000710,100,0,"[2]=8000709,[3]=8000709,[4]=8000709,[5]=8000709,[6]=8000709,[8]=8000709,[9]=8000709,[10]=8000710,[11]=8000709,[12]=8000709","{""bindRmb"",180},{""item"",60019,3},{""funds"",81800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,81800}","{""equip"",15052,1,5},{""equip"",15053,1,5},{""equip"",15054,1,5}","{""item"",60011,0}",106,"{0,100}","{0,100}","{4,100}","{2,100}","{0,9000},{1,1000}",
18,8000810,105,0,"[2]=8000809,[3]=8000809,[4]=8000809,[5]=8000809,[6]=8000809,[8]=8000809,[9]=8000809,[10]=8000810,[11]=8000809,[12]=8000809","{""bindRmb"",180},{""item"",60019,3},{""funds"",81800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,81800}","{""equip"",15052,1,5},{""equip"",15053,1,5},{""equip"",15054,1,5}","{""item"",60011,0}",106,"{0,100}","{0,100}","{4,100}","{2,100}","{0,9000},{1,1000}",
19,8000910,110,0,"[2]=8000909,[3]=8000909,[4]=8000909,[5]=8000909,[6]=8000909,[8]=8000909,[9]=8000909,[10]=8000910,[11]=8000909,[12]=8000909","{""bindRmb"",180},{""item"",60019,3},{""funds"",86800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,86800}","{""equip"",15052,1,5},{""equip"",15053,1,5},{""equip"",15054,1,5}","{""item"",60011,0}",106,"{0,100}","{0,100}","{4,100}","{2,100}","{0,9000},{1,1000}",
