索引,索引2,钟馗伏魔等级阶段,等级说明,怪物,掉落库
npcIndex_kn,index_kn,level_t,read_c,monster_t,prize_t
11,1,"0,69,",40~69级,"[9]=3000109,[10]=3000110,[11]=3000109","{""exp"",60000},{""funds"",21500},"
11,2,"70,79,",70~79级,"[2]=3000609,[3]=3000609,[4]=3000609,[5]=3000609,[6]=3000609,[8]=3000609,[9]=3000609,[10]=3000610,[11]=3000609,[12]=3000609","{""exp"",90000},{""funds"",24000},"
11,3,"80,89,",80~89级,"[2]=3001109,[3]=3001109,[4]=3001109,[5]=3001109,[6]=3001109,[8]=3001109,[9]=3001109,[10]=3001110,[11]=3001109,[12]=3001109","{""exp"",110000},{""funds"",26500},"
11,4,"90,99,",90~99级,"[2]=3001609,[3]=3001609,[4]=3001609,[5]=3001609,[6]=3001609,[8]=3001609,[9]=3001609,[10]=3001610,[11]=3001609,[12]=3001609","{""exp"",150000},{""funds"",29000},"
11,5,"100,109,",100~109级,"[2]=3002109,[3]=3002109,[4]=3002109,[5]=3002109,[6]=3002109,[8]=3002109,[9]=3002109,[10]=3002110,[11]=3002109,[12]=3002109","{""exp"",300000},{""funds"",31500},"
11,6,"110,119,",110~119级,"[2]=3002609,[3]=3002609,[4]=3002609,[5]=3002609,[6]=3002609,[8]=3002609,[9]=3002609,[10]=3002610,[11]=3002609,[12]=3002609","{""exp"",360000},{""funds"",34000},"
11,7,"120,129,",120~129级,"[2]=3003109,[3]=3003109,[4]=3003109,[5]=3003109,[6]=3003109,[8]=3003109,[9]=3003109,[10]=3003110,[11]=3003109,[12]=3003109","{""exp"",450000},{""funds"",36500},"
11,8,"130,139,",130~139级,"[2]=3003609,[3]=3003609,[4]=3003609,[5]=3003609,[6]=3003609,[8]=3003609,[9]=3003609,[10]=3003610,[11]=3003609,[12]=3003609","{""exp"",640000},{""funds"",39000},"
11,9,"140,149,",140~149级,"[2]=3004109,[3]=3004109,[4]=3004109,[5]=3004109,[6]=3004109,[8]=3004109,[9]=3004109,[10]=3004110,[11]=3004109,[12]=3004109","{""exp"",770000},{""funds"",41500},"
11,10,"150,159,",150~159级,"[2]=3004609,[3]=3004609,[4]=3004609,[5]=3004609,[6]=3004609,[8]=3004609,[9]=3004609,[10]=3004610,[11]=3004609,[12]=3004609","{""exp"",940000},{""funds"",44000},"
11,11,"160,169,",160~169级,"[2]=3005109,[3]=3005109,[4]=3005109,[5]=3005109,[6]=3005109,[8]=3005109,[9]=3005109,[10]=3005110,[11]=3005109,[12]=3005109","{""exp"",1110000},{""funds"",46500},"
11,12,"170,179,",170~179级,"[2]=3005609,[3]=3005609,[4]=3005609,[5]=3005609,[6]=3005609,[8]=3005609,[9]=3005609,[10]=3005610,[11]=3005609,[12]=3005609","{""exp"",1290000},{""funds"",49000},"
11,13,"180,189,",180~189级,"[2]=3006109,[3]=3006109,[4]=3006109,[5]=3006109,[6]=3006109,[8]=3006109,[9]=3006109,[10]=3006110,[11]=3006109,[12]=3006109","{""exp"",1470000},{""funds"",51500},"
11,14,"190,199,",190~199级,"[2]=3006609,[3]=3006609,[4]=3006609,[5]=3006609,[6]=3006609,[8]=3006609,[9]=3006609,[10]=3006610,[11]=3006609,[12]=3006609","{""exp"",1660000},{""funds"",54000},"
11,15,"200,209,",200~209级,"[2]=3007109,[3]=3007109,[4]=3007109,[5]=3007109,[6]=3007109,[8]=3007109,[9]=3007109,[10]=3007110,[11]=3007109,[12]=3007109","{""exp"",1860000},{""funds"",56500},"
11,16,"210,219,",210~219级,"[2]=3007609,[3]=3007609,[4]=3007609,[5]=3007609,[6]=3007609,[8]=3007609,[9]=3007609,[10]=3007610,[11]=3007609,[12]=3007609","{""exp"",2060000},{""funds"",59000},"
