关卡Id,关卡奖励
campaignId_kn,prize_t
1010,"{""item"",63034,1},{""rmb"",100},{""bindRmb"",2000}"
1020,"{""item"",40005,1},{""rmb"",200},{""bindRmb"",2500}"
1030,"{""item"",63035,1},{""rmb"",300},{""bindRmb"",3000}"
1040,"{""item"",40008,1},{""rmb"",500},{""bindRmb"",3500}"
1060,"{""item"",63036,1},{""rmb"",800},{""bindRmb"",4000}"
1070,"{""item"",40009,1},{""rmb"",1000},{""bindRmb"",4500}"
1090,"{""item"",63037,1},{""rmb"",1500},{""bindRmb"",5000}"
1100,"{""item"",40059,1},{""rmb"",2000},{""bindRmb"",6000}"
1120,"{""item"",63038,1},{""rmb"",2500},{""bindRmb"",7000}"
1170,"{""item"",63039,1},{""rmb"",3000},{""bindRmb"",8000}"
1220,"{""item"",63040,1},{""rmb"",3500},{""bindRmb"",9000}"
1300,"{""item"",63041,1},{""rmb"",4000},{""bindRmb"",10000}"
1380,"{""item"",63042,1},{""rmb"",4500},{""bindRmb"",15000}"
1480,"{""item"",63043,1},{""rmb"",5000},{""bindRmb"",20000}"
