层数索引,是否是跳转点(0否1是),跳层数量(进入的层次=当前层+跳层数),跳层限制时间(s),怪物等级,关卡要求,普通怪,奖励金币,积分,角色经验,宠物经验,物品,战斗地图,本层显示的怪物entryid,是否boss层（0否1是）
floor_kn,jumpPoint,jumpFloor,time,enemyLevel_n,campId_n,normal_t,prizeFunds_n,point_n,plrExp_n,petExp_n,item_t,fightMap_n,enemyEntryId_n,isBossFloor_n
1,1,9,20,9,1001,"[2]=500101,[4]=0,[6]=500103,[7]=0,[9]=500105,[11]=0,[14]=0,[16]=0,[18]=0",180,2,,,"{30001,9}",50012,500101,0
2,0,0,,10,1001,"[2]=500201,[4]=0,[6]=500203,[7]=0,[9]=500205,[11]=0,[14]=0,[16]=0,[18]=0",200,2,,,"{30001,10}",50012,500201,0
3,0,0,,11,1001,"[2]=500301,[4]=0,[6]=500303,[7]=0,[9]=500305,[11]=0,[14]=0,[16]=0,[18]=0",205,2,,,"{30001,10}",50012,500301,0
4,0,0,,12,1001,"[2]=500401,[4]=0,[6]=500403,[7]=0,[9]=500405,[11]=0,[14]=0,[16]=0,[18]=0",210,2,,,"{30001,11}",50012,500401,0
5,0,0,,12,1001,"[2]=500501,[4]=500502,[6]=0,[7]=500504,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",215,2,,,"{30001,11}",50012,500501,0
6,1,4,20,13,1012,"[2]=0,[4]=500602,[6]=500603,[7]=500604,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",221,2,,,"{30001,11}",50012,500602,0
7,0,0,,13,1012,"[2]=500701,[4]=500702,[6]=500703,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",226,2,,,"{30001,11}",50012,500701,0
8,0,0,,14,1012,"[2]=500801,[4]=500802,[6]=500803,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",232,2,,,"{30001,12}",50012,500801,0
9,0,0,,14,1012,"[2]=500901,[4]=500902,[6]=500903,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",238,2,,,"{30001,12}",50012,500901,0
10,1,10,20,15,1012,"[2]=501001,[4]=501002,[6]=0,[7]=0,[9]=501005,[11]=0,[14]=0,[16]=0,[18]=0",4154,2,,,"{30001,212}",50012,501001,1
11,0,0,,15,1012,"[2]=501101,[4]=0,[6]=501103,[7]=0,[9]=501105,[11]=0,[14]=0,[16]=0,[18]=0",250,2,,,"{30001,12}",50012,501101,0
12,0,0,,16,1012,"[2]=0,[4]=501202,[6]=0,[7]=501204,[9]=0,[11]=501206,[14]=0,[16]=0,[18]=0",256,2,,,"{30001,13}",50012,501202,0
13,0,0,,16,1012,"[2]=501301,[4]=501302,[6]=0,[7]=501304,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",262,2,,,"{30001,13}",50012,501301,0
14,0,0,,17,1012,"[2]=501401,[4]=501402,[6]=0,[7]=501404,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",269,2,,,"{30001,13}",50012,501401,0
15,0,0,,17,1048,"[2]=501501,[4]=501502,[6]=0,[7]=501504,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",276,2,,,"{30001,14}",50012,501501,0
16,0,0,,18,1048,"[2]=501601,[4]=501602,[6]=0,[7]=0,[9]=501605,[11]=0,[14]=0,[16]=0,[18]=0",283,2,,,"{30001,14}",50012,501601,0
17,0,0,,18,1048,"[2]=501701,[4]=501702,[6]=0,[7]=501704,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",290,2,,,"{30001,14}",50012,501701,0
18,0,0,,19,1048,"[2]=501801,[4]=0,[6]=501803,[7]=0,[9]=501805,[11]=0,[14]=0,[16]=0,[18]=0",297,2,,,"{30001,15}",50012,501801,0
19,0,0,,19,1048,"[2]=0,[4]=501902,[6]=0,[7]=501904,[9]=0,[11]=501906,[14]=0,[16]=0,[18]=0",304,2,,,"{30001,15}",50012,501902,0
20,1,10,20,20,1066,"[2]=502001,[4]=0,[6]=502003,[7]=502004,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",4222,2,,,"{30001,216}",50012,502001,1
21,0,0,,20,1066,"[2]=502101,[4]=502102,[6]=0,[7]=502104,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",320,2,,,"{30001,16}",50012,502101,0
22,0,0,,21,1066,"[2]=502201,[4]=502202,[6]=502203,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",328,2,,,"{30001,16}",50012,502201,0
23,0,0,,21,1066,"[2]=502301,[4]=0,[6]=0,[7]=502304,[9]=0,[11]=502306,[14]=0,[16]=0,[18]=0",336,2,,,"{30001,17}",50012,502301,0
24,0,0,,22,1066,"[2]=502401,[4]=502402,[6]=0,[7]=0,[9]=502405,[11]=0,[14]=0,[16]=0,[18]=0",344,2,,,"{30001,17}",50012,502401,0
25,0,0,,22,1066,"[2]=502501,[4]=502502,[6]=502503,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",353,2,,,"{30001,18}",50012,502501,0
26,0,0,,23,1066,"[2]=502601,[4]=502602,[6]=502603,[7]=502604,[9]=502605,[11]=502606,[14]=502607,[16]=502608,[18]=502609",362,2,,,"{30001,18}",50012,502601,0
27,0,0,,23,1066,"[2]=502701,[4]=502702,[6]=502703,[7]=502704,[9]=502705,[11]=502706,[14]=502707,[16]=502708,[18]=502709",371,2,,,"{30001,19}",50012,502701,0
28,0,0,,24,1066,"[2]=502801,[4]=502802,[6]=502803,[7]=502804,[9]=502805,[11]=502806,[14]=502807,[16]=502808,[18]=502809",380,2,,,"{30001,19}",50012,502801,0
