战斗类型,活动索引,活动标题,奖励描述
fightType_kn,actIndex_kn,actName_s,prizeTips_s
3,0,竞技场,奖励：功勋、银两、元宝
6,0,帮会小妖,奖励：帮会收购材料
8,0,第1劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,1,第1劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,2,第1劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,3,第1劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,4,第1劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,5,第1劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,6,第2劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,7,第2劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,8,第2劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,9,第2劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,10,第2劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,11,第2劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,12,第3劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,13,第3劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,14,第3劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,15,第3劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,16,第3劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,17,第3劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,18,第4劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,19,第4劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,20,第4劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,21,第4劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,22,第4劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,23,第4劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,24,第5劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,25,第5劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,26,第5劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,27,第5劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,28,第5劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,29,第5劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,30,第6劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,31,第6劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,32,第6劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,33,第6劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,34,第6劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,35,第6劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,36,第7劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,37,第7劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,38,第7劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,39,第7劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,40,第7劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,41,第7劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,42,第8劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,43,第8劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,44,第8劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
