索引,排名,奖励
index_kn,rank_t,prize_t
1,"1,1","{""item"",60065,35},{""item"",60006,10},{""item"",20015,100},{""item"",60045,50}"
2,"2,2","{""item"",60065,30},{""item"",60006,9},{""item"",20015,90},{""item"",60045,40}"
3,"3,3","{""item"",60065,30},{""item"",60006,8},{""item"",20015,80},{""item"",60045,35}"
4,"4,4","{""item"",60065,25},{""item"",60006,8},{""item"",20015,80},{""item"",60045,30}"
5,"5,5","{""item"",60065,25},{""item"",60006,7},{""item"",20015,70},{""item"",60045,28}"
6,"6,6","{""item"",60065,20},{""item"",60006,7},{""item"",20015,70},{""item"",60045,26}"
7,"7,7","{""item"",60065,20},{""item"",60006,6},{""item"",20015,70},{""item"",60045,24}"
8,"8,8","{""item"",60065,16},{""item"",60006,6},{""item"",20015,60},{""item"",60045,22}"
9,"9,9","{""item"",60065,16},{""item"",60006,5},{""item"",20015,60},{""item"",60045,20}"
10,"10,10","{""item"",60065,13},{""item"",60006,5},{""item"",20015,60},{""item"",60045,18}"
11,"11,11","{""item"",60065,13},{""item"",60006,5},{""item"",20015,55},{""item"",60045,15}"
12,"12,12","{""item"",60065,13},{""item"",60006,5},{""item"",20015,55},{""item"",60045,15}"
13,"13,13","{""item"",60065,13},{""item"",60006,5},{""item"",20015,55},{""item"",60045,15}"
14,"14,14","{""item"",60065,13},{""item"",60006,5},{""item"",20015,55},{""item"",60045,15}"
15,"15,15","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
16,"16,16","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
17,"17,17","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
18,"18,18","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
19,"19,19","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
20,"20,20","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
21,"21,21","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
22,"22,22","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
23,"23,23","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
24,"24,24","{""item"",60065,10},{""item"",60006,5},{""item"",20015,55},{""item"",60045,12}"
