等级,奖励,说明
leve_kn,prize_t,readme_c
10,"{""bindRmb"",10},{""item"",20001,5},{""item"",20013,10},{""item"",60002,50}",10礼包
20,"{""bindRmb"",20},{""item"",20001,5},{""item"",20013,10},{""equip"",15005,1,5}",20礼包
30,"{""bindRmb"",40},{""item"",20001,5},{""item"",20013,20},{""item"",60045,2}",30礼包
40,"{""bindRmb"",60},{""item"",20001,5},{""item"",20013,20},{""equip"",15025,1,5}",40礼包
50,"{""bindRmb"",80},{""item"",20002,10},{""item"",20013,30},{""item"",60002,30}",50礼包
60,"{""bindRmb"",100},{""item"",20002,10},{""item"",20013,30},{""equip"",15035,1,5}",60礼包
70,"{""bindRmb"",120},{""item"",20003,10},{""item"",20013,40},{""item"",60001,150}",70礼包
80,"{""bindRmb"",140},{""item"",20003,10},{""item"",20013,40},{""item"",60002,50}",80礼包
90,"{""bindRmb"",160},{""item"",20004,20},{""item"",20013,50},{""item"",60003,20}",90礼包
100,"{""bindRmb"",180},{""item"",20005,20},{""item"",20013,50},{""item"",60019,15}",100礼包
110,"{""bindRmb"",200},{""item"",20006,20},{""item"",20013,60},{""item"",60001,300}",110礼包
120,"{""bindRmb"",220},{""item"",20007,20},{""item"",40112,1},{""item"",60002,50}",120礼包
