#ID，索引，排名范围(低)，排名范围(高)，奖励物品,,,,
id_kn,index_kn,rankMin_n,rankMax_n,items_t
1,1,1,1,"{""item"",20055,15},{""item"",40003,80}"
1,2,2,5,"{""item"",20055,15},{""item"",40003,50}"
1,3,6,15,"{""item"",20055,15},{""item"",40003,30}"
1,4,16,30,"{""item"",20055,4},{""item"",40003,15}"
2,1,1,1,"{""item"",40012,120},{""item"",20059,20}"
2,2,2,5,"{""item"",40012,80},{""item"",20059,20}"
2,3,6,15,"{""item"",40012,50},{""item"",20059,20}"
2,4,16,30,"{""item"",40012,30}"
3,1,1,1,"{""item"",40068,5},{""item"",40085,5}"
3,2,2,5,"{""item"",40068,3},{""item"",40085,3}"
3,3,6,15,"{""item"",40051,2},{""item"",40053,3}"
3,4,16,30,"{""item"",40058,2},{""item"",40053,2}"
4,1,1,1,"{""item"",40018,7},{""item"",40050,3}"
4,2,2,3,"{""item"",40018,5},{""item"",40050,2}"
4,3,4,6,"{""item"",40018,3},{""item"",40050,1}"
4,4,7,10,"{""item"",40018,1}"
5,1,1,1,"{""item"",40076,1},{""item"",50024,30},{""item"",20001,9999}"
5,2,2,5,"{""item"",50024,15},{""item"",20001,5200},{""item"",40026,741}"
5,3,6,15,"{""item"",50024,10},{""item"",20001,2099},{""item"",40026,240}"
5,4,16,30,"{""item"",50024,5},{""item"",20001,1314},{""item"",40026,87}"
6,1,1,1,"{""item"",40094,1},{""item"",40012,40}"
6,2,2,5,"{""item"",40093,1},{""item"",40012,22}"
6,3,6,15,"{""item"",40092,1},{""item"",40012,20}"
6,4,16,30,"{""item"",50416,1},{""item"",40012,12}"
7,1,1,1,"{""item"",40130,1},{""item"",40133,1},{""item"",40111,5}"
7,2,2,3,"{""item"",40131,1},{""item"",40134,1},{""item"",40111,3}"
7,3,4,5,"{""item"",40132,1},{""item"",40134,1},{""item"",40111,2}"
7,4,6,10,"{""item"",40111,1}"
