索引,需要消费或充值多少元宝,奖励,
Index_kn,needPoint,prize_t,randItem_t
100,1000,"{""rmb"",360},{""item"",30001,2}",
101,3000,"{""rmb"",780},{""item"",30002,2},{""item"",60009,3}",
102,8000,"{""rmb"",2100},{""item"",30007,5},{""item"",60009,4},{""item"",60005,5}",
103,15000,"{""rmb"",3000},{""item"",60007,15},{""item"",60009,5},{""item"",60005,8}",
104,30000,"{""rmb"",6510},{""item"",60007,35},{""item"",60009,15},{""item"",60005,10}",
105,60000,"{""rmb"",13500},{""item"",60099,1},{""item"",60008,8},{""item"",20015,40}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},100},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},100},{{""equip"",15049,1,6},100},{{""equip"",15050,1,6},100}"
106,88000,"{""rmb"",14400},{""item"",60097,1},{""item"",60008,12},{""item"",20015,80}",
107,120000,"{""rmb"",15000},{""item"",60099,1},{""item"",60008,20},{""item"",20015,100}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},100},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},100},{{""equip"",15049,1,6},100},{{""equip"",15050,1,6},100}"
108,220000,"{""rmb"",48000},{""item"",60098,2},{""item"",60008,40},{""item"",20015,250}",
109,320000,"{""rmb"",54000},{""item"",60099,2},{""item"",60008,50},{""item"",20015,300}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},100},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},100},{{""equip"",15049,1,6},100},{{""equip"",15050,1,6},100}"
110,420000,"{""rmb"",57000},{""item"",60099,2},{""item"",60008,80},{""item"",20015,320}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},100},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},100},{{""equip"",15049,1,6},100},{{""equip"",15050,1,6},100}"
111,600000,"{""rmb"",99000},{""item"",60018,4},{""item"",60008,90},{""item"",20015,400}",
