类型,冲多少点,index,奖励什么,价值,持续天数
Type_kn,point_kn,index,prize_t,value,continueDay
200,1000,10,"{""item"",20001,30},{""item"",20013,30},{""item"",60001,50},{""item"",60002,50},{""bindRmb"",1000},{""funds"",1000000}",5800,3
200,3000,11,"{""item"",20002,40},{""item"",30007,1},{""item"",60001,80},{""item"",60002,80},{""bindRmb"",1500},{""funds"",1200000}",16500,3
200,5000,12,"{""item"",20001,50},{""item"",30001,1},{""item"",60001,100},{""item"",60002,100},{""bindRmb"",1800},{""funds"",1400000}",36100,3
200,10000,13,"{""item"",20002,100},{""item"",30007,2},{""item"",60002,150},{""item"",60003,100},{""bindRmb"",2000},{""funds"",1600000}",62600,3
200,30000,14,"{""item"",40040,1},{""item"",30001,2},{""item"",30007,2},{""item"",60003,150},{""bindRmb"",3000},{""funds"",2000000}",115500,3
200,50000,15,"{""item"",40040,1},{""item"",20003,150},{""item"",20014,150},{""item"",60012,50},{""bindRmb"",4000},{""funds"",2400000}",196800,3
200,100000,16,"{""item"",40040,1},{""item"",20003,200},{""item"",30008,3},{""item"",60012,100},{""bindRmb"",5000},{""funds"",2800000}",319800,3
200,300000,17,"{""item"",40054,1}",699999,3
201,1000,10,"{""item"",20004,30},{""item"",20005,30},{""item"",60001,50},{""item"",60002,50},{""bindRmb"",1000},{""funds"",1000000}",5800,3
201,3000,11,"{""item"",20004,40},{""item"",30002,1},{""item"",60001,80},{""item"",60002,80},{""bindRmb"",1500},{""funds"",1200000}",16500,3
201,5000,12,"{""item"",20005,50},{""item"",30003,1},{""item"",60001,100},{""item"",60002,100},{""bindRmb"",1800},{""funds"",1400000}",36100,3
201,10000,13,"{""item"",20004,100},{""item"",30003,2},{""item"",60002,150},{""item"",60003,100},{""bindRmb"",2000},{""funds"",1600000}",62600,3
201,30000,14,"{""item"",40045,1},{""item"",30002,2},{""item"",30003,2},{""item"",60003,150},{""bindRmb"",3000},{""funds"",2000000}",115500,3
201,50000,15,"{""item"",40045,1},{""item"",60193,1},{""item"",20006,150},{""item"",30004,2},{""bindRmb"",4000},{""funds"",2400000}",196800,3
201,100000,16,"{""item"",40045,1},{""item"",60193,2},{""item"",20006,200},{""item"",30004,2},{""bindRmb"",5000},{""funds"",2800000}",319800,3
201,300000,17,"{""item"",40054,1}",699999,3
202,1000,10,"{""item"",20007,30},{""item"",20008,30},{""item"",60001,50},{""item"",60002,50},{""bindRmb"",1000},{""funds"",1000000}",5800,2
202,3000,11,"{""item"",20007,40},{""item"",30005,1},{""item"",60001,80},{""item"",60002,80},{""bindRmb"",1500},{""funds"",1200000}",16500,2
202,5000,12,"{""item"",20008,50},{""item"",30006,1},{""item"",60001,100},{""item"",60002,100},{""bindRmb"",1800},{""funds"",1400000}",36100,2
202,10000,13,"{""item"",20007,100},{""item"",30005,2},{""item"",60002,150},{""item"",60003,100},{""bindRmb"",2000},{""funds"",1600000}",62600,2
202,30000,14,"{""item"",40041,1},{""item"",30005,2},{""item"",30006,2},{""item"",60003,150},{""bindRmb"",3000},{""funds"",2000000}",115500,2
202,50000,15,"{""item"",40041,1},{""item"",60193,1},{""item"",20007,150},{""item"",60012,50},{""bindRmb"",4000},{""funds"",2400000}",196800,2
202,100000,16,"{""item"",40041,1},{""item"",60193,2},{""item"",20008,200},{""item"",60012,100},{""bindRmb"",5000},{""funds"",2800000}",319800,2
202,300000,17,"{""item"",40054,1}",699999,2
