天数,奖励
day_kn,prize_t
1,"{""item"",60018,1},{""item"",60017,3},{""item"",20003,50},{""item"",30008,2},{""item"",60012,5},{""item"",60005,5}"
2,"{""item"",60018,1},{""item"",60017,3},{""item"",20004,50},{""item"",30002,2},{""item"",60012,5},{""item"",60005,5}"
3,"{""item"",60018,1},{""item"",60017,3},{""item"",20008,50},{""item"",30006,2},{""item"",60012,5},{""item"",60005,5}"
4,"{""item"",60018,1},{""item"",60017,3},{""item"",20007,50},{""item"",30005,2},{""item"",60012,5},{""item"",60005,5}"
5,"{""item"",60018,1},{""item"",60017,3},{""item"",20004,50},{""item"",30002,2},{""item"",60012,5},{""item"",60005,5}"
6,"{""item"",60018,1},{""item"",60017,3},{""item"",20003,50},{""item"",30008,2},{""item"",60012,5},{""item"",60005,5}"
7,"{""item"",60018,1},{""item"",60017,3},{""item"",20002,50},{""item"",30007,2},{""item"",60012,5},{""item"",60005,5}"
8,"{""item"",60018,1},{""item"",60017,3},{""item"",20001,50},{""item"",30001,2},{""item"",60012,5},{""item"",60005,5}"
9,"{""item"",60018,1},{""item"",60017,3},{""item"",20009,50},{""item"",30009,2},{""item"",60012,5},{""item"",60005,5}"
10,"{""item"",60018,1},{""item"",60017,3},{""item"",20010,50},{""item"",30010,2},{""item"",60012,5},{""item"",60005,5}"
11,"{""item"",60018,1},{""item"",60017,3},{""item"",20011,50},{""item"",30011,2},{""item"",60012,5},{""item"",60005,5}"
12,"{""item"",60018,1},{""item"",60017,3},{""item"",20012,50},{""item"",30012,2},{""item"",60012,5},{""item"",60005,5}"
13,"{""item"",60018,1},{""item"",60017,3},{""item"",20006,50},{""item"",30004,2},{""item"",60012,5},{""item"",60005,5}"
14,"{""item"",60018,1},{""item"",60017,3},{""item"",20005,50},{""item"",30003,2},{""item"",60012,5},{""item"",60005,5}"
15,"{""item"",60018,1},{""item"",60017,3},{""item"",20007,50},{""item"",30005,2},{""item"",60012,5},{""item"",60005,5}"
16,"{""item"",60018,1},{""item"",60017,3},{""item"",20008,50},{""item"",30006,2},{""item"",60012,5},{""item"",60005,5}"
17,"{""item"",60018,1},{""item"",60017,3},{""item"",20001,50},{""item"",30001,2},{""item"",60012,5},{""item"",60005,5}"
18,"{""item"",60018,1},{""item"",60017,3},{""item"",20002,50},{""item"",30007,2},{""item"",60012,5},{""item"",60005,5}"
19,"{""item"",60018,1},{""item"",60017,3},{""item"",20003,50},{""item"",30008,2},{""item"",60012,5},{""item"",60005,5}"
20,"{""item"",60018,1},{""item"",60017,3},{""item"",20004,50},{""item"",30002,2},{""item"",60012,5},{""item"",60005,5}"
21,"{""item"",60018,1},{""item"",60017,3},{""item"",20008,50},{""item"",30006,2},{""item"",60012,5},{""item"",60005,5}"
22,"{""item"",60018,1},{""item"",60017,3},{""item"",20007,50},{""item"",30005,2},{""item"",60012,5},{""item"",60005,5}"
23,"{""item"",60018,1},{""item"",60017,3},{""item"",20001,50},{""item"",30001,2},{""item"",60012,5},{""item"",60005,5}"
24,"{""item"",60018,1},{""item"",60017,3},{""item"",20002,50},{""item"",30007,2},{""item"",60012,5},{""item"",60005,5}"
