,冲多少点,活动维持几天,奖励什么,返利,超值礼包
typeIndex_kn,point_kn,continueDay,prize_t,rebate_n,item_n
1,10000,2,"{""rmb"",12000}",120,
1,20000,2,"{""rmb"",24000}",120,
1,50000,2,"{""rmb"",65000}",130,
1,80000,2,"{""rmb"",104000}",130,
1,150000,2,"{""rmb"",210000}",140,
1,200000,2,"{""rmb"",280000}",140,
1,300000,2,"{""rmb"",450000}",150,
2,10000,2,"{""rmb"",12000}",,60096
2,20000,2,"{""rmb"",24000}",,60096
2,50000,2,"{""rmb"",65000}",,60096
2,80000,2,"{""rmb"",104000}",,60096
2,150000,2,"{""rmb"",210000}",,60096
2,200000,2,"{""rmb"",280000}",,60096
2,300000,2,"{""rmb"",450000}",,60096
3,10000,2,"{""rmb"",12000}",120,
3,20000,2,"{""rmb"",24000}",120,
3,50000,2,"{""rmb"",65000}",130,
3,80000,2,"{""rmb"",104000}",130,
3,150000,2,"{""rmb"",210000}",140,
3,200000,2,"{""rmb"",280000}",140,
3,300000,2,"{""rmb"",450000}",150,
4,10000,2,"{""rmb"",12000}",,60096
4,20000,2,"{""rmb"",24000}",,60096
4,50000,2,"{""rmb"",65000}",,60096
4,80000,2,"{""rmb"",104000}",,60096
4,150000,2,"{""rmb"",210000}",,60096
4,200000,2,"{""rmb"",280000}",,60096
4,300000,2,"{""rmb"",450000}",,60096
5,3000,2,"{""item"",20015,50},{""funds"",2000000}",,60096
5,10000,2,"{""item"",60008,2},{""item"",20015,100},{""funds"",2000000}",,60096
5,20000,2,"{""item"",60008,3},{""item"",20015,200},{""funds"",3000000}",,60096
5,30000,2,"{""item"",60008,5},{""item"",20015,300},{""funds"",3000000}",,60096
5,50000,2,"{""item"",60008,10},{""item"",20015,400},{""funds"",5000000}",,60096
6,3000,2,"{""item"",60007,50},{""funds"",2000000}",,60096
6,10000,2,"{""item"",60099,1},{""item"",60007,100},{""funds"",2000000}",,60096
6,20000,2,"{""item"",60099,2},{""item"",60007,200},{""funds"",3000000}",,60096
6,30000,2,"{""item"",60099,3},{""item"",60007,300},{""funds"",3000000}",,60096
6,50000,2,"{""item"",60099,5},{""item"",60007,400},{""funds"",5000000}",,60096
