天索引,奖励档次,升阶类型,描述,"条件(团购人数,自己充值额度)",奖励
day_kn,prizeIndex_kn,stageUp_s,tips_s,cond_t,prize_t
1,11,HeroRide,全民坐骑4阶达到30人,"30,4,","{""item"",20001,5}"
1,12,HeroRide,全民坐骑5阶达到10人,"10,5,","{""item"",20001,10}"
1,13,HeroRide,全民坐骑6阶达到5人,"5,6,","{""item"",20001,20}"
1,14,HeroRide,全民坐骑7阶达到3人,"3,7,","{""item"",30001,1}"
2,11,TianXian,全民天仙4阶达到30人,"30,4,","{""item"",20002,5}"
2,12,TianXian,全民天仙5阶达到10人,"10,5,","{""item"",20002,10}"
2,13,TianXian,全民天仙6阶达到5人,"5,6,","{""item"",20002,20}"
2,14,TianXian,全民天仙7阶达到3人,"3,7,","{""item"",30007,1}"
3,11,TianXianWeapon,全民神兵4阶达到30人,"30,4,","{""item"",20003,5}"
3,12,TianXianWeapon,全民神兵5阶达到10人,"10,5,","{""item"",20003,10}"
3,13,TianXianWeapon,全民神兵6阶达到5人,"5,6,","{""item"",20003,20}"
3,14,TianXianWeapon,全民神兵7阶达到3人,"3,7,","{""item"",30008,1}"
4,11,HeroWing,全民翅膀4阶达到30人,"30,4,","{""item"",20004,5}"
4,12,HeroWing,全民翅膀5阶达到10人,"10,5,","{""item"",20004,10}"
4,13,HeroWing,全民翅膀6阶达到5人,"5,6,","{""item"",20004,20}"
4,14,HeroWing,全民翅膀7阶达到3人,"3,7,","{""item"",30002,1}"
5,11,XianLvFaZhen,全民法阵4阶达到30人,"30,4,","{""item"",20005,5}"
5,12,XianLvFaZhen,全民法阵5阶达到10人,"10,5,","{""item"",20005,10}"
5,13,XianLvFaZhen,全民法阵6阶达到5人,"5,6,","{""item"",20005,20}"
5,14,XianLvFaZhen,全民法阵7阶达到3人,"3,7,","{""item"",30003,1}"
6,11,XianLvXianWei,全民神位4阶达到30人,"30,4,","{""item"",20006,5}"
6,12,XianLvXianWei,全民神位5阶达到10人,"10,5,","{""item"",20006,10}"
6,13,XianLvXianWei,全民神位6阶达到5人,"5,6,","{""item"",20006,20}"
6,14,XianLvXianWei,全民神位7阶达到3人,"3,7,","{""item"",30004,1}"
7,11,PetTongLin,全民通灵4阶达到30人,"30,4,","{""item"",20007,5}"
7,12,PetTongLin,全民通灵5阶达到10人,"10,5,","{""item"",20007,10}"
7,13,PetTongLin,全民通灵6阶达到5人,"5,6,","{""item"",20007,20}"
7,14,PetTongLin,全民通灵7阶达到3人,"3,7,","{""item"",30005,1}"
8,11,PetSouHun,全民元神4阶达到30人,"30,4,","{""item"",20008,5}"
8,12,PetSouHun,全民元神5阶达到10人,"10,5,","{""item"",20008,10}"
8,13,PetSouHun,全民元神6阶达到5人,"5,6,","{""item"",20008,20}"
8,14,PetSouHun,全民元神7阶达到3人,"3,7,","{""item"",30006,1}"
