索引,顺序名称,主要奖励显示,通关奖励显示,怪物模型,描述,怪物列表,怪物等级,奖励,是否发送超链接(1是0否),怪物索引（用于通关推荐战力，不同怪物不同索引）
index_kn,indexName_s,mainPrizeShow_t,prizeShow_t,monModelId,tips_s,monster_t,monsterLevel,prize_t,broad,npcStageUpIndex_n
0,第1关,"{""commonEquip"",10007,1,5,5}","{""item"",60033,1},{""commonEquip"",10007,1,5,5},{""item"",30001,1},{""item"",20001,10}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",,"{""item"",60033,1},{""commonEquip"",10007,1,5,5},{""item"",30001,1},{""item"",20001,10}",0,0
1,第2关,"{""commonEquip"",10247,1,5,5}","{""item"",60039,1},{""commonEquip"",10247,1,5,5},{""item"",30007,1},{""item"",20002,15}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1000,"{""item"",60039,1},{""commonEquip"",10247,1,5,5},{""item"",30007,1},{""item"",20002,15}",0,0
2,第3关,"{""commonEquip"",10287,1,5,5}","{""item"",60040,1},{""commonEquip"",10287,1,5,5},{""item"",30008,2},{""item"",20003,20}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1001,"{""item"",60040,1},{""commonEquip"",10287,1,5,5},{""item"",30008,2},{""item"",20003,20}",0,0
3,第4关,"{""commonEquip"",10047,1,5,5}","{""item"",60034,2},{""commonEquip"",10047,1,5,5},{""item"",30002,2},{""item"",20004,25}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1002,"{""item"",60034,2},{""commonEquip"",10047,1,5,5},{""item"",30002,2},{""item"",20004,25}",0,0
4,第5关,"{""commonEquip"",10087,1,5,5}","{""item"",60035,2},{""commonEquip"",10087,1,5,5},{""item"",30003,3},{""item"",20005,30}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1003,"{""item"",60035,2},{""commonEquip"",10087,1,5,5},{""item"",30003,3},{""item"",20005,30}",0,0
5,第6关,"{""commonEquip"",10127,1,5,5}","{""item"",60036,2},{""commonEquip"",10127,1,5,5},{""item"",30004,3},{""item"",20006,35}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1004,"{""item"",60036,2},{""commonEquip"",10127,1,5,5},{""item"",30004,3},{""item"",20006,35}",1,0
6,第7关,"{""commonEquip"",10167,1,5,5}","{""item"",60037,3},{""commonEquip"",10167,1,5,5},{""item"",30005,4},{""item"",20007,40}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1005,"{""item"",60037,3},{""commonEquip"",10167,1,5,5},{""item"",30005,4},{""item"",20007,40}",1,0
7,第8关,"{""item"",40017,1}","{""item"",40017,1},{""commonEquip"",10207,1,5,5},{""item"",30006,4},{""item"",20008,45}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1006,"{""item"",40017,1},{""commonEquip"",10207,1,5,5},{""item"",30006,4},{""item"",20008,45}",1,0
8,第9关,"{""item"",60018,2}","{""item"",60018,2},{""commonEquip"",10327,1,5,5},{""item"",60017,5},{""item"",20016,15}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1007,"{""item"",60018,2},{""commonEquip"",10327,1,5,5},{""item"",60017,5},{""item"",20016,15}",1,0
9,第10关,"{""item"",40043,1}","{""item"",40043,1},{""commonEquip"",10367,1,5,5},{""item"",60006,30},{""item"",20013,25}",20043,第十关送猪八戒,"[2]=15000102,[3]=15000103,[4]=15000104,[5]=15000105,[6]=15000106,[8]=15000108,[9]=15000109,[10]=15000110,[11]=15000111,[12]=15000112",1008,"{""item"",40043,1},{""commonEquip"",10367,1,5,5},{""item"",60006,30},{""item"",20013,25}",1,0
