天数,索引,任务达成类型,标题,描述,条件,奖励
day_kn,index_kn,mission_s,title_s,tips_s,cond,prize_t
1,11,campaignBoss,关卡,通关东海湾1-10,1010,"{""bindRmb"",200}"
1,12,campaignBoss,关卡,通关凌霄宝殿1-10,1020,"{""bindRmb"",500}"
1,13,campaignBoss,关卡,通关凌霄宝殿2-10,1030,"{""bindRmb"",1000}"
1,14,campaignBoss,关卡,通关大雁塔1-10,1040,"{""bindRmb"",1500}"
1,15,campaignBoss,关卡,通关大雁塔2-10,1050,"{""bindRmb"",2000}"
1,16,campaignBoss,关卡,通关大雁塔3-10,1060,"{""bindRmb"",2500}"
1,17,campaignBoss,关卡,通关长安城3-10,1090,"{""bindRmb"",3000}"
1,18,campaignBoss,关卡,通关长寿村3-10,1120,"{""bindRmb"",3500}"
2,11,dragonBoss,秘境宝藏,秘境宝藏第1章,16,"{""item"",20013,10}"
2,12,dragonBoss,秘境宝藏,秘境宝藏第2章,22,"{""item"",20013,20}"
2,13,dragonBoss,秘境宝藏,秘境宝藏第3章,28,"{""item"",20013,30}"
2,14,dragonBoss,秘境宝藏,秘境宝藏第4章,34,"{""item"",20013,40}"
2,15,dragonBoss,秘境宝藏,秘境宝藏第5章,40,"{""item"",20013,50}"
2,16,dragonBoss,秘境宝藏,秘境宝藏第6章,46,"{""item"",20013,60}"
2,17,dragonBoss,秘境宝藏,秘境宝藏第10章,70,"{""item"",20013,70}"
2,18,dragonBoss,秘境宝藏,秘境宝藏第12章,82,"{""item"",20013,80}"
3,11,champion,竞技场,竞技场排名2000名,2000,"{""bindRmb"",500}"
3,12,champion,竞技场,竞技场排名1000名,1000,"{""bindRmb"",600}"
3,13,champion,竞技场,竞技场排名500名,500,"{""bindRmb"",750}"
3,14,champion,竞技场,竞技场排名200名,200,"{""bindRmb"",1000}"
3,15,champion,竞技场,竞技场排名100名,100,"{""bindRmb"",1200}"
3,16,champion,竞技场,竞技场排名50名,50,"{""bindRmb"",1400}"
3,17,champion,竞技场,竞技场排名20名,20,"{""bindRmb"",1600}"
3,18,champion,竞技场,竞技场排名3名,3,"{""bindRmb"",2000}"
4,11,thunderTemple,皇城天塔,皇城天塔第5层,15,"{""item"",60019,2}"
4,12,thunderTemple,皇城天塔,皇城天塔第10层,20,"{""item"",60019,5}"
4,13,thunderTemple,皇城天塔,皇城天塔第15层,25,"{""item"",60019,9}"
4,14,thunderTemple,皇城天塔,皇城天塔第20层,30,"{""item"",60019,15}"
4,15,thunderTemple,皇城天塔,皇城天塔第25层,35,"{""item"",60019,20}"
4,16,thunderTemple,皇城天塔,皇城天塔第30层,40,"{""item"",60019,25}"
4,17,thunderTemple,皇城天塔,皇城天塔第40层,50,"{""item"",60019,30}"
4,18,thunderTemple,皇城天塔,皇城天塔第50层,60,"{""item"",60019,50}"
5,11,materialBoss,材料副本,材料副本累计胜利10次,10,"{""bindRmb"",300}"
5,12,materialBoss,材料副本,材料副本累计胜利15次,15,"{""bindRmb"",600}"
5,13,materialBoss,材料副本,材料副本累计胜利20次,20,"{""bindRmb"",1200}"
5,14,materialBoss,材料副本,材料副本累计胜利25次,25,"{""bindRmb"",1600}"
5,15,materialBoss,材料副本,材料副本累计胜利30次,30,"{""bindRmb"",2000}"
5,16,materialBoss,材料副本,材料副本累计胜利40次,40,"{""bindRmb"",3000}"
5,17,materialBoss,材料副本,材料副本累计胜利45次,45,"{""bindRmb"",4000}"
5,18,materialBoss,材料副本,材料副本累计胜利55次,55,"{""bindRmb"",5000}"
6,11,dragonBossStar,秘境宝藏,秘境宝藏累计星数达到30,30,"{""item"",60005,1}"
6,12,dragonBossStar,秘境宝藏,秘境宝藏累计星数达到60,60,"{""item"",60005,2}"
6,13,dragonBossStar,秘境宝藏,秘境宝藏累计星数达到90,90,"{""item"",60005,3}"
6,14,dragonBossStar,秘境宝藏,秘境宝藏累计星数达到120,120,"{""item"",60005,4}"
6,15,dragonBossStar,秘境宝藏,秘境宝藏累计星数达到140,140,"{""item"",60005,5}"
6,16,dragonBossStar,秘境宝藏,秘境宝藏累计星数达到160,160,"{""item"",60005,6}"
6,17,dragonBossStar,秘境宝藏,秘境宝藏累计星数达到180,180,"{""item"",60005,7}"
6,18,dragonBossStar,秘境宝藏,秘境宝藏累计星数达到200,200,"{""item"",60005,8}"
7,11,heavenTrial,三界试炼,三界试炼第5层,15,"{""bindRmb"",400}"
7,12,heavenTrial,三界试炼,三界试炼第10层,20,"{""bindRmb"",1000}"
7,13,heavenTrial,三界试炼,三界试炼第15层,25,"{""bindRmb"",2000}"
7,14,heavenTrial,三界试炼,三界试炼第18层,28,"{""bindRmb"",3000}"
7,15,heavenTrial,三界试炼,三界试炼第21层,31,"{""bindRmb"",4000}"
7,16,heavenTrial,三界试炼,三界试炼第23层,33,"{""bindRmb"",5000}"
7,17,heavenTrial,三界试炼,三界试炼第25层,35,"{""bindRmb"",6000}"
7,18,heavenTrial,三界试炼,三界试炼第30层,40,"{""bindRmb"",7000}"
8,11,XianLv,仙君,仙君总阶级10阶,10,"{""item"",20014,10}"
8,12,XianLv,仙君,仙君总阶级15阶,15,"{""item"",20014,20}"
