天数,索引,描述,要求,要求,原价,现价,限购数量(0不限购),限时(秒),物品
day_kn,index_kn,tips_s,stageUp_s,cond_n,oldPrice,newPrice,limitCount,limitTime,item_t
1,11,坐骑进阶丹,HeroRide,1,7000,1400,5,86400,"{""item"",20001,70}"
1,12,坐骑进阶丹,HeroRide,1,5000,1500,1,86400,"{""item"",20001,50}"
1,13,坐骑技能书,HeroRide,1,2000,800,1,86400,"{""item"",30001,1}"
1,14,坐骑进阶丹,HeroRide,4,2600,520,5,86400,"{""item"",20001,26}"
1,15,坐骑进阶丹,HeroRide,4,9000,2700,5,86400,"{""item"",20001,90}"
1,16,坐骑技能书,HeroRide,4,2000,800,1,86400,"{""item"",30001,1}"
1,17,坐骑进阶丹,HeroRide,5,5400,1080,5,86400,"{""item"",20001,54}"
1,18,坐骑进阶丹,HeroRide,5,3800,1140,5,86400,"{""item"",20001,38}"
1,19,坐骑技能书,HeroRide,5,2000,800,1,86400,"{""item"",30001,1}"
1,20,坐骑进阶丹,HeroRide,6,8000,1600,10,86400,"{""item"",20001,80}"
1,21,坐骑进阶丹,HeroRide,6,6000,1800,10,86400,"{""item"",20001,60}"
1,22,坐骑6阶经验丹,HeroRide,6,5000,2500,1,86400,"{""item"",20026,1}"
1,23,坐骑进阶丹,HeroRide,7,8000,1600,10,86400,"{""item"",20001,80}"
1,24,坐骑进阶丹,HeroRide,7,6000,1800,10,86400,"{""item"",20001,60}"
1,25,坐骑7阶经验丹,HeroRide,7,5000,2500,1,86400,"{""item"",20027,1}"
1,26,坐骑进阶丹,HeroRide,8,8000,1600,10,86400,"{""item"",20001,80}"
1,27,坐骑进阶丹,HeroRide,8,5500,1650,10,86400,"{""item"",20001,55}"
1,28,坐骑8阶经验丹,HeroRide,8,5000,2500,1,86400,"{""item"",20028,1}"
1,29,坐骑进阶丹,HeroRide,9,11500,2300,20,86400,"{""item"",20001,115}"
1,30,坐骑进阶丹,HeroRide,9,8000,2400,20,86400,"{""item"",20001,80}"
1,31,坐骑9阶经验丹,HeroRide,9,5000,2500,1,86400,"{""item"",20029,1}"
1,32,坐骑进阶丹,HeroRide,10,16500,3300,20,86400,"{""item"",20001,165}"
1,33,坐骑进阶丹,HeroRide,10,11500,3450,20,86400,"{""item"",20001,115}"
2,11,天仙进阶丹,TianXian,1,7000,1400,5,86400,"{""item"",20002,70}"
2,12,天仙进阶丹,TianXian,1,5000,1500,1,86400,"{""item"",20002,50}"
2,13,天仙技能书,TianXian,1,2000,800,1,86400,"{""item"",30007,1}"
2,14,天仙进阶丹,TianXian,4,2600,520,5,86400,"{""item"",20002,26}"
2,15,天仙进阶丹,TianXian,4,9000,2700,5,86400,"{""item"",20002,90}"
2,16,天仙技能书,TianXian,4,2000,800,1,86400,"{""item"",30007,1}"
2,17,天仙进阶丹,TianXian,5,5400,1080,5,86400,"{""item"",20002,54}"
2,18,天仙进阶丹,TianXian,5,3800,1140,5,86400,"{""item"",20002,38}"
2,19,天仙技能书,TianXian,5,2000,800,1,86400,"{""item"",30007,1}"
2,20,天仙进阶丹,TianXian,6,8000,1600,10,86400,"{""item"",20002,80}"
2,21,天仙进阶丹,TianXian,6,6000,1800,10,86400,"{""item"",20002,60}"
2,22,天仙6阶经验丹,TianXian,6,5000,2500,1,86400,"{""item"",20031,1}"
2,23,天仙进阶丹,TianXian,7,8000,1600,10,86400,"{""item"",20002,80}"
2,24,天仙进阶丹,TianXian,7,6000,1800,10,86400,"{""item"",20002,60}"
2,25,天仙7阶经验丹,TianXian,7,5000,2500,1,86400,"{""item"",20032,1}"
2,26,天仙进阶丹,TianXian,8,8000,1600,10,86400,"{""item"",20002,80}"
2,27,天仙进阶丹,TianXian,8,5500,1650,10,86400,"{""item"",20002,55}"
2,28,天仙8阶经验丹,TianXian,8,5000,2500,1,86400,"{""item"",20033,1}"
2,29,天仙进阶丹,TianXian,9,11500,2300,20,86400,"{""item"",20002,115}"
2,30,天仙进阶丹,TianXian,9,8000,2400,20,86400,"{""item"",20002,80}"
2,31,天仙9阶经验丹,TianXian,9,5000,2500,1,86400,"{""item"",20034,1}"
2,32,天仙进阶丹,TianXian,10,16500,3300,20,86400,"{""item"",20002,165}"
2,33,天仙进阶丹,TianXian,10,11500,3450,20,86400,"{""item"",20002,115}"
3,11,神兵进阶丹,TianXianWeapon,1,7000,1400,5,86400,"{""item"",20003,70}"
3,12,神兵进阶丹,TianXianWeapon,1,5000,1500,1,86400,"{""item"",20003,50}"
3,13,神兵技能书,TianXianWeapon,1,2000,800,1,86400,"{""item"",30008,1}"
3,14,神兵进阶丹,TianXianWeapon,4,2600,520,5,86400,"{""item"",20003,26}"
3,15,神兵进阶丹,TianXianWeapon,4,9000,2700,5,86400,"{""item"",20003,90}"
3,16,神兵技能书,TianXianWeapon,4,2000,800,1,86400,"{""item"",30008,1}"
3,17,神兵进阶丹,TianXianWeapon,5,5400,1080,5,86400,"{""item"",20003,54}"
3,18,神兵进阶丹,TianXianWeapon,5,3800,1140,5,86400,"{""item"",20003,38}"
3,19,神兵技能书,TianXianWeapon,5,2000,800,1,86400,"{""item"",30008,1}"
3,20,神兵进阶丹,TianXianWeapon,6,8000,1600,10,86400,"{""item"",20003,80}"
