天数,索引,描述,升阶类型,要求,奖励
day_kn,index_kn,tips_s,stageUp_s,cond_n,prize_t
1,11,坐骑达到2阶,HeroRide,2,"{""item"",20001,2}"
1,12,坐骑达到3阶,HeroRide,3,"{""item"",20001,3},{""item"",30001,1}"
1,13,坐骑达到4阶,HeroRide,4,"{""item"",20001,5},{""commonEquip"",10004,1,5,11}"
1,14,坐骑达到5阶,HeroRide,5,"{""item"",20001,10},{""commonEquip"",10005,1,5,11}"
1,15,坐骑达到6阶,HeroRide,6,"{""item"",20001,15},{""commonEquip"",10006,1,5,11}"
1,16,坐骑达到7阶,HeroRide,7,"{""item"",20001,20},{""commonEquip"",10007,1,5,11}"
1,17,坐骑达到8阶,HeroRide,8,"{""item"",20001,25},{""commonEquip"",10008,1,5,11}"
1,18,坐骑达到9阶,HeroRide,9,"{""item"",20001,30},{""commonEquip"",10009,1,5,11}"
1,19,坐骑达到10阶,HeroRide,10,"{""item"",20001,35},{""commonEquip"",10010,1,5,11}"
2,11,天仙达到2阶,TianXian,2,"{""item"",20002,2}"
2,12,天仙达到3阶,TianXian,3,"{""item"",20002,3},{""item"",30007,1}"
2,13,天仙达到4阶,TianXian,4,"{""item"",20002,5},{""commonEquip"",10244,1,5,11}"
2,14,天仙达到5阶,TianXian,5,"{""item"",20002,10},{""commonEquip"",10245,1,5,11}"
2,15,天仙达到6阶,TianXian,6,"{""item"",20002,15},{""commonEquip"",10246,1,5,11}"
2,16,天仙达到7阶,TianXian,7,"{""item"",20002,20},{""commonEquip"",10247,1,5,11}"
2,17,天仙达到8阶,TianXian,8,"{""item"",20002,25},{""commonEquip"",10248,1,5,11}"
2,18,天仙达到9阶,TianXian,9,"{""item"",20002,30},{""commonEquip"",10249,1,5,11}"
2,19,天仙达到10阶,TianXian,10,"{""item"",20002,35},{""commonEquip"",10250,1,5,11}"
3,11,神兵达到2阶,TianXianWeapon,2,"{""item"",20003,2}"
3,12,神兵达到3阶,TianXianWeapon,3,"{""item"",20003,3},{""item"",30008,1}"
3,13,神兵达到4阶,TianXianWeapon,4,"{""item"",20003,5},{""commonEquip"",10284,1,5,11}"
3,14,神兵达到5阶,TianXianWeapon,5,"{""item"",20003,10},{""commonEquip"",10285,1,5,11}"
3,15,神兵达到6阶,TianXianWeapon,6,"{""item"",20003,15},{""commonEquip"",10286,1,5,11}"
3,16,神兵达到7阶,TianXianWeapon,7,"{""item"",20003,20},{""commonEquip"",10287,1,5,11}"
3,17,神兵达到8阶,TianXianWeapon,8,"{""item"",20003,25},{""commonEquip"",10288,1,5,11}"
3,18,神兵达到9阶,TianXianWeapon,9,"{""item"",20003,30},{""commonEquip"",10289,1,5,11}"
3,19,神兵达到10阶,TianXianWeapon,10,"{""item"",20003,35},{""commonEquip"",10290,1,5,11}"
4,11,翅膀达到2阶,HeroWing,2,"{""item"",20004,2}"
4,12,翅膀达到3阶,HeroWing,3,"{""item"",20004,3},{""item"",30002,1}"
4,13,翅膀达到4阶,HeroWing,4,"{""item"",20004,5},{""commonEquip"",10044,1,5,11}"
4,14,翅膀达到5阶,HeroWing,5,"{""item"",20004,10},{""commonEquip"",10045,1,5,11}"
4,15,翅膀达到6阶,HeroWing,6,"{""item"",20004,15},{""commonEquip"",10046,1,5,11}"
4,16,翅膀达到7阶,HeroWing,7,"{""item"",20004,20},{""commonEquip"",10047,1,5,11}"
4,17,翅膀达到8阶,HeroWing,8,"{""item"",20004,25},{""commonEquip"",10048,1,5,11}"
4,18,翅膀达到9阶,HeroWing,9,"{""item"",20004,30},{""commonEquip"",10049,1,5,11}"
4,19,翅膀达到10阶,HeroWing,10,"{""item"",20004,35},{""commonEquip"",10050,1,5,11}"
5,11,法阵达到2阶,XianLvFaZhen,2,"{""item"",20005,2}"
5,12,法阵达到3阶,XianLvFaZhen,3,"{""item"",20005,3},{""item"",30003,1}"
5,13,法阵达到4阶,XianLvFaZhen,4,"{""item"",20005,5},{""commonEquip"",10084,1,5,11}"
5,14,法阵达到5阶,XianLvFaZhen,5,"{""item"",20005,10},{""commonEquip"",10085,1,5,11}"
5,15,法阵达到6阶,XianLvFaZhen,6,"{""item"",20005,15},{""commonEquip"",10086,1,5,11}"
5,16,法阵达到7阶,XianLvFaZhen,7,"{""item"",20005,20},{""commonEquip"",10087,1,5,11}"
5,17,法阵达到8阶,XianLvFaZhen,8,"{""item"",20005,25},{""commonEquip"",10088,1,5,11}"
5,18,法阵达到9阶,XianLvFaZhen,9,"{""item"",20005,30},{""commonEquip"",10089,1,5,11}"
5,19,法阵达到10阶,XianLvFaZhen,10,"{""item"",20005,35},{""commonEquip"",10090,1,5,11}"
6,11,神位达到2阶,XianLvXianWei,2,"{""item"",20006,2}"
6,12,神位达到3阶,XianLvXianWei,3,"{""item"",20006,3},{""item"",30004,1}"
6,13,神位达到4阶,XianLvXianWei,4,"{""item"",20006,5},{""commonEquip"",10124,1,5,11}"
6,14,神位达到5阶,XianLvXianWei,5,"{""item"",20006,10},{""commonEquip"",10125,1,5,11}"
6,15,神位达到6阶,XianLvXianWei,6,"{""item"",20006,15},{""commonEquip"",10126,1,5,11}"
6,16,神位达到7阶,XianLvXianWei,7,"{""item"",20006,20},{""commonEquip"",10127,1,5,11}"
6,17,神位达到8阶,XianLvXianWei,8,"{""item"",20006,25},{""commonEquip"",10128,1,5,11}"
6,18,神位达到9阶,XianLvXianWei,9,"{""item"",20006,30},{""commonEquip"",10129,1,5,11}"
6,19,神位达到10阶,XianLvXianWei,10,"{""item"",20006,35},{""commonEquip"",10130,1,5,11}"
7,11,通灵达到2阶,PetTongLin,2,"{""item"",20007,2}"
7,12,通灵达到3阶,PetTongLin,3,"{""item"",20007,3},{""item"",30005,1}"
7,13,通灵达到4阶,PetTongLin,4,"{""item"",20007,5},{""commonEquip"",10164,1,5,11}"
7,14,通灵达到5阶,PetTongLin,5,"{""item"",20007,10},{""commonEquip"",10165,1,5,11}"
7,15,通灵达到6阶,PetTongLin,6,"{""item"",20007,15},{""commonEquip"",10166,1,5,11}"
7,16,通灵达到7阶,PetTongLin,7,"{""item"",20007,20},{""commonEquip"",10167,1,5,11}"
7,17,通灵达到8阶,PetTongLin,8,"{""item"",20007,25},{""commonEquip"",10168,1,5,11}"
7,18,通灵达到9阶,PetTongLin,9,"{""item"",20007,30},{""commonEquip"",10169,1,5,11}"
7,19,通灵达到10阶,PetTongLin,10,"{""item"",20007,35},{""commonEquip"",10170,1,5,11}"
8,11,元神达到2阶,PetSouHun,2,"{""item"",20008,2}"
8,12,元神达到3阶,PetSouHun,3,"{""item"",20008,3},{""item"",30006,1}"
8,13,元神达到4阶,PetSouHun,4,"{""item"",20008,5},{""commonEquip"",10204,1,5,11}"
8,14,元神达到5阶,PetSouHun,5,"{""item"",20008,10},{""commonEquip"",10205,1,5,11}"
8,15,元神达到6阶,PetSouHun,6,"{""item"",20008,15},{""commonEquip"",10206,1,5,11}"
8,16,元神达到7阶,PetSouHun,7,"{""item"",20008,20},{""commonEquip"",10207,1,5,11}"
8,17,元神达到8阶,PetSouHun,8,"{""item"",20008,25},{""commonEquip"",10208,1,5,11}"
