类型,索引,活动图标,主界面图标,顺序名称,主要奖励显示,通关奖励显示,怪物模型,描述,怪物列表,怪物等级,奖励,是否发送超链接(1是0否),怪物索引（用于通关推荐战力，不同怪物不同索引）,持续天数
typeIndex_kn,index_kn,icon_s,mainIcon_s,indexName_s,mainPrizeShow_t,prizeShow_t,monModelId,tips_s,monster_t,monsterLevel,prize_t,broad,npcStageUpIndex_n,lastDay
1,0,kfhd_Bt36,zjm_Bt55,第1关,"{""item"",60033,1}","{""item"",60033,1},{""item"",60017,1},{""item"",30001,2},{""item"",20001,10}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",,"{""item"",60033,1},{""item"",60017,1},{""item"",30001,2},{""item"",20001,10}",0,0,8
1,1,kfhd_Bt36,zjm_Bt55,第2关,"{""item"",60039,1}","{""item"",60039,1},{""item"",60017,1},{""item"",30007,2},{""item"",20002,10}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1009,"{""item"",60039,1},{""item"",60017,1},{""item"",30007,2},{""item"",20002,10}",0,0,8
1,2,kfhd_Bt36,zjm_Bt55,第3关,"{""talisman"",19007,1,4}","{""talisman"",19007,1,4},{""item"",60017,2},{""item"",30008,2},{""item"",20003,10}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1010,"{""talisman"",19007,1,4},{""item"",60017,2},{""item"",30008,2},{""item"",20003,10}",0,0,8
1,3,kfhd_Bt36,zjm_Bt55,第4关,"{""item"",60034,2}","{""item"",60034,2},{""item"",60017,2},{""item"",30002,3},{""item"",20004,20}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1011,"{""item"",60034,2},{""item"",60017,2},{""item"",30002,3},{""item"",20004,20}",0,0,8
1,4,kfhd_Bt36,zjm_Bt55,第5关,"{""item"",60035,2}","{""item"",60035,2},{""item"",60017,3},{""item"",30003,3},{""item"",20005,20}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1012,"{""item"",60035,2},{""item"",60017,3},{""item"",30003,3},{""item"",20005,20}",0,0,8
1,5,kfhd_Bt36,zjm_Bt55,第6关,"{""talisman"",19008,1,4}","{""talisman"",19008,1,4},{""item"",60017,3},{""item"",30004,3},{""item"",20006,20}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1013,"{""talisman"",19008,1,4},{""item"",60017,3},{""item"",30004,3},{""item"",20006,20}",1,0,8
1,6,kfhd_Bt36,zjm_Bt55,第7关,"{""item"",60037,3}","{""item"",60037,3},{""item"",60017,4},{""item"",30005,4},{""item"",20007,30}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1014,"{""item"",60037,3},{""item"",60017,4},{""item"",30005,4},{""item"",20007,30}",1,0,8
1,7,kfhd_Bt36,zjm_Bt55,第8关,"{""item"",40019,1}","{""item"",40019,1},{""item"",60017,4},{""item"",30006,4},{""item"",20008,30}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1015,"{""item"",40019,1},{""item"",60017,4},{""item"",30006,4},{""item"",20008,30}",1,0,8
1,8,kfhd_Bt36,zjm_Bt55,第9关,"{""talisman"",19004,1,5}","{""talisman"",19004,1,5},{""item"",60017,5},{""item"",30001,4}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1016,"{""talisman"",19004,1,5},{""item"",60017,5},{""item"",30001,4}",1,0,8
