活动索引,商品索引,描述,活动维持几天,要求,要求,货币,现价,限购数量(0不限购),物品
day_kn,index_kn,tips_s,continueDay_n,stageUp_s,cond_n,unit,newPrice,limitCount,item_t
1,11,价格：1888元宝,8,,,3,1888,20,"{""item"",60086,200}"
1,12,价格：1999元宝,8,,,3,1999,50,"{""funds"",70000000}"
1,13,价格：4000元宝,8,,,3,4000,2,"{""item"",60008,7}"
1,14,价格：8000元宝,8,,,3,8000,5,"{""item"",60059,1}"
1,15,价格：4500元宝,8,,,3,4500,10,"{""item"",60017,8}"
1,16,价格：30000元宝,8,,,3,30000,5,"{""item"",60018,5}"
2,11,价格：1888元宝,8,,,3,1888,20,"{""item"",60086,200}"
2,12,价格：1999元宝,8,,,3,1999,50,"{""funds"",70000000}"
2,13,价格：4000元宝,8,,,3,4000,2,"{""item"",60008,7}"
2,14,价格：8000元宝,8,,,3,8000,5,"{""item"",60059,1}"
2,15,价格：4500元宝,8,,,3,4500,10,"{""item"",60017,8}"
2,16,价格：30000元宝,8,,,3,30000,5,"{""item"",60018,5}"
