活动索引,商品索引,描述,活动维持几天,要求,要求,货币,原价,现价,限购数量(0不限购),限购刷新时间,物品
day_kn,index_kn,tips_s,continueDay_n,stageUp_s,cond_n,unit,oldPrice,newPrice,limitCount,limitDay,item_t
1,11,,8,,,3,200,100,5,1,"{""item"",60009,1}"
1,12,,8,,,3,1000,600,5,1,"{""item"",60009,5}"
1,13,,8,,,3,4000,2800,5,1,"{""item"",60009,20}"
1,14,,8,,,3,280,140,5,1,"{""item"",60007,1}"
1,15,,8,,,3,1400,840,5,1,"{""item"",60007,5}"
1,16,,8,,,3,5600,3920,5,1,"{""item"",60007,20}"
1,17,,8,,,3,600,300,20,1,"{""item"",60010,1}"
1,18,,8,,,3,1800,1080,5,1,"{""item"",60010,3}"
1,19,,8,,,3,6000,4200,5,1,"{""item"",60010,10}"
1,20,,8,,,3,5000,4000,999,1,"{""item"",20015,50}"
1,21,,8,,,3,10000,6000,5,1,"{""item"",20015,100}"
1,22,,8,,,3,20000,14000,5,1,"{""item"",20015,200}"
1,23,,8,,,3,500,300,1,1,"{""item"",60071,1}"
1,24,,8,,,3,2500,1500,10,1,"{""item"",60012,10}"
1,25,,8,,,3,800,480,30,1,"{""item"",60008,1}"
2,11,,8,,,3,100000,60000,5,8,"{""item"",50010,15}"
2,12,,8,,,3,40000,28000,5,8,"{""item"",50010,6}"
2,13,,8,,,3,20000,16000,5,8,"{""item"",50010,3}"
2,14,,8,,,3,1000,400,70,1,"{""item"",60017,1}"
2,15,,8,,,3,6000,2400,10,1,"{""item"",60018,1}"
2,16,,8,,,3,5000,4000,999,1,"{""item"",20015,50}"
2,17,,8,,,3,10000,6000,5,1,"{""item"",20015,100}"
2,18,,8,,,3,800,480,30,1,"{""item"",60008,1}"
2,19,,8,,,3,300,150,20,1,"{""item"",60009,3}"
2,20,,8,,,3,600,360,35,1,"{""item"",60010,1}"
2,21,,8,,,3,560,280,20,1,"{""item"",60007,2}"
2,22,,8,,,3,250,125,999,1,"{""item"",60005,1}"
2,23,,8,,,3,1000,600,50,1,"{""item"",60006,1}"
3,11,,8,,,3,200,100,5,1,"{""item"",60009,1}"
3,12,,8,,,3,1000,600,5,1,"{""item"",60009,5}"
3,13,,8,,,3,4000,2800,5,1,"{""item"",60009,20}"
3,14,,8,,,3,280,140,5,1,"{""item"",60007,1}"
3,15,,8,,,3,1400,840,5,1,"{""item"",60007,5}"
3,16,,8,,,3,5600,3920,5,1,"{""item"",60007,20}"
3,17,,8,,,3,600,300,20,1,"{""item"",60010,1}"
3,18,,8,,,3,1800,1080,5,1,"{""item"",60010,3}"
3,19,,8,,,3,6000,4200,5,1,"{""item"",60010,10}"
3,20,,8,,,3,5000,4000,999,1,"{""item"",20015,50}"
3,21,,8,,,3,10000,6000,5,1,"{""item"",20015,100}"
3,22,,8,,,3,20000,14000,5,1,"{""item"",20015,200}"
3,23,,8,,,3,500,300,1,1,"{""item"",60071,1}"
3,24,,8,,,3,2500,1500,10,1,"{""item"",60012,10}"
3,25,,8,,,3,800,480,30,1,"{""item"",60008,1}"
4,11,,8,,,3,100000,60000,5,8,"{""item"",50010,15}"
4,12,,8,,,3,40000,28000,5,8,"{""item"",50010,6}"
4,13,,8,,,3,20000,16000,5,8,"{""item"",50010,3}"
4,14,,8,,,3,1000,400,70,1,"{""item"",60017,1}"
4,15,,8,,,3,6000,2400,10,1,"{""item"",60018,1}"
4,16,,8,,,3,5000,4000,999,1,"{""item"",20015,50}"
4,17,,8,,,3,10000,6000,5,1,"{""item"",20015,100}"
4,18,,8,,,3,800,480,30,1,"{""item"",60008,1}"
4,19,,8,,,3,300,150,20,1,"{""item"",60009,3}"
4,20,,8,,,3,600,360,35,1,"{""item"",60010,1}"
4,21,,8,,,3,560,280,20,1,"{""item"",60007,2}"
4,22,,8,,,3,250,125,999,1,"{""item"",60005,1}"
4,23,,8,,,3,1000,600,50,1,"{""item"",60006,1}"
