天数,索引,标题,描述,要求,要求,奖励
day_kn,index_kn,title_s,tips_s,stageUp_s,cond_n,prize_t
1,0,神兵进阶,神兵达到4阶,TianXianWeapon,4,"{""item"",20003,5}"
1,1,神兵进阶,神兵达到5阶,TianXianWeapon,5,"{""item"",20003,10},{""commonEquip"",10315,1,5,11}"
1,2,神兵进阶,神兵达到6阶,TianXianWeapon,6,"{""item"",20003,15},{""commonEquip"",10316,1,5,11}"
1,3,神兵进阶,神兵达到7阶,TianXianWeapon,7,"{""item"",20003,20},{""commonEquip"",10317,1,5,11}"
1,4,神兵进阶,神兵达到8阶,TianXianWeapon,8,"{""item"",20003,25},{""commonEquip"",10318,1,5,11}"
1,5,神兵进阶,神兵达到9阶,TianXianWeapon,9,"{""item"",20003,25},{""commonEquip"",10319,1,5,11}"
1,6,神兵进阶,神兵达到10阶,TianXianWeapon,10,"{""item"",20003,25},{""commonEquip"",10320,1,5,11}"
2,0,翅膀进阶,翅膀达到4阶,HeroWing,4,"{""item"",20004,5}"
2,1,翅膀进阶,翅膀达到5阶,HeroWing,5,"{""item"",20004,10},{""commonEquip"",10075,1,5,11}"
2,2,翅膀进阶,翅膀达到6阶,HeroWing,6,"{""item"",20004,15},{""commonEquip"",10076,1,5,11}"
2,3,翅膀进阶,翅膀达到7阶,HeroWing,7,"{""item"",20004,20},{""commonEquip"",10077,1,5,11}"
2,4,翅膀进阶,翅膀达到8阶,HeroWing,8,"{""item"",20004,25},{""commonEquip"",10078,1,5,11}"
2,5,翅膀进阶,翅膀达到9阶,HeroWing,9,"{""item"",20004,25},{""commonEquip"",10079,1,5,11}"
2,6,翅膀进阶,翅膀达到10阶,HeroWing,10,"{""item"",20004,25},{""commonEquip"",10080,1,5,11}"
3,0,元神进阶,元神达到4阶,PetSouHun,4,"{""item"",20008,5}"
3,1,元神进阶,元神达到5阶,PetSouHun,5,"{""item"",20008,10},{""commonEquip"",10235,1,5,11}"
3,2,元神进阶,元神达到6阶,PetSouHun,6,"{""item"",20008,15},{""commonEquip"",10236,1,5,11}"
3,3,元神进阶,元神达到7阶,PetSouHun,7,"{""item"",20008,20},{""commonEquip"",10237,1,5,11}"
3,4,元神进阶,元神达到8阶,PetSouHun,8,"{""item"",20008,25},{""commonEquip"",10238,1,5,11}"
3,5,元神进阶,元神达到9阶,PetSouHun,9,"{""item"",20008,25},{""commonEquip"",10239,1,5,11}"
3,6,元神进阶,元神达到10阶,PetSouHun,10,"{""item"",20008,25},{""commonEquip"",10240,1,5,11}"
4,0,通灵进阶,通灵达到4阶,PetTongLin,4,"{""item"",20007,5}"
4,1,通灵进阶,通灵达到5阶,PetTongLin,5,"{""item"",20007,10},{""commonEquip"",10195,1,5,11}"
4,2,通灵进阶,通灵达到6阶,PetTongLin,6,"{""item"",20007,15},{""commonEquip"",10196,1,5,11}"
4,3,通灵进阶,通灵达到7阶,PetTongLin,7,"{""item"",20007,20},{""commonEquip"",10197,1,5,11}"
4,4,通灵进阶,通灵达到8阶,PetTongLin,8,"{""item"",20007,25},{""commonEquip"",10198,1,5,11}"
4,5,通灵进阶,通灵达到9阶,PetTongLin,9,"{""item"",20007,25},{""commonEquip"",10199,1,5,11}"
4,6,通灵进阶,通灵达到10阶,PetTongLin,10,"{""item"",20007,25},{""commonEquip"",10200,1,5,11}"
5,0,翅膀进阶,翅膀达到4阶,HeroWing,4,"{""item"",20001,5}"
5,1,翅膀进阶,翅膀达到5阶,HeroWing,5,"{""item"",20001,10},{""commonEquip"",10045,1,5,11}"
5,2,翅膀进阶,翅膀达到6阶,HeroWing,6,"{""item"",20001,15},{""commonEquip"",10046,1,5,11}"
5,3,翅膀进阶,翅膀达到7阶,HeroWing,7,"{""item"",20001,20},{""commonEquip"",10047,1,5,11}"
5,4,翅膀进阶,翅膀达到8阶,HeroWing,8,"{""item"",20001,25},{""commonEquip"",10048,1,5,11}"
5,5,翅膀进阶,翅膀达到9阶,HeroWing,9,"{""item"",20001,25},{""commonEquip"",10049,1,5,11}"
5,6,翅膀进阶,翅膀达到10阶,HeroWing,10,"{""item"",20001,25},{""commonEquip"",10050,1,5,11}"
6,0,神兵进阶,神兵达到4阶,TianXianWeapon,4,"{""item"",20003,5}"
6,1,神兵进阶,神兵达到5阶,TianXianWeapon,5,"{""item"",20003,10},{""commonEquip"",10285,1,5,11}"
6,2,神兵进阶,神兵达到6阶,TianXianWeapon,6,"{""item"",20003,15},{""commonEquip"",10286,1,5,11}"
6,3,神兵进阶,神兵达到7阶,TianXianWeapon,7,"{""item"",20003,20},{""commonEquip"",10287,1,5,11}"
6,4,神兵进阶,神兵达到8阶,TianXianWeapon,8,"{""item"",20003,25},{""commonEquip"",10288,1,5,11}"
6,5,神兵进阶,神兵达到9阶,TianXianWeapon,9,"{""item"",20003,25},{""commonEquip"",10289,1,5,11}"
6,6,神兵进阶,神兵达到10阶,TianXianWeapon,10,"{""item"",20003,25},{""commonEquip"",10290,1,5,11}"
7,0,天仙进阶,天仙达到4阶,TianXian,4,"{""item"",20002,5}"
7,1,天仙进阶,天仙达到5阶,TianXian,5,"{""item"",20002,10},{""commonEquip"",10245,1,5,11}"
7,2,天仙进阶,天仙达到6阶,TianXian,6,"{""item"",20002,15},{""commonEquip"",10246,1,5,11}"
7,3,天仙进阶,天仙达到7阶,TianXian,7,"{""item"",20002,20},{""commonEquip"",10247,1,5,11}"
7,4,天仙进阶,天仙达到8阶,TianXian,8,"{""item"",20002,25},{""commonEquip"",10248,1,5,11}"
7,5,天仙进阶,天仙达到9阶,TianXian,9,"{""item"",20002,25},{""commonEquip"",10249,1,5,11}"
7,6,天仙进阶,天仙达到10阶,TianXian,10,"{""item"",20002,25},{""commonEquip"",10250,1,5,11}"
8,0,坐骑进阶,坐骑达到4阶,HeroRide,4,"{""item"",20001,5}"
8,1,坐骑进阶,坐骑达到5阶,HeroRide,5,"{""item"",20001,10},{""commonEquip"",10005,1,5,11}"
8,2,坐骑进阶,坐骑达到6阶,HeroRide,6,"{""item"",20001,15},{""commonEquip"",10006,1,5,11}"
8,3,坐骑进阶,坐骑达到7阶,HeroRide,7,"{""item"",20001,20},{""commonEquip"",10007,1,5,11}"
8,4,坐骑进阶,坐骑达到8阶,HeroRide,8,"{""item"",20001,25},{""commonEquip"",10008,1,5,11}"
8,5,坐骑进阶,坐骑达到9阶,HeroRide,9,"{""item"",20001,25},{""commonEquip"",10009,1,5,11}"
8,6,坐骑进阶,坐骑达到10阶,HeroRide,10,"{""item"",20001,25},{""commonEquip"",10010,1,5,11}"
9,0,女儿国王进阶,女儿国王达到4阶,TianNv,4,"{""item"",20009,5}"
9,1,女儿国王进阶,女儿国王达到5阶,TianNv,5,"{""item"",20009,10},{""commonEquip"",10325,1,5,11}"
9,2,女儿国王进阶,女儿国王达到6阶,TianNv,6,"{""item"",20009,15},{""commonEquip"",10326,1,5,11}"
9,3,女儿国王进阶,女儿国王达到7阶,TianNv,7,"{""item"",20009,20},{""commonEquip"",10327,1,5,11}"
9,4,女儿国王进阶,女儿国王达到8阶,TianNv,8,"{""item"",20009,25},{""commonEquip"",10328,1,5,11}"
9,5,女儿国王进阶,女儿国王达到9阶,TianNv,9,"{""item"",20009,25},{""commonEquip"",10329,1,5,11}"
9,6,女儿国王进阶,女儿国王达到10阶,TianNv,10,"{""item"",20009,25},{""commonEquip"",10330,1,5,11}"
10,0,仙器进阶,仙器达到4阶,TianNvXianQi,4,"{""item"",20010,5}"
10,1,仙器进阶,仙器达到5阶,TianNvXianQi,5,"{""item"",20010,10},{""commonEquip"",10365,1,5,11}"
10,2,仙器进阶,仙器达到6阶,TianNvXianQi,6,"{""item"",20010,15},{""commonEquip"",10366,1,5,11}"
10,3,仙器进阶,仙器达到7阶,TianNvXianQi,7,"{""item"",20010,20},{""commonEquip"",10367,1,5,11}"
10,4,仙器进阶,仙器达到8阶,TianNvXianQi,8,"{""item"",20010,25},{""commonEquip"",10368,1,5,11}"
10,5,仙器进阶,仙器达到9阶,TianNvXianQi,9,"{""item"",20010,25},{""commonEquip"",10369,1,5,11}"
10,6,仙器进阶,仙器达到10阶,TianNvXianQi,10,"{""item"",20010,25},{""commonEquip"",10370,1,5,11}"
11,0,花辇进阶,花辇达到4阶,TianNvHuaNian,4,"{""item"",20011,5}"
11,1,花辇进阶,花辇达到5阶,TianNvHuaNian,5,"{""item"",20011,10},{""commonEquip"",10405,1,5,11}"
11,2,花辇进阶,花辇达到6阶,TianNvHuaNian,6,"{""item"",20011,15},{""commonEquip"",10406,1,5,11}"
11,3,花辇进阶,花辇达到7阶,TianNvHuaNian,7,"{""item"",20011,20},{""commonEquip"",10407,1,5,11}"
11,4,花辇进阶,花辇达到8阶,TianNvHuaNian,8,"{""item"",20011,25},{""commonEquip"",10408,1,5,11}"
11,5,花辇进阶,花辇达到9阶,TianNvHuaNian,9,"{""item"",20011,25},{""commonEquip"",10409,1,5,11}"
11,6,花辇进阶,花辇达到10阶,TianNvHuaNian,10,"{""item"",20011,25},{""commonEquip"",10410,1,5,11}"
12,0,灵气进阶,灵气达到4阶,TianNvLingQi,4,"{""item"",20012,5}"
12,1,灵气进阶,灵气达到5阶,TianNvLingQi,5,"{""item"",20012,10},{""commonEquip"",10445,1,5,11}"
12,2,灵气进阶,灵气达到6阶,TianNvLingQi,6,"{""item"",20012,15},{""commonEquip"",10446,1,5,11}"
12,3,灵气进阶,灵气达到7阶,TianNvLingQi,7,"{""item"",20012,20},{""commonEquip"",10447,1,5,11}"
12,4,灵气进阶,灵气达到8阶,TianNvLingQi,8,"{""item"",20012,25},{""commonEquip"",10448,1,5,11}"
12,5,灵气进阶,灵气达到9阶,TianNvLingQi,9,"{""item"",20012,25},{""commonEquip"",10449,1,5,11}"
12,6,灵气进阶,灵气达到10阶,TianNvLingQi,10,"{""item"",20012,25},{""commonEquip"",10450,1,5,11}"
13,0,神位进阶,神位达到4阶,XianLvXianWei,4,"{""item"",20006,5}"
13,1,神位进阶,神位达到5阶,XianLvXianWei,5,"{""item"",20006,10},{""commonEquip"",10135,1,5,11}"
