充值Id,"充值类型(1普通充值,2战争号角，3宗族资材，4星灵,5是卖将)",充值金额,返利数量,首冲赠送,获得数量,单位名称,描述：用于写入日志,元宝图片,都填元宝这两个字
RechargeId_kn,Type_n,ChargeCount_n,Rebate_n,First_n,Gain_n,title_s,Tips_s,Image_s,UnitName_s
1,1,6,0,600,600,元宝,6元,cz_yuanBaoIcon01,元宝
2,1,18,0,1800,1800,元宝,18元,cz_yuanBaoIcon01,元宝
3,1,30,0,3000,3000,元宝,30元,cz_yuanBaoIcon01,元宝
4,1,50,0,5000,5000,元宝,50元,cz_yuanBaoIcon01,元宝
5,1,98,0,9800,9800,元宝,98元,cz_yuanBaoIcon02,元宝
6,1,198,0,19800,19800,元宝,198元,cz_yuanBaoIcon02,元宝
7,1,298,0,29800,29800,元宝,298元,cz_yuanBaoIcon02,元宝
8,1,388,0,38800,38800,元宝,388元,cz_yuanBaoIcon02,元宝
1000,2,25,0,0,3000,月卡,25元,,元宝
