据点索引,矿洞类型1小2中3大,矿名字,矿npcid,矿坐标x,矿坐标y,产出总时间(分钟),默认保护时间（秒）,占领数量
sIndex_kn,stype_n,name_s,npcEntryId_n,x_n,y_n,pTime,protect,occuCount_n
1,1,小矿1区,10011,182,98,300,3600,20
2,1,小矿2区,10011,170,92,300,3600,20
3,1,小矿3区,10011,160,85,300,3600,20
4,1,小矿4区,10011,150,82,300,3600,20
5,1,小矿5区,10011,141,77,300,3600,20
6,1,小矿6区,10011,122,86,300,3600,20
7,1,小矿7区,10011,154,68,300,3600,20
8,1,小矿8区,10011,110,77,300,3600,20
9,1,小矿9区,10011,143,59,300,3600,20
10,1,小矿10区,10011,102,67,300,3600,20
11,1,小矿11区,10011,131,51,300,3600,20
12,1,小矿12区,10011,85,38,300,3600,20
13,1,小矿13区,10011,74,29,300,3600,20
14,1,小矿14区,10011,83,13,300,3600,20
15,1,小矿15区,10011,73,14,300,3600,20
16,1,小矿16区,10011,63,16,300,3600,20
17,1,小矿17区,10011,53,31,300,3600,20
18,1,小矿18区,10011,45,13,300,3600,20
19,1,小矿19区,10011,40,28,300,3600,20
20,1,小矿20区,10011,26,33,300,3600,20
21,2,中矿1区,10012,76,59,300,3600,5
22,2,中矿2区,10012,67,75,300,3600,5
23,2,中矿3区,10012,50,64,300,3600,5
24,2,中矿4区,10012,49,74,300,3600,5
25,2,中矿5区,10012,38,97,300,3600,5
26,2,中矿6区,10012,7,92,300,3600,5
27,2,中矿7区,10012,118,32,300,3600,5
28,2,中矿8区,10012,134,23,300,3600,5
29,2,中矿9区,10012,150,29,300,3600,5
30,3,大矿1区,10013,98,52,300,3600,1
