索引,物品Id,第几关开启,开采效率[据点类型]=每分钟开采效率,可能获得物品（最大5个）
index_kn,entryId_n,campaId_n,efficiency_t,itemList_t
1,60142,1001,"[1]=0.3,[2]=0.3,[3]=0.3","60154,60166,60156,"
2,60143,1120,"[1]=0.2,[2]=0.2,[3]=0.2","60177,60167,60162,"
3,60144,1120,"[1]=0.6,[2]=0.6,[3]=0.6","60179,60172,60158,"
4,60145,1120,"[1]=0.6,[2]=0.6,[3]=0.6","60159,60157,60160,"
5,60146,1120,"[1]=0.3,[2]=0.3,[3]=0.3","60168,60174,60153,"
6,60147,1120,"[1]=0.3,[2]=0.3,[3]=0.3","60170,60155,60163,"
7,60148,1220,"[1]=0.1,[2]=0.1,[3]=0.1","60171,60165,60175,"
8,60149,1300,"[1]=0.1,[2]=0.1,[3]=0.1","60176,60180,60173,"
9,60150,1380,"[1]=0.1,[2]=0.1,[3]=0.1","60164,60161,60169,"
10,60151,1450,"[1]=0.1,[2]=0.1,[3]=0.1","60152,60181,60178,"
