名次奖励,多少名次至多少名次,一次活动的排名奖励
index_kn,endIndex_n,prize_t
1,1,"{""bindRmb"",3000},{""item"",20015,45},{""item"",60046,6}"
2,2,"{""bindRmb"",2800},{""item"",20015,42},{""item"",60046,6}"
3,3,"{""bindRmb"",2600},{""item"",20015,40},{""item"",60046,6}"
4,4,"{""bindRmb"",2600},{""item"",20015,40},{""item"",60046,6}"
5,5,"{""bindRmb"",2600},{""item"",20015,40},{""item"",60046,6}"
6,6,"{""bindRmb"",2400},{""item"",20015,38},{""item"",60046,6}"
7,7,"{""bindRmb"",2400},{""item"",20015,38},{""item"",60046,6}"
8,8,"{""bindRmb"",2400},{""item"",20015,38},{""item"",60046,6}"
9,9,"{""bindRmb"",2400},{""item"",20015,38},{""item"",60046,6}"
10,10,"{""bindRmb"",2400},{""item"",20015,38},{""item"",60046,6}"
11,11,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
12,12,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
13,13,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
14,14,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
15,15,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
16,16,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
17,17,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
18,18,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
19,19,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
20,20,"{""bindRmb"",2200},{""item"",20015,36},{""item"",60046,6}"
21,10000,"{""bindRmb"",2000},{""item"",20015,34},{""item"",60046,6}"
