名次奖励,多少名次至多少名次,月活动奖励
index_kn,endIndex_n,prize_t
1,1,"{""item"",60012,500},{""item"",60008,10},{""item"",20015,100},{""item"",60004,2}"
2,2,"{""item"",60012,450},{""item"",60008,9},{""item"",20015,90},{""item"",60004,2}"
3,3,"{""item"",60012,400},{""item"",60008,9},{""item"",20015,80},{""item"",60004,2}"
4,4,"{""item"",60012,370},{""item"",60008,9},{""item"",20015,80},{""item"",60004,2}"
5,5,"{""item"",60012,370},{""item"",60008,9},{""item"",20015,70},{""item"",60004,2}"
6,6,"{""item"",60012,350},{""item"",60008,8},{""item"",20015,70},{""item"",60004,2}"
7,7,"{""item"",60012,350},{""item"",60008,8},{""item"",20015,70},{""item"",60004,2}"
8,8,"{""item"",60012,320},{""item"",60008,8},{""item"",20015,60},{""item"",60004,2}"
9,9,"{""item"",60012,320},{""item"",60008,7},{""item"",20015,60},{""item"",60004,2}"
10,10,"{""item"",60012,300},{""item"",60008,7},{""item"",20015,60},{""item"",60004,2}"
11,11,"{""item"",60012,300},{""item"",60008,7},{""item"",20015,55},{""item"",60004,2}"
12,12,"{""item"",60012,300},{""item"",60008,7},{""item"",20015,55},{""item"",60004,2}"
13,13,"{""item"",60012,300},{""item"",60008,7},{""item"",20015,55},{""item"",60004,2}"
14,14,"{""item"",60012,300},{""item"",60008,7},{""item"",20015,55},{""item"",60004,2}"
15,15,"{""item"",60012,300},{""item"",60008,7},{""item"",20015,55},{""item"",60004,2}"
16,16,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
17,17,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
18,18,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
19,19,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
20,20,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
21,21,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
22,22,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
23,23,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
24,24,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
25,25,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
26,26,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
27,27,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
28,28,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
29,29,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
30,30,"{""item"",60012,280},{""item"",60008,6},{""item"",20015,55},{""item"",60004,1}"
31,31,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
32,32,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
33,33,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
34,34,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
35,35,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
36,36,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
37,37,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
38,38,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
39,39,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
40,40,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
41,41,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
42,42,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
43,43,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
44,44,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
45,45,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
46,46,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
47,47,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
48,48,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
49,49,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
50,50,"{""item"",60012,250},{""item"",60008,6},{""item"",20015,50},{""item"",60045,10}"
51,10000,"{""item"",60012,150},{""item"",60008,5},{""item"",20015,50},{""item"",60045,10}"
