索引,需要积分,积分奖励
index_kn,needScore_n,prize_t
1,5,"{""item"",60060,3},"
2,10,"{""item"",60060,3},"
3,20,"{""item"",60060,3},"
4,30,"{""item"",60060,3},"
5,50,"{""item"",60060,3},"
6,80,"{""item"",60060,3},"
7,100,"{""item"",60002,200},{""item"",60060,3}"
8,120,"{""item"",60060,3},"
9,150,"{""item"",60060,3},"
10,200,"{""item"",20015,3},{""item"",60060,3}"
11,250,"{""item"",20015,3},{""item"",60060,3}"
12,300,"{""item"",20015,3},{""item"",60060,3}"
13,400,"{""item"",20015,3},{""item"",60060,3}"
14,500,"{""item"",20015,3},{""item"",60060,3}"
15,600,"{""item"",20015,3},{""item"",60060,3}"
16,700,"{""item"",20015,3},{""item"",60060,3}"
17,800,"{""item"",60016,3},{""item"",60060,3}"
