宠物ID,名字,金1木2水3火4土5,金木水火土属性值,宠物激活道具ID,需要多少个,主动技能,被动技能列表,宠物头像,宠物模型,头像款的颜色,宠物排序（1000后是绿色，2000后是蓝色，3000后是紫色，4000后是金色，5000后是红色）,宠物SR类型（1是R，2是SR，3是SSR，4是SSSR，5是SSSSR）,初始属性,神宠填1,变异填1,屏蔽填1,屏蔽宠物开服多久后显示出来（单位秒）,飞升技能,飞升模型
Id_kn,name_s,type_n,typeNum_n,itemid_n,itemnum_n,skillid_n,passiveskill_t,icon,model_n,quality_n,sort_n,sr_n,effects_t,add_n,variation_n,shield_n,shieldtime_n,flyskill_t,flymodel
20001,天将,3,100,40001,1,50001,"60120,",20001,20048,2,1001,1,"{'maxhp',1400},{'demage',560},{'hujia',140}",,,,,,
20002,月兔,2,100,40002,1,50002,"60120,",20002,20002,2,1002,1,"{'maxhp',1600},{'demage',640},{'hujia',160}",,,,,,
20003,鲛人,1,100,40003,1,50003,"60120,60008,",20003,20003,2,1003,1,"{'maxhp',2000},{'demage',800},{'hujia',200}",,,,,,
20004,狐妖,4,100,40004,1,50004,"60120,60043,",20004,20004,3,2001,2,"{'maxhp',4000},{'demage',1600},{'hujia',400}",,,,,,
20005,巡海夜叉,5,100,40005,1,50005,"60120,60064,",20005,20005,3,2002,2,"{'maxhp',4200},{'demage',1680},{'hujia',420}",,,,,,
20006,持国天王,1,100,40006,1,50006,"60197,60064,",20006,20006,3,2003,2,"{'maxhp',5200},{'demage',2080},{'hujia',520}",,,,,,
20007,河神,2,100,40007,1,50007,"60120,60043,",20007,20007,3,2004,2,"{'maxhp',4000},{'demage',1600},{'hujia',400}",,,,,,
20008,棕熊,4,100,40008,1,50008,"60120,60064,",20008,20008,3,2005,2,"{'maxhp',4000},{'demage',1600},{'hujia',400}",,,,,,
20009,黑熊精,5,100,40009,1,50009,"60092,60036,60015,",20009,20009,3,2006,2,"{'maxhp',4000},{'demage',1600},{'hujia',400}",,,,,,
20010,人鱼公主,3,100,40010,1,50010,"60092,60036,60015,",20010,20010,3,2007,2,"{'maxhp',6000},{'demage',2400},{'hujia',600}",,,,,,
20011,猛虎,3,100,40011,1,50011,"60197,60022,60050,",20011,20011,3,2008,2,"{'maxhp',6000},{'demage',2400},{'hujia',600}",,,,,,
20012,广目天王,2,100,40012,1,50012,"60092,60043,60064,",20012,20049,3,2009,2,"{'maxhp',6000},{'demage',2400},{'hujia',600}",,,,,,
20013,重明鸟,1,100,40013,1,50013,"60169,60015,60050,",20013,20013,3,2010,2,"{'maxhp',6800},{'demage',2720},{'hujia',680}",,,,,,
20014,巨灵神,4,100,40014,1,50014,"60169,60050,60036,60029,",20014,20014,3,2011,2,"{'maxhp',8000},{'demage',3200},{'hujia',800}",,,,,,
20015,趴趴熊,5,100,40015,1,50015,"60092,60050,60036,60029,",20015,20015,3,2012,2,"{'maxhp',8000},{'demage',3200},{'hujia',800}",,,,,,
20016,变异九尾狐,1,100,40016,1,50056,"60092,60029,60057,",20016,20058,4,3023,3,"{'maxhp',11190},{'demage',4476},{'hujia',1119}",,1,,,,
20017,龙龟,2,100,40017,1,50017,"60148,60155,60050,60015,60050,",20017,20017,4,3002,3,"{'maxhp',9180},{'demage',3672},{'hujia',918}",,,,,,
20018,武士,4,100,40018,1,50018,"60071,60078,60001,60043,60050,",20018,20018,4,3003,3,"{'maxhp',9480},{'demage',3792},{'hujia',948}",,,,,,
20019,年兽,5,100,40019,1,50019,"60148,60155,60043,60029,60057,",20019,20019,4,3004,3,"{'maxhp',10020},{'demage',4008},{'hujia',1002}",,,,,,
