技能ID,1是固定2是被动,类型比如一级吸血和二级吸血是同一类型.填id,被动技能名字,效果
Id_kn,fixed_n,typeid_n,Name_c,effect_t
60001,1,100,一级生命,"{'maxhp',1200}"
60002,1,100,二级生命,"{'maxhp',1800}"
60003,1,100,三级生命,"{'maxhp',2500}"
60004,1,100,四级生命,"{'maxhp',3800}"
60005,1,100,五级生命,"{'maxhp',6000}"
60006,1,100,六级生命,"{'maxhp',9100}"
60007,1,100,七级生命,"{'maxhp',14500}"
60008,1,101,一级攻击,"{'demage',120}"
60009,1,101,二级攻击,"{'demage',180}"
60010,1,101,三级攻击,"{'demage',250}"
60011,1,101,四级攻击,"{'demage',380}"
60012,1,101,五级攻击,"{'demage',600}"
60013,1,101,六级攻击,"{'demage',910}"
60014,1,101,七级攻击,"{'demage',1450}"
60015,1,102,一级防御,"{'hujia',120}"
60016,1,102,二级防御,"{'hujia',180}"
60017,1,102,三级防御,"{'hujia',250}"
60018,1,102,四级防御,"{'hujia',380}"
60019,1,102,五级防御,"{'hujia',600}"
60020,1,102,六级防御,"{'hujia',910}"
60021,1,102,七级防御,"{'hujia',1450}"
60022,1,103,一级速度,"{'speed',5}"
60023,1,103,二级速度,"{'speed',7}"
60024,1,103,三级速度,"{'speed',10}"
60025,1,103,四级速度,"{'speed',15}"
60026,1,103,五级速度,"{'speed',24}"
60027,1,103,六级速度,"{'speed',36}"
60028,1,103,七级速度,"{'speed',58}"
60029,1,104,一级闪避,"{'dodge',100}"
60030,1,104,二级闪避,"{'dodge',140}"
60031,1,104,三级闪避,"{'dodge',200}"
60032,1,104,四级闪避,"{'dodge',300}"
60033,1,104,五级闪避,"{'dodge',480}"
60034,1,104,六级闪避,"{'dodge',730}"
60035,1,104,七级闪避,"{'dodge',1160}"
60036,1,105,一级命中,"{'hitrate',100}"
60037,1,105,二级命中,"{'hitrate',140}"
60038,1,105,三级命中,"{'hitrate',200}"
60039,1,105,四级命中,"{'hitrate',300}"
60040,1,105,五级命中,"{'hitrate',480}"
60041,1,105,六级命中,"{'hitrate',730}"
60042,1,105,七级命中,"{'hitrate',1160}"
60043,1,106,一级暴击,"{'critrate',100}"
60044,1,106,二级暴击,"{'critrate',140}"
60045,1,106,三级暴击,"{'critrate',200}"
60046,1,106,四级暴击,"{'critrate',300}"
60047,1,106,五级暴击,"{'critrate',480}"
60048,1,106,六级暴击,"{'critrate',730}"
60049,1,106,七级暴击,"{'critrate',1160}"
60050,1,107,一级抗暴,"{'critratedec',100}"
60051,1,107,二级抗暴,"{'critratedec',140}"
60052,1,107,三级抗暴,"{'critratedec',200}"
60053,1,107,四级抗暴,"{'critratedec',300}"
60054,1,107,五级抗暴,"{'critratedec',480}"
60055,1,107,六级抗暴,"{'critratedec',730}"
60056,1,107,七级抗暴,"{'critratedec',1160}"
60057,1,108,一级破防,"{'chuanjia',47}"
60058,1,108,二级破防,"{'chuanjia',65}"
60059,1,108,三级破防,"{'chuanjia',94}"
60060,1,108,四级破防,"{'chuanjia',141}"
60061,1,108,五级破防,"{'chuanjia',225}"
60062,1,108,六级破防,"{'chuanjia',342}"
60063,1,108,七级破防,"{'chuanjia',580}"
60064,1,109,一级护甲,"{'chuanjiadec',47}"
60065,1,109,二级护甲,"{'chuanjiadec',65}"
60066,1,109,三级护甲,"{'chuanjiadec',94}"
60067,1,109,四级护甲,"{'chuanjiadec',141}"
60068,1,109,五级护甲,"{'chuanjiadec',225}"
60069,1,109,六级护甲,"{'chuanjiadec',342}"
60070,1,109,七级护甲,"{'chuanjiadec',580}"
60071,2,110,一级虚弱,
60072,2,110,二级虚弱,
60073,2,110,三级虚弱,
60074,2,110,四级虚弱,
60075,2,110,五级虚弱,
60076,2,110,六级虚弱,
60077,2,110,七级虚弱,
60078,2,111,一级穿甲,
60079,2,111,二级穿甲,
60080,2,111,三级穿甲,
60081,2,111,四级穿甲,
60082,2,111,五级穿甲,
60083,2,111,六级穿甲,
60084,2,111,七级穿甲,
60085,2,112,一级暴击,
60086,2,112,二级暴击,
60087,2,112,三级暴击,
60088,2,112,四级暴击,
60089,2,112,五级暴击,
60090,2,112,六级暴击,
60091,2,112,七级暴击,
60092,2,113,一级吸血,
60093,2,113,二级吸血,
60094,2,113,三级吸血,
60095,2,113,四级吸血,
60096,2,113,五级吸血,
60097,2,113,六级吸血,
60098,2,113,七级吸血,
60099,2,114,一级吸收,
60100,2,114,二级吸收,
60101,2,114,三级吸收,
60102,2,114,四级吸收,
60103,2,114,五级吸收,
60104,2,114,六级吸收,
60105,2,114,七级吸收,
60106,2,115,一级复仇,
60107,2,115,二级复仇,
60108,2,115,三级复仇,
60109,2,115,四级复仇,
60110,2,115,五级复仇,
60111,2,115,六级复仇,
60112,2,115,七级复仇,
60113,2,116,一级强韧,
60114,2,116,二级强韧,
60115,2,116,三级强韧,
60116,2,116,四级强韧,
60117,2,116,五级强韧,
60118,2,116,六级强韧,
60119,2,116,七级强韧,
60120,2,117,一级怒击,
60121,2,117,二级怒击,
60122,2,117,三级怒击,
60123,2,117,四级怒击,
60124,2,117,五级怒击,
60125,2,117,六级怒击,
60126,2,117,七级怒击,
60127,2,118,一级晕厥,
60128,2,118,二级晕厥,
60129,2,118,三级晕厥,
60130,2,118,四级晕厥,
60131,2,118,五级晕厥,
60132,2,118,六级晕厥,
60133,2,118,七级晕厥,
60134,2,119,一级反击,
60135,2,119,二级反击,
60136,2,119,三级反击,
60137,2,119,四级反击,
60138,2,119,五级反击,
60139,2,119,六级反击,
60140,2,119,七级反击,
60141,2,120,一级连击,
60142,2,120,二级连击,
60143,2,120,三级连击,
60144,2,120,四级连击,
60145,2,120,五级连击,
60146,2,120,六级连击,
60147,2,120,七级连击,
60148,2,121,一级法术虚弱,
60149,2,121,二级法术虚弱,
60150,2,121,三级法术虚弱,
60151,2,121,四级法术虚弱,
60152,2,121,五级法术虚弱,
60153,2,121,六级法术虚弱,
60154,2,121,七级法术虚弱,
60155,2,122,一级法术穿甲,
60156,2,122,二级法术穿甲,
60157,2,122,三级法术穿甲,
60158,2,122,四级法术穿甲,
60159,2,122,五级法术穿甲,
60160,2,122,六级法术穿甲,
60161,2,122,七级法术穿甲,
60162,2,123,一级法术暴击,
60163,2,123,二级法术暴击,
60164,2,123,三级法术暴击,
60165,2,123,四级法术暴击,
60166,2,123,五级法术暴击,
60167,2,123,六级法术暴击,
60168,2,123,七级法术暴击,
60169,2,124,一级法术吸血,
60170,2,124,二级法术吸血,
60171,2,124,三级法术吸血,
60172,2,124,四级法术吸血,
60173,2,124,五级法术吸血,
60174,2,124,六级法术吸血,
60175,2,124,七级法术吸血,
60176,2,125,一级法术吸收,
60177,2,125,二级法术吸收,
60178,2,125,三级法术吸收,
60179,2,125,四级法术吸收,
60180,2,125,五级法术吸收,
60181,2,125,六级法术吸收,
60182,2,125,七级法术吸收,
60183,2,126,一级法术复仇,
60184,2,126,二级法术复仇,
60185,2,126,三级法术复仇,
60186,2,126,四级法术复仇,
60187,2,126,五级法术复仇,
60188,2,126,六级法术复仇,
60189,2,126,七级法术复仇,
60190,2,127,一级法术强韧,
60191,2,127,二级法术强韧,
60192,2,127,三级法术强韧,
60193,2,127,四级法术强韧,
60194,2,127,五级法术强韧,
60195,2,127,六级法术强韧,
60196,2,127,七级法术强韧,
60197,2,128,一级法术怒击,
60198,2,128,二级法术怒击,
60199,2,128,三级法术怒击,
60200,2,128,四级法术怒击,
60201,2,128,五级法术怒击,
60202,2,128,六级法术怒击,
60203,2,128,七级法术怒击,
60204,2,129,一级法术晕厥,
60205,2,129,二级法术晕厥,
60206,2,129,三级法术晕厥,
60207,2,129,四级法术晕厥,
60208,2,129,五级法术晕厥,
60209,2,129,六级法术晕厥,
60210,2,129,七级法术晕厥,
60211,2,130,一级法术反弹,
60212,2,130,二级法术反弹,
60213,2,130,三级法术反弹,
60214,2,130,四级法术反弹,
60215,2,130,五级法术反弹,
60216,2,130,六级法术反弹,
60217,2,130,七级法术反弹,
60218,2,131,一级法术连击,
60219,2,131,二级法术连击,
60220,2,131,三级法术连击,
