仙君主动技能ID,技能等级,技能名字,效果
Id_kn,Level_kn,Name_c,effects_t
40001,1,孙悟空技能,
40001,2,孙悟空技能,
40001,3,孙悟空技能,
40001,4,孙悟空技能,
40001,5,孙悟空技能,
40001,6,孙悟空技能,
40001,7,孙悟空技能,
40002,1,炼丹童子技能,
40002,2,炼丹童子技能,
40002,3,炼丹童子技能,
40002,4,炼丹童子技能,
40002,5,炼丹童子技能,
40002,6,炼丹童子技能,
40002,7,炼丹童子技能,
40003,1,功夫熊猫技能,
40003,2,功夫熊猫技能,
40003,3,功夫熊猫技能,
40003,4,功夫熊猫技能,
40003,5,功夫熊猫技能,
40003,6,功夫熊猫技能,
40003,7,功夫熊猫技能,
40004,1,狐狸精技能,
40004,2,狐狸精技能,
40004,3,狐狸精技能,
40004,4,狐狸精技能,
40004,5,狐狸精技能,
40004,6,狐狸精技能,
40004,7,狐狸精技能,
40005,1,大唐捕快技能,
40005,2,大唐捕快技能,
40005,3,大唐捕快技能,
40005,4,大唐捕快技能,
40005,5,大唐捕快技能,
40005,6,大唐捕快技能,
40005,7,大唐捕快技能,
40006,1,二郎神技能,
40006,2,二郎神技能,
40006,3,二郎神技能,
40006,4,二郎神技能,
40006,5,二郎神技能,
40006,6,二郎神技能,
40006,7,二郎神技能,
40007,1,增长天王技能,
40007,2,增长天王技能,
40007,3,增长天王技能,
40007,4,增长天王技能,
40007,5,增长天王技能,
40007,6,增长天王技能,
40007,7,增长天王技能,
40008,1,青牛精技能,
40008,2,青牛精技能,
40008,3,青牛精技能,
40008,4,青牛精技能,
40008,5,青牛精技能,
40008,6,青牛精技能,
40008,7,青牛精技能,
40009,1,多闻天王技能,
40009,2,多闻天王技能,
40009,3,多闻天王技能,
40009,4,多闻天王技能,
40009,5,多闻天王技能,
40009,6,多闻天王技能,
40009,7,多闻天王技能,
40010,1,雷震子技能,
40010,2,雷震子技能,
40010,3,雷震子技能,
40010,4,雷震子技能,
40010,5,雷震子技能,
40010,6,雷震子技能,
40010,7,雷震子技能,
40011,1,美猴王技能,
40011,2,美猴王技能,
40011,3,美猴王技能,
40011,4,美猴王技能,
40011,5,美猴王技能,
40011,6,美猴王技能,
40011,7,美猴王技能,
40012,1,花花公子技能,
40012,2,花花公子技能,
40012,3,花花公子技能,
40012,4,花花公子技能,
40012,5,花花公子技能,
40012,6,花花公子技能,
40012,7,花花公子技能,
