名字,升级阶段需要的武器等级,第几阶,每次升级加多少属性,相关信息说明
name_ks,needLevel_kn,classType_n,effects_t,explain_s
qianghua,0,0,"{'maxhp',0},{'demage',0},{'hujia',0}",生命+0#space_10攻击+0#space_10防御+0
qianghua,10,1,"{'maxhp',1296},{'demage',518},{'hujia',129}",生命+1296#space_10攻击+518#space_10防御+129
qianghua,20,2,"{'maxhp',2784},{'demage',1113},{'hujia',278}",生命+2784#space_10攻击+1113#space_10防御+278
qianghua,30,3,"{'maxhp',4492},{'demage',1797},{'hujia',449}",生命+4492#space_10攻击+1797#space_10防御+449
qianghua,40,4,"{'maxhp',6454},{'demage',2581},{'hujia',645}",生命+6454#space_10攻击+2581#space_10防御+645
qianghua,50,5,"{'maxhp',13610},{'demage',5444},{'hujia',1361}",生命+13610#space_10攻击+5444#space_10防御+1361
qianghua,60,6,"{'maxhp',21898},{'demage',8759},{'hujia',2189}",生命+21898#space_10攻击+8759#space_10防御+2189
qianghua,70,7,"{'maxhp',31234},{'demage',12493},{'hujia',3123}",生命+31234#space_10攻击+12493#space_10防御+3123
qianghua,80,8,"{'maxhp',41585},{'demage',16634},{'hujia',4158}",生命+41585#space_10攻击+16634#space_10防御+4158
qianghua,90,9,"{'maxhp',52974},{'demage',21189},{'hujia',5297}",生命+52974#space_10攻击+21189#space_10防御+5297
qianghua,100,10,"{'maxhp',65328},{'demage',26131},{'hujia',6532}",生命+65328#space_10攻击+26131#space_10防御+6532
qianghua,110,11,"{'maxhp',78288},{'demage',31315},{'hujia',7828}",生命+78288#space_10攻击+31315#space_10防御+7828
qianghua,120,12,"{'maxhp',93168},{'demage',37267},{'hujia',9316}",生命+93168#space_10攻击+37267#space_10防御+9316
qianghua,130,13,"{'maxhp',110328},{'demage',44131},{'hujia',11032}",生命+110328#space_10攻击+44131#space_10防御+11032
qianghua,140,14,"{'maxhp',128343},{'demage',51337},{'hujia',12834}",生命+128343#space_10攻击+51337#space_10防御+12834
qianghua,150,15,"{'maxhp',147705},{'demage',59082},{'hujia',14770}",生命+147705#space_10攻击+59082#space_10防御+14770
qianghua,160,16,"{'maxhp',168415},{'demage',67366},{'hujia',16841}",生命+168415#space_10攻击+67366#space_10防御+16841
qianghua,170,17,"{'maxhp',190473},{'demage',76189},{'hujia',19047}",生命+190473#space_10攻击+76189#space_10防御+19047
qianghua,180,18,"{'maxhp',213879},{'demage',85552},{'hujia',21387}",生命+213879#space_10攻击+85552#space_10防御+21387
qianghua,190,19,"{'maxhp',238632},{'demage',95453},{'hujia',23863}",生命+238632#space_10攻击+95453#space_10防御+23863
qianghua,200,20,"{'maxhp',264734},{'demage',105894},{'hujia',26473}",生命+264734#space_10攻击+105894#space_10防御+26473
jinglian,0,0,"{'maxhp',0},{'demage',0},{'hujia',0}",生命+0#space_10攻击+0#space_10防御+0
