名字,宠物ID,名字,升级一次需要道具ID,需要多少个,每消耗一次物品增加多少经验,升阶需要多少个,升阶总次数,升级一次加多少
Name_ks,Id_kn,name_s,itemid_n,itemnum_n,oneexp_n,maxexp_t,maxnum_n,effects_t
Pet,20001,天将,40001,1,1,"50,50,50,50,100",300,"{'maxhp',80},{'demage',32},{'hujia',8}"
Pet,20002,月兔,40002,1,1,"50,50,50,50,100",300,"{'maxhp',80},{'demage',32},{'hujia',8}"
Pet,20003,鲛人,40003,1,1,"50,50,50,50,100",300,"{'maxhp',80},{'demage',32},{'hujia',8}"
Pet,20004,狐妖,40004,1,1,"20,20,20,40,60",160,"{'maxhp',224},{'demage',89},{'hujia',22}"
Pet,20005,巡海夜叉,40005,1,1,"20,20,20,40,60",160,"{'maxhp',224},{'demage',89},{'hujia',22}"
Pet,20006,持国天王,40006,1,1,"20,20,20,40,60",160,"{'maxhp',224},{'demage',89},{'hujia',22}"
Pet,20007,河神,40007,1,1,"20,20,20,40,60",160,"{'maxhp',224},{'demage',89},{'hujia',22}"
Pet,20008,棕熊,40008,1,1,"20,20,20,40,60",160,"{'maxhp',224},{'demage',89},{'hujia',22}"
Pet,20009,黑熊精,40009,1,1,"20,20,20,40,60",160,"{'maxhp',224},{'demage',89},{'hujia',22}"
Pet,20010,人鱼公主,40010,1,1,"20,20,20,40,60",160,"{'maxhp',224},{'demage',89},{'hujia',22}"
Pet,20011,猛虎,40011,1,1,"20,20,20,40,60",160,"{'maxhp',224},{'demage',89},{'hujia',22}"
Pet,20012,广目天王,40012,1,1,"10,10,10,20,30",80,"{'maxhp',348},{'demage',99},{'hujia',34}"
Pet,20013,重明鸟,40013,1,1,"10,10,10,20,30",80,"{'maxhp',348},{'demage',99},{'hujia',34}"
Pet,20014,巨灵神,40014,1,1,"10,10,10,20,30",80,"{'maxhp',348},{'demage',99},{'hujia',34}"
Pet,20015,趴趴熊,40015,1,1,"10,10,10,20,30",80,"{'maxhp',348},{'demage',99},{'hujia',34}"
Pet,20016,变异九尾狐,40016,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20017,龙龟,40017,1,1,"10,10,10,20,30",80,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20018,武士,40018,1,1,"10,10,10,20,30",80,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20019,年兽,40019,1,1,"5,5,5,10,15",40,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20020,黑风小妖,40020,1,1,"5,5,5,10,15",40,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20021,熊猫,40021,1,1,"5,5,5,10,15",40,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20022,黑水麒麟,40022,1,1,"5,5,5,10,15",40,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20023,火德真君,40023,1,1,"5,5,5,10,15",40,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20024,六耳猕猴,40024,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20025,地狱三头犬,40025,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20026,夜游神,40026,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20027,莲花仙子,40027,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20028,强盗,40028,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20029,白象王,40029,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20030,冰龙,40030,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20031,剑侠兔,40031,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20032,封蛇,40032,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20033,神将,40033,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20034,圣灵蝶,40034,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20035,招财猫,40035,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20036,熊猫大侠,40036,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20037,青狮怪,40037,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20038,东海龙王,40038,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20039,朱雀,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20040,青龙,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20041,白虎,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20042,玄武,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20043,猪八戒,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20044,虎力大仙,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20045,鲲鹏,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20046,奎木狼,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20047,鹿力大仙,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20048,申公豹,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20049,琵琶精,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20050,天神,60097,1,1,"2,2,2,4,6",16,"{'maxhp',11520},{'demage',4608},{'hujia',1152}"
Pet,20051,吕洞宾,60193,1,1,"2,2,2,4,6",16,"{'maxhp',3520},{'demage',1408},{'hujia',352}"
Pet,20052,嫦娥,60097,1,1,"2,2,2,4,6",16,"{'maxhp',11520},{'demage',4608},{'hujia',1152}"
Pet,20053,三太子,60097,1,1,"2,2,2,4,6",16,"{'maxhp',11520},{'demage',4608},{'hujia',1152}"
Pet,20054,斗战胜佛,60097,1,1,"2,2,2,4,6",16,"{'maxhp',11520},{'demage',4608},{'hujia',1152}"
Pet,20055,太上老君,60097,1,1,"2,2,2,4,6",16,"{'maxhp',11520},{'demage',4608},{'hujia',1152}"
Pet,20056,九尾狐,40056,1,1,"10,10,10,20,30",80,"{'maxhp',348},{'demage',99},{'hujia',34}"
Pet,20057,变异神将,60193,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20058,象神,60193,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20059,变异趴趴熊,40059,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20060,变异广目天王,40060,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20061,变异武士,40061,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20062,灵狐,40100,1,1,"10,10,10,20,30",80,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20063,人鱼王,40101,1,1,"10,10,10,20,30",80,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20064,强盗王,40102,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20065,火烈鸟,40103,1,1,"10,10,10,20,30",80,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20066,飞天猫,40104,1,1,"10,10,10,20,30",80,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20067,风魔王,40105,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20068,地狱魔犬,60193,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20069,神兵小将,40107,1,1,"10,10,10,20,30",80,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20070,水神,40108,1,1,"10,10,10,20,30",80,"{'maxhp',728},{'demage',291},{'hujia',72}"
Pet,20071,神君,40109,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
Pet,20072,变异冰龙,60193,1,1,"2,2,2,4,6",16,"{'maxhp',1972},{'demage',788},{'hujia',197}"
Pet,20073,珞珈山大王,40111,1,1,"10,10,10,20,30",80,"{'maxhp',348},{'demage',99},{'hujia',34}"
Pet,20074,变异巨灵神,40112,1,1,"5,5,5,10,15",40,"{'maxhp',1068},{'demage',427},{'hujia',106}"
PetFly,20039,朱雀,40039,1,1,"1,2,3",6,"{'maxhp',26900},{'demage',10760},{'hujia',2690}"
PetFly,20040,青龙,40040,1,1,"1,2,3",6,"{'maxhp',26900},{'demage',10760},{'hujia',2690}"
PetFly,20041,白虎,40041,1,1,"1,2,3",6,"{'maxhp',30354},{'demage',12141},{'hujia',3035}"
PetFly,20042,玄武,40042,1,1,"1,2,3",6,"{'maxhp',30354},{'demage',12141},{'hujia',3035}"
PetFly,20043,猪八戒,40043,1,1,"1,2,3",6,"{'maxhp',26900},{'demage',10760},{'hujia',2690}"
PetFly,20044,虎力大仙,40044,1,1,"1,2,3",6,"{'maxhp',30354},{'demage',12141},{'hujia',3035}"
PetFly,20045,鲲鹏,40045,1,1,"1,2,3",6,"{'maxhp',26900},{'demage',10760},{'hujia',2690}"
PetFly,20046,奎木狼,40046,1,1,"1,2,3",6,"{'maxhp',26900},{'demage',10760},{'hujia',2690}"
PetFly,20047,鹿力大仙,40047,1,1,"1,2,3",6,"{'maxhp',26900},{'demage',10760},{'hujia',2690}"
PetFly,20048,申公豹,40048,1,1,"1,2,3",6,"{'maxhp',30354},{'demage',12141},{'hujia',3035}"
PetFly,20049,琵琶精,40049,1,1,"1,2,3",6,"{'maxhp',30354},{'demage',12141},{'hujia',3035}"
PetFly,20050,天神,40050,1,1,"1,2,3",6,"{'maxhp',62886},{'demage',25154},{'hujia',6289}"
PetFly,20051,吕洞宾,40051,1,1,"1,2,3",6,"{'maxhp',30354},{'demage',12141},{'hujia',3035}"
