名字,注释,等级,升到几级,数量
Name_ks,common_c,level_kn,tolevel_c,num_n
HeroRide,主角坐骑,1,2,1
HeroRide,,2,3,1
HeroRide,,3,4,1
HeroRide,,4,5,1
HeroRide,,5,6,2
HeroRide,,6,7,2
HeroRide,,7,8,2
HeroRide,,8,9,2
HeroRide,,9,10,2
HeroRide,,10,11,3
HeroRide,,11,12,3
HeroRide,,12,13,3
HeroRide,,13,14,3
HeroRide,,14,15,3
HeroRide,,15,16,4
HeroRide,,16,17,4
HeroRide,,17,18,4
HeroRide,,18,19,4
HeroRide,,19,20,4
HeroRide,,20,21,5
HeroRide,,21,22,5
HeroRide,,22,23,5
HeroRide,,23,24,5
HeroRide,,24,25,5
HeroRide,,25,26,6
HeroRide,,26,27,6
HeroRide,,27,28,6
HeroRide,,28,29,6
HeroRide,,29,30,6
HeroRide,,30,31,7
HeroRide,,31,32,7
HeroRide,,32,33,7
HeroRide,,33,34,7
HeroRide,,34,35,7
HeroRide,,35,36,8
HeroRide,,36,37,8
HeroRide,,37,38,8
HeroRide,,38,39,8
HeroRide,,39,40,8
HeroRide,,40,41,9
HeroRide,,41,42,9
HeroRide,,42,43,9
HeroRide,,43,44,9
HeroRide,,44,45,9
HeroRide,,45,46,10
HeroRide,,46,47,10
HeroRide,,47,48,10
HeroRide,,48,49,10
HeroRide,,49,50,10
HeroWing,主角翅膀,1,2,1
HeroWing,,2,3,1
HeroWing,,3,4,1
HeroWing,,4,5,1
HeroWing,,5,6,2
HeroWing,,6,7,2
HeroWing,,7,8,2
HeroWing,,8,9,2
HeroWing,,9,10,2
HeroWing,,10,11,3
HeroWing,,11,12,3
HeroWing,,12,13,3
HeroWing,,13,14,3
HeroWing,,14,15,3
HeroWing,,15,16,4
HeroWing,,16,17,4
HeroWing,,17,18,4
HeroWing,,18,19,4
HeroWing,,19,20,4
HeroWing,,20,21,5
HeroWing,,21,22,5
HeroWing,,22,23,5
HeroWing,,23,24,5
HeroWing,,24,25,5
HeroWing,,25,26,6
HeroWing,,26,27,6
HeroWing,,27,28,6
HeroWing,,28,29,6
HeroWing,,29,30,6
HeroWing,,30,31,7
HeroWing,,31,32,7
HeroWing,,32,33,7
HeroWing,,33,34,7
HeroWing,,34,35,7
HeroWing,,35,36,8
HeroWing,,36,37,8
HeroWing,,37,38,8
HeroWing,,38,39,8
HeroWing,,39,40,8
HeroWing,,40,41,9
HeroWing,,41,42,9
HeroWing,,42,43,9
HeroWing,,43,44,9
HeroWing,,44,45,9
HeroWing,,45,46,10
HeroWing,,46,47,10
HeroWing,,47,48,10
HeroWing,,48,49,10
HeroWing,,49,50,10
PetTongLin,宠物通灵,1,2,1
PetTongLin,,2,3,1
PetTongLin,,3,4,1
PetTongLin,,4,5,1
PetTongLin,,5,6,2
PetTongLin,,6,7,2
PetTongLin,,7,8,2
PetTongLin,,8,9,2
PetTongLin,,9,10,2
PetTongLin,,10,11,3
PetTongLin,,11,12,3
PetTongLin,,12,13,3
PetTongLin,,13,14,3
PetTongLin,,14,15,3
PetTongLin,,15,16,4
PetTongLin,,16,17,4
PetTongLin,,17,18,4
PetTongLin,,18,19,4
PetTongLin,,19,20,4
PetTongLin,,20,21,5
PetTongLin,,21,22,5
PetTongLin,,22,23,5
PetTongLin,,23,24,5
PetTongLin,,24,25,5
PetTongLin,,25,26,6
PetTongLin,,26,27,6
PetTongLin,,27,28,6
PetTongLin,,28,29,6
PetTongLin,,29,30,6
PetTongLin,,30,31,7
PetTongLin,,31,32,7
PetTongLin,,32,33,7
PetTongLin,,33,34,7
PetTongLin,,34,35,7
PetTongLin,,35,36,8
PetTongLin,,36,37,8
PetTongLin,,37,38,8
PetTongLin,,38,39,8
PetTongLin,,39,40,8
PetTongLin,,40,41,9
PetTongLin,,41,42,9
PetTongLin,,42,43,9
PetTongLin,,43,44,9
PetTongLin,,44,45,9
PetTongLin,,45,46,10
PetTongLin,,46,47,10
PetTongLin,,47,48,10
PetTongLin,,48,49,10
PetTongLin,,49,50,10
PetSouHun,宠物元神,1,2,1
PetSouHun,,2,3,1
PetSouHun,,3,4,1
PetSouHun,,4,5,1
PetSouHun,,5,6,2
PetSouHun,,6,7,2
PetSouHun,,7,8,2
PetSouHun,,8,9,2
PetSouHun,,9,10,2
PetSouHun,,10,11,3
PetSouHun,,11,12,3
PetSouHun,,12,13,3
PetSouHun,,13,14,3
PetSouHun,,14,15,3
PetSouHun,,15,16,4
PetSouHun,,16,17,4
PetSouHun,,17,18,4
PetSouHun,,18,19,4
PetSouHun,,19,20,4
PetSouHun,,20,21,5
PetSouHun,,21,22,5
PetSouHun,,22,23,5
PetSouHun,,23,24,5
PetSouHun,,24,25,5
PetSouHun,,25,26,6
PetSouHun,,26,27,6
PetSouHun,,27,28,6
PetSouHun,,28,29,6
PetSouHun,,29,30,6
PetSouHun,,30,31,7
PetSouHun,,31,32,7
PetSouHun,,32,33,7
PetSouHun,,33,34,7
PetSouHun,,34,35,7
PetSouHun,,35,36,8
PetSouHun,,36,37,8
PetSouHun,,37,38,8
PetSouHun,,38,39,8
PetSouHun,,39,40,8
PetSouHun,,40,41,9
PetSouHun,,41,42,9
PetSouHun,,42,43,9
PetSouHun,,43,44,9
PetSouHun,,44,45,9
PetSouHun,,45,46,10
PetSouHun,,46,47,10
PetSouHun,,47,48,10
PetSouHun,,48,49,10
PetSouHun,,49,50,10
XianLvFaZhen,仙君法阵,1,2,1
XianLvFaZhen,,2,3,1
XianLvFaZhen,,3,4,1
XianLvFaZhen,,4,5,1
XianLvFaZhen,,5,6,2
XianLvFaZhen,,6,7,2
XianLvFaZhen,,7,8,2
XianLvFaZhen,,8,9,2
XianLvFaZhen,,9,10,2
XianLvFaZhen,,10,11,3
XianLvFaZhen,,11,12,3
XianLvFaZhen,,12,13,3
XianLvFaZhen,,13,14,3
XianLvFaZhen,,14,15,3
XianLvFaZhen,,15,16,4
XianLvFaZhen,,16,17,4
XianLvFaZhen,,17,18,4
XianLvFaZhen,,18,19,4
XianLvFaZhen,,19,20,4
XianLvFaZhen,,20,21,5
XianLvFaZhen,,21,22,5
XianLvFaZhen,,22,23,5
XianLvFaZhen,,23,24,5
XianLvFaZhen,,24,25,5
XianLvFaZhen,,25,26,6
XianLvFaZhen,,26,27,6
XianLvFaZhen,,27,28,6
XianLvFaZhen,,28,29,6
XianLvFaZhen,,29,30,6
XianLvFaZhen,,30,31,7
XianLvFaZhen,,31,32,7
XianLvFaZhen,,32,33,7
XianLvFaZhen,,33,34,7
XianLvFaZhen,,34,35,7
XianLvFaZhen,,35,36,8
XianLvFaZhen,,36,37,8
XianLvFaZhen,,37,38,8
XianLvFaZhen,,38,39,8
XianLvFaZhen,,39,40,8
XianLvFaZhen,,40,41,9
XianLvFaZhen,,41,42,9
XianLvFaZhen,,42,43,9
XianLvFaZhen,,43,44,9
XianLvFaZhen,,44,45,9
XianLvFaZhen,,45,46,10
XianLvFaZhen,,46,47,10
XianLvFaZhen,,47,48,10
XianLvFaZhen,,48,49,10
XianLvFaZhen,,49,50,10
XianLvXianWei,仙君神位,1,2,1
XianLvXianWei,,2,3,1
XianLvXianWei,,3,4,1
XianLvXianWei,,4,5,1
XianLvXianWei,,5,6,2
XianLvXianWei,,6,7,2
XianLvXianWei,,7,8,2
XianLvXianWei,,8,9,2
XianLvXianWei,,9,10,2
XianLvXianWei,,10,11,3
XianLvXianWei,,11,12,3
XianLvXianWei,,12,13,3
XianLvXianWei,,13,14,3
XianLvXianWei,,14,15,3
XianLvXianWei,,15,16,4
XianLvXianWei,,16,17,4
XianLvXianWei,,17,18,4
XianLvXianWei,,18,19,4
XianLvXianWei,,19,20,4
XianLvXianWei,,20,21,5
XianLvXianWei,,21,22,5
XianLvXianWei,,22,23,5
XianLvXianWei,,23,24,5
XianLvXianWei,,24,25,5
XianLvXianWei,,25,26,6
XianLvXianWei,,26,27,6
XianLvXianWei,,27,28,6
XianLvXianWei,,28,29,6
XianLvXianWei,,29,30,6
XianLvXianWei,,30,31,7
XianLvXianWei,,31,32,7
XianLvXianWei,,32,33,7
XianLvXianWei,,33,34,7
XianLvXianWei,,34,35,7
XianLvXianWei,,35,36,8
XianLvXianWei,,36,37,8
XianLvXianWei,,37,38,8
XianLvXianWei,,38,39,8
XianLvXianWei,,39,40,8
XianLvXianWei,,40,41,9
XianLvXianWei,,41,42,9
XianLvXianWei,,42,43,9
XianLvXianWei,,43,44,9
XianLvXianWei,,44,45,9
XianLvXianWei,,45,46,10
XianLvXianWei,,46,47,10
XianLvXianWei,,47,48,10
XianLvXianWei,,48,49,10
XianLvXianWei,,49,50,10
TianXian,天仙,1,2,1
TianXian,,2,3,1
TianXian,,3,4,1
TianXian,,4,5,1
TianXian,,5,6,2
TianXian,,6,7,2
TianXian,,7,8,2
TianXian,,8,9,2
TianXian,,9,10,2
TianXian,,10,11,3
TianXian,,11,12,3
TianXian,,12,13,3
TianXian,,13,14,3
TianXian,,14,15,3
TianXian,,15,16,4
TianXian,,16,17,4
TianXian,,17,18,4
TianXian,,18,19,4
TianXian,,19,20,4
TianXian,,20,21,5
TianXian,,21,22,5
TianXian,,22,23,5
TianXian,,23,24,5
TianXian,,24,25,5
TianXian,,25,26,6
TianXian,,26,27,6
TianXian,,27,28,6
TianXian,,28,29,6
TianXian,,29,30,6
TianXian,,30,31,7
TianXian,,31,32,7
TianXian,,32,33,7
TianXian,,33,34,7
TianXian,,34,35,7
TianXian,,35,36,8
TianXian,,36,37,8
TianXian,,37,38,8
TianXian,,38,39,8
TianXian,,39,40,8
TianXian,,40,41,9
TianXian,,41,42,9
TianXian,,42,43,9
TianXian,,43,44,9
TianXian,,44,45,9
TianXian,,45,46,10
TianXian,,46,47,10
TianXian,,47,48,10
TianXian,,48,49,10
TianXian,,49,50,10
TianXianWeapon,神兵,1,2,1
TianXianWeapon,,2,3,1
TianXianWeapon,,3,4,1
TianXianWeapon,,4,5,1
TianXianWeapon,,5,6,2
TianXianWeapon,,6,7,2
TianXianWeapon,,7,8,2
TianXianWeapon,,8,9,2
TianXianWeapon,,9,10,2
TianXianWeapon,,10,11,3
TianXianWeapon,,11,12,3
TianXianWeapon,,12,13,3
TianXianWeapon,,13,14,3
TianXianWeapon,,14,15,3
TianXianWeapon,,15,16,4
TianXianWeapon,,16,17,4
TianXianWeapon,,17,18,4
TianXianWeapon,,18,19,4
TianXianWeapon,,19,20,4
TianXianWeapon,,20,21,5
TianXianWeapon,,21,22,5
TianXianWeapon,,22,23,5
TianXianWeapon,,23,24,5
TianXianWeapon,,24,25,5
TianXianWeapon,,25,26,6
TianXianWeapon,,26,27,6
TianXianWeapon,,27,28,6
TianXianWeapon,,28,29,6
TianXianWeapon,,29,30,6
TianXianWeapon,,30,31,7
TianXianWeapon,,31,32,7
TianXianWeapon,,32,33,7
TianXianWeapon,,33,34,7
TianXianWeapon,,34,35,7
TianXianWeapon,,35,36,8
TianXianWeapon,,36,37,8
TianXianWeapon,,37,38,8
TianXianWeapon,,38,39,8
TianXianWeapon,,39,40,8
TianXianWeapon,,40,41,9
TianXianWeapon,,41,42,9
TianXianWeapon,,42,43,9
TianXianWeapon,,43,44,9
TianXianWeapon,,44,45,9
TianXianWeapon,,45,46,10
TianXianWeapon,,46,47,10
TianXianWeapon,,47,48,10
TianXianWeapon,,48,49,10
TianXianWeapon,,49,50,10
TianNv,女儿国王,1,2,1
TianNv,,2,3,1
TianNv,,3,4,2
TianNv,,4,5,2
TianNv,,5,6,3
TianNv,,6,7,3
TianNv,,7,8,4
TianNv,,8,9,4
TianNv,,9,10,5
TianNv,,10,11,5
TianNv,,11,12,6
TianNv,,12,13,6
TianNv,,13,14,7
TianNv,,14,15,7
