名字,位置索引,外形ID,模型名字
Name_ks,Index_kn,Shape_n,nameStr_s
HeroRide,1,15001,呆萌熊猫
HeroRide,2,15002,灵巧松鼠
HeroRide,3,15003,可爱马驹
HeroRide,4,15004,勤劳小羊
HeroRide,5,15005,冰封狗熊
HeroRide,6,15006,流光葫芦
HeroRide,7,15006,飞天葫芦
HeroRide,8,15007,幽冥紫狼
HeroRide,9,15007,深渊恶狼
HeroRide,10,15008,幻影灵狐
HeroRide,11,15008,凤尾灵狐
HeroRide,12,15009,踏云神鹿
HeroRide,13,15009,蝶舞神鹿
HeroRide,14,15010,地狱三头犬
HeroRide,15,15010,三头赤魔獒
HeroWing,1,13001,风之翼
HeroWing,2,13002,蝶之翼
HeroWing,3,13003,羽之翼
HeroWing,4,13004,鹰之翼
HeroWing,5,13005,霜之翼
HeroWing,6,13006,飞翔羽翼
HeroWing,7,13007,雷芒羽翼
HeroWing,8,13008,幻影羽翼
HeroWing,9,13009,恶魔羽翼
HeroWing,10,13010,暴风之翼
HeroWing,11,13010,暴风之翼
HeroWing,12,13011,烈火之翼
HeroWing,13,13011,烈火之翼
HeroWing,14,13012,风火之翼
HeroWing,15,13012,风火之翼
PetTongLin,1,18001,宠物通灵
PetTongLin,2,18002,没有名字
PetTongLin,3,18003,没有名字
PetTongLin,4,18004,没有名字
PetTongLin,5,18005,没有名字
PetTongLin,6,18006,没有名字
PetTongLin,7,18007,没有名字
PetTongLin,8,18008,没有名字
PetTongLin,9,18009,没有名字
PetTongLin,10,18010,没有名字
PetTongLin,11,18011,没有名字
PetTongLin,12,18012,没有名字
PetTongLin,13,18013,没有名字
PetTongLin,14,18014,没有名字
PetTongLin,15,18015,没有名字
PetSouHun,1,22001,熊精之魂
PetSouHun,2,22002,树妖之魂
PetSouHun,3,22003,狐妖之魂
PetSouHun,4,22004,熊猫之魂
PetSouHun,5,22005,朱雀之魂
PetSouHun,6,22006,白虎之魂
PetSouHun,7,22007,青龙之魂
PetSouHun,8,22008,朱雀之魂
PetSouHun,9,22009,玄武之魂
PetSouHun,10,22010,水龙之魂
PetSouHun,11,22011,火灵之魂
PetSouHun,12,22012,龙龟之魂
PetSouHun,13,22013,巨灵之魂
PetSouHun,14,22014,黑风之魂
PetSouHun,15,22015,剑邪之魂
XianLvFaZhen,1,18001,仙君法阵
XianLvFaZhen,2,18002,没有名字
XianLvFaZhen,3,18003,没有名字
XianLvFaZhen,4,18004,没有名字
XianLvFaZhen,5,18005,没有名字
XianLvFaZhen,6,18006,没有名字
XianLvFaZhen,7,18007,没有名字
XianLvFaZhen,8,18008,没有名字
XianLvFaZhen,9,18009,没有名字
XianLvFaZhen,10,18010,没有名字
XianLvFaZhen,11,18011,没有名字
XianLvFaZhen,12,18012,没有名字
XianLvFaZhen,13,18013,没有名字
XianLvFaZhen,14,18014,没有名字
XianLvFaZhen,15,18015,没有名字
XianLvXianWei,1,19001,仙君神位
XianLvXianWei,2,19002,没有名字
XianLvXianWei,3,19003,没有名字
XianLvXianWei,4,19004,没有名字
XianLvXianWei,5,19005,没有名字
XianLvXianWei,6,19006,没有名字
XianLvXianWei,7,19007,没有名字
XianLvXianWei,8,19008,没有名字
XianLvXianWei,9,19009,没有名字
XianLvXianWei,10,19010,没有名字
XianLvXianWei,11,19011,没有名字
XianLvXianWei,12,19012,没有名字
XianLvXianWei,13,19013,没有名字
XianLvXianWei,14,19014,没有名字
XianLvXianWei,15,19015,没有名字
TianXian,1,11001,种子兽
TianXian,2,11002,人参娃
TianXian,3,11003,妙蛙兽
TianXian,4,11004,冰莲花
TianXian,5,11005,粉莲花
TianXian,6,11006,小恶魔
TianXian,7,11006,小恶魔
TianXian,8,11007,镰刀蜂
TianXian,9,11007,镰刀蜂
TianXian,10,11008,火焰兽
TianXian,11,11008,火焰兽
TianXian,12,11009,冰晶兽
TianXian,13,11009,冰晶兽
TianXian,14,11010,寒霜巨人
TianXian,15,11010,寒霜巨人
TianXianWeapon,1,12004,湛卢
TianXianWeapon,2,12005,鸣鸿
TianXianWeapon,3,12006,赤霄剑
TianXianWeapon,4,12007,烈火杖
TianXianWeapon,5,12008,乾坤剑
TianXianWeapon,6,12009,翻云刃
TianXianWeapon,7,12009,翻云刃
TianXianWeapon,8,12010,斩妖剑
TianXianWeapon,9,12010,斩妖剑
TianXianWeapon,10,12011,搜魂杖
TianXianWeapon,11,12011,搜魂杖
TianXianWeapon,12,12012,雷霆战戟
TianXianWeapon,13,12013,雷霆战戟
TianXianWeapon,14,12014,寒霜破天
TianXianWeapon,15,12015,寒霜破天
TianNv,1,23001,女儿国王
TianNv,2,23001,没名字
TianNv,3,23001,没名字
TianNv,4,23001,没名字
TianNv,5,23001,没名字
TianNv,6,23001,没名字
TianNv,7,23001,没名字
TianNv,8,23001,没名字
TianNv,9,23001,没名字
TianNv,10,23001,没名字
TianNv,11,23001,没名字
TianNv,12,23001,没名字
TianNv,13,23001,没名字
TianNv,14,23001,没名字
TianNv,15,23001,没名字
TianNvXianQi,1,19001,女儿国王仙器
TianNvXianQi,2,19002,没名字
TianNvXianQi,3,19003,没名字
TianNvXianQi,4,19004,没名字
TianNvXianQi,5,19005,没名字
TianNvXianQi,6,19006,没名字
TianNvXianQi,7,19007,没名字
TianNvXianQi,8,19008,没名字
TianNvXianQi,9,19009,没名字
TianNvXianQi,10,19010,没名字
TianNvXianQi,11,19011,没名字
TianNvXianQi,12,19012,没名字
TianNvXianQi,13,19013,没名字
TianNvXianQi,14,19014,没名字
TianNvXianQi,15,19015,没名字
TianNvLingQi,1,26001,女儿国王灵气
TianNvLingQi,2,26002,没名字
TianNvLingQi,3,26003,没名字
TianNvLingQi,4,26004,没名字
TianNvLingQi,5,26005,没名字
TianNvLingQi,6,26006,没名字
TianNvLingQi,7,26007,没名字
