名字,位置索引,,皮肤ID,需要什么物品,需要多少个,每一级加多少属性,模型名字,套装对应的名字,套装对应的id(每件对应位置
Name_ks,Index_kn,icon_s,skin_n,itemid_n,itemnum_n,effects_t,nameStr_s,fashionType_s,fashionIndex
HeroRide,1,zq_name01,30005,64001,1,"{'maxhp',11520},{'demage',4608},{'hujia',1152}",神秘羊驼,HaiZhiLanJing,3
HeroRide,2,zq_name02,30007,64002,1,"{'maxhp',12800},{'demage',5120},{'hujia',1280}",牛魔王,ZidianQingShuang,3
HeroRide,3,zq_name03,30006,64003,1,"{'maxhp',22520},{'demage',9008},{'hujia',2252}",寒霜巨龙,,
HeroRide,4,zq_name04,30002,64004,1,"{'maxhp',9648},{'demage',3859},{'hujia',965}",破风羽毛,JiZhiBanLv,2
HeroRide,5,zq_name05,30001,64005,1,"{'maxhp',7320},{'demage',2928},{'hujia',732}",灵活小猫,BiYiSuanFei,2
HeroRide,6,zq_name06,30003,64006,1,"{'maxhp',11200},{'demage',4480},{'hujia',1120}",翻海金鱼,,
HeroRide,7,zq_name07,30004,64007,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",古老龙舟,DaHuaXianzi,3
HeroRide,8,zq_name08,30008,64008,1,"{'maxhp',4000},{'demage',1600},{'hujia',400}",六彩神鹿,,
HeroRide,9,zq_name08,30008,64009,1,"{'maxhp',6000},{'demage',2400},{'hujia',600}",神·六彩神鹿,,
HeroWing,1,cb_name01,40001,66001,1,"{'maxhp',9648},{'demage',3859},{'hujia',965}",彩虹羽翼,JiZhiBanLv,3
HeroWing,2,cb_name02,40002,66002,1,"{'maxhp',12600},{'demage',5040},{'hujia',1260}",冥火之翼,BiYiSuanFei,3
HeroWing,3,cb_name03,40003,66003,1,"{'maxhp',5200},{'demage',2080},{'hujia',520}",破灭之翼,HaiZhiLanJing,4
HeroWing,4,cb_name04,40001,66004,1,"{'maxhp',7000},{'demage',2800},{'hujia',700}",幻蝶之翼,,
HeroWing,5,cb_name04,40001,66005,1,"{'maxhp',10500},{'demage',4200},{'hujia',1050}",神·幻蝶之翼,,
TianXian,1,tx_name01,50001,67001,1,"{'maxhp',6408},{'demage',2563},{'hujia',641}",蓝蝶精灵,JiZhiBanLv,4
TianXian,2,tx_name02,50002,67002,1,"{'maxhp',5200},{'demage',2080},{'hujia',520}",书画仙子,ZidianQingShuang,4
TianXian,3,tx_name03,50003,67003,1,"{'maxhp',7240},{'demage',2896},{'hujia',724}",白衣仙子,,
TianXian,4,tx_name04,50004,67004,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",飞龙兽,,
TianXian,5,tx_name05,50005,67005,1,"{'maxhp',1800},{'demage',720},{'hujia',180}",蓝灵猫,BiYiSuanFei,4
TianXian,6,tx_name06,50006,67006,1,"{'maxhp',1800},{'demage',720},{'hujia',180}",红衣仙子,,
TianXian,7,tx_name07,50007,67007,1,"{'maxhp',1800},{'demage',720},{'hujia',180}",月轮仙子,DaHuaXianzi,4
TianXian,8,tx_name08,50008,67008,1,"{'maxhp',4600},{'demage',1840},{'hujia',460}",迷蝶仙子,,
TianXian,9,tx_name09,50009,67009,1,"{'maxhp',3800},{'demage',1520},{'hujia',380}",雪人娃娃,,
TianXian,10,tx_name10,50010,67010,1,"{'maxhp',4600},{'demage',1840},{'hujia',460}",萝卜兔,,
TianXian,11,tx_name11,50011,67011,1,"{'maxhp',5000},{'demage',2000},{'hujia',500}",莲灯仙子,,
TianXian,12,tx_name12,50012,67012,1,"{'maxhp',11000},{'demage',4400},{'hujia',1100}",琵琶仙子,,
TianXian,13,tx_name11,50011,67013,1,"{'maxhp',7500},{'demage',3000},{'hujia',750}",神·莲灯仙子,,
TianXian,14,tx_name12,50012,67014,1,"{'maxhp',16500},{'demage',6600},{'hujia',1650}",神·琵琶仙子,,
TianXianWeapon,1,sb_name01,60001,68001,1,"{'maxhp',10728},{'demage',4291},{'hujia',1073}",玄冥寒光,JiZhiBanLv,1
TianXianWeapon,2,sb_name02,60002,68002,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",九枢天龙,,
TianXianWeapon,3,sb_name03,60003,68003,1,"{'maxhp',7848},{'demage',3139},{'hujia',785}",轩辕剑,HaiZhiLanJing,2
TianXianWeapon,4,sb_name04,60007,68004,1,"{'maxhp',11800},{'demage',4720},{'hujia',1180}",冰晶弧月,BiYiSuanFei,1
TianXianWeapon,5,sb_name05,60005,68005,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",金羽翎音,DaHuaXianzi,2
TianXianWeapon,6,sb_name06,60006,68006,1,"{'maxhp',7800},{'demage',3120},{'hujia',780}",碧璘幽焱,,
TianXianWeapon,7,sb_name07,60004,68007,1,"{'maxhp',21400},{'demage',8560},{'hujia',2140}",开天神斧,,
TianXianWeapon,8,sb_name08,60008,68008,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",黄泉火照,,
TianXianWeapon,9,sb_name09,60009,68009,1,"{'maxhp',5800},{'demage',2320},{'hujia',580}",太极清源,,
TianXianWeapon,10,sb_name10,60010,68010,1,"{'maxhp',4968},{'demage',1987},{'hujia',497}",孤狼烈魂,ZidianQingShuang,2
TianXianWeapon,11,sb_name11,60008,68011,1,"{'maxhp',6000},{'demage',2400},{'hujia',600}",三味真火,,
TianXianWeapon,12,sb_name12,60003,68012,1,"{'maxhp',9000},{'demage',3600},{'hujia',900}",帝王剑,,
TianXianWeapon,13,sb_name11,60008,68013,1,"{'maxhp',9000},{'demage',3600},{'hujia',900}",神·三味真火,,
TianXianWeapon,14,sb_name12,60003,68014,1,"{'maxhp',13500},{'demage',5400},{'hujia',1350}",神·帝王剑,,
TianNv,1,tn_name01,70001,69001,1,"{'maxhp',8440},{'demage',3376},{'hujia',844}",女王瑶姬,,
TianNv,2,tn_name02,70002,69002,1,"{'maxhp',9240},{'demage',3696},{'hujia',924}",女王红衣,,
TianNv,3,tn_name03,70003,69003,1,"{'maxhp',8440},{'demage',3376},{'hujia',844}",青衣仙子,,
Hero,1,ch_name09,80001,63001,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",为人师表,,
Hero,2,ch_name01,80002,63002,1,"{'maxhp',240},{'demage',96},{'hujia',24}",初出茅庐,,
Hero,3,ch_name02,80003,63003,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",小有成就,,
Hero,4,ch_name10,80004,63004,1,"{'maxhp',3200},{'demage',1280},{'hujia',320}",宝藏守卫,,
Hero,5,ch_name11,80005,63005,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",寻宝王者,,
Hero,6,ch_name03,80006,63006,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",材料商人,,
Hero,7,ch_name12,80007,63007,1,"{'maxhp',8000},{'demage',3200},{'hujia',800}",深藏不露,,
Hero,8,ch_name04,80008,63008,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",独霸一方,,
Hero,9,ch_name05,80009,63009,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",三界试炼,,
Hero,10,ch_name18,80010,63010,1,"{'maxhp',3400},{'demage',1360},{'hujia',340}",兄弟同心,,
Hero,11,ch_name06,80011,63011,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",才高八斗,,
Hero,12,ch_name13,80012,63012,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",学富五车,,
Hero,13,ch_name07,80013,63013,1,"{'maxhp',480},{'demage',192},{'hujia',48}",百科全书,,
Hero,14,ch_name19,80014,63014,1,"{'maxhp',4200},{'demage',1680},{'hujia',420}",羽化登仙,,
Hero,15,ch_name24,80015,63015,1,"{'maxhp',6200},{'demage',2480},{'hujia',620}",我是土豪,,
Hero,16,ch_name14,80016,63016,1,"{'maxhp',3200},{'demage',1280},{'hujia',320}",锋芒毕露,,
Hero,17,ch_name20,80017,63017,1,"{'maxhp',4200},{'demage',1680},{'hujia',420}",勇者无畏,,
Hero,18,ch_name15,80018,63018,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",心有所属,,
Hero,19,ch_name28,80019,63019,1,"{'maxhp',11400},{'demage',4560},{'hujia',1140}",情同手足,,
Hero,20,ch_name08,80020,63020,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",志同道合,,
Hero,21,ch_name21,80021,63021,1,"{'maxhp',4200},{'demage',1680},{'hujia',420}",情深似海,,
Hero,22,ch_name25,80022,63022,1,"{'maxhp',6200},{'demage',2480},{'hujia',620}",九天雷神,,
Hero,23,ch_name27,80023,63023,1,"{'maxhp',8200},{'demage',3280},{'hujia',820}",跳出三界,,
Hero,24,ch_name16,80024,63024,1,"{'maxhp',3200},{'demage',1280},{'hujia',320}",读万卷书,,
Hero,25,ch_name22,80025,63025,1,"{'maxhp',4200},{'demage',1680},{'hujia',420}",金榜题名,,
Hero,26,ch_name29,80026,63026,1,"{'maxhp',8200},{'demage',3280},{'hujia',820}",状元郎,,
Hero,27,ch_name30,80027,63027,1,"{'maxhp',15400},{'demage',6160},{'hujia',1540}",义结金兰,,
Hero,28,ch_name17,80028,63028,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",谁与争锋,,
Hero,29,ch_name26,80029,63029,1,"{'maxhp',9000},{'demage',3600},{'hujia',900}",超脱轮回,,
Hero,30,ch_name23,80030,63030,1,"{'maxhp',4600},{'demage',1840},{'hujia',460}",循循善诱,,
Hero,31,ch_name31,80031,63031,1,"{'maxhp',19400},{'demage',7760},{'hujia',1940}",诲人不倦,,
Hero,32,ch_name32,80032,63032,1,"{'maxhp',43400},{'demage',17360},{'hujia',4340}",厚德树人,,
Hero,33,ch_name33,80033,63033,1,"{'maxhp',75400},{'demage',30160},{'hujia',7540}",桃李天下,,
Hero,34,ch_name34,80034,63034,1,"{'maxhp',1100},{'demage',440},{'hujia',110}",东海湾征服者,,
Hero,35,ch_name35,80035,63035,1,"{'maxhp',1760},{'demage',704},{'hujia',176}",凌霄宝殿征服者,,
Hero,36,ch_name36,80036,63036,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",大雁塔征服者,,
Hero,37,ch_name37,80037,63037,1,"{'maxhp',2640},{'demage',1056},{'hujia',264}",长安城征服者,,
Hero,38,ch_name38,80038,63038,1,"{'maxhp',2750},{'demage',1100},{'hujia',275}",长寿村征服者,,
