名字,等级,需要什么物品,需要多少个,货币单位,货币数量
Name_ks,Level_kn,itemid_n,itemnum_n,moneyunit_n,money_n
HeroSkill,1,,,1,500
HeroSkill,2,,,1,1000
HeroSkill,3,,,1,1500
HeroSkill,4,,,1,2000
HeroSkill,5,,,1,2500
HeroSkill,6,,,1,3000
HeroSkill,7,,,1,3500
HeroSkill,8,,,1,4000
HeroSkill,9,,,1,4500
HeroSkill,10,,,1,5000
HeroSkill,11,,,1,5500
HeroSkill,12,,,1,6000
HeroSkill,13,,,1,6500
HeroSkill,14,,,1,7000
HeroSkill,15,,,1,7500
HeroSkill,16,,,1,8000
HeroSkill,17,,,1,8500
HeroSkill,18,,,1,9000
HeroSkill,19,,,1,9500
HeroSkill,20,,,1,10000
HeroSkill,21,,,1,10500
HeroSkill,22,,,1,11000
HeroSkill,23,,,1,11500
HeroSkill,24,,,1,12000
HeroSkill,25,,,1,12500
HeroSkill,26,,,1,13000
HeroSkill,27,,,1,13500
HeroSkill,28,,,1,14000
HeroSkill,29,,,1,14500
HeroSkill,30,,,1,15000
HeroSkill,31,,,1,15500
HeroSkill,32,,,1,16000
HeroSkill,33,,,1,16600
HeroSkill,34,,,1,17200
HeroSkill,35,,,1,17800
HeroSkill,36,,,1,18400
HeroSkill,37,,,1,19000
HeroSkill,38,,,1,19600
HeroSkill,39,,,1,20200
HeroSkill,40,,,1,20800
HeroSkill,41,,,1,21400
HeroSkill,42,,,1,22000
HeroSkill,43,,,1,22600
HeroSkill,44,,,1,23200
HeroSkill,45,,,1,23800
HeroSkill,46,,,1,24400
HeroSkill,47,,,1,25000
HeroSkill,48,,,1,25600
HeroSkill,49,,,1,26200
HeroSkill,50,,,1,26800
HeroSkill,51,,,1,27400
HeroSkill,52,,,1,28100
HeroSkill,53,,,1,28800
HeroSkill,54,,,1,29500
HeroSkill,55,,,1,30200
HeroSkill,56,,,1,30900
HeroSkill,57,,,1,31600
HeroSkill,58,,,1,32300
HeroSkill,59,,,1,33000
HeroSkill,60,,,1,33700
HeroSkill,61,,,1,34400
HeroSkill,62,,,1,35100
HeroSkill,63,,,1,35800
HeroSkill,64,,,1,36500
