名字,类型重,经脉类型名,消耗物品数量
Name_ks,Typechong_kn,Typename_s,itemnum_n
TianXianJingMai,1,一重,1
TianXianJingMai,2,二重,1
TianXianJingMai,3,三重,1
TianXianJingMai,4,四重,1
TianXianJingMai,5,五重,1
TianXianJingMai,6,六重,1
TianXianJingMai,7,七重,1
TianXianJingMai,8,八重,1
TianXianJingMai,9,九重,1
TianXianJingMai,10,十重,1
TianXianJingMai,11,十一重,1
TianXianJingMai,12,十二重,1
TianXianJingMai,13,十三重,1
TianXianJingMai,14,十四重,1
TianXianJingMai,15,十五重,1
TianXianJingMai,16,十六重,1
TianXianJingMai,17,十七重,1
TianXianJingMai,18,十八重,1
TianXianJingMai,19,十九重,1
TianXianJingMai,20,二十重,1
TianXianJingMai,21,二十一重,1
TianXianJingMai,22,二十二重,1
TianXianJingMai,23,二十三重,1
TianXianJingMai,24,二十四重,1
TianXianJingMai,25,二十五重,2
TianXianJingMai,26,二十六重,2
TianXianJingMai,27,二十七重,2
TianXianJingMai,28,二十八重,2
TianXianJingMai,29,二十九重,2
TianXianJingMai,30,三十重,2
TianXianJingMai,31,三十一重,2
TianXianJingMai,32,三十二重,2
TianXianJingMai,33,三十三重,2
TianXianJingMai,34,三十四重,2
TianXianJingMai,35,三十五重,2
TianXianJingMai,36,三十六重,2
TianXianJingMai,37,三十七重,2
TianXianJingMai,38,三十八重,2
TianXianJingMai,39,三十九重,2
TianXianJingMai,40,四十重,2
TianXianJingMai,41,四十一重,2
TianXianJingMai,42,四十二重,2
TianXianJingMai,43,四十三重,2
TianXianJingMai,44,四十四重,2
TianXianJingMai,45,四十五重,2
TianXianJingMai,46,四十六重,2
TianXianJingMai,47,四十七重,2
TianXianJingMai,48,四十八重,2
TianXianJingMai,49,四十九重,2
TianXianJingMai,50,五十重,3
TianXianJingMai,51,五十一重,3
TianXianJingMai,52,五十二重,3
TianXianJingMai,53,五十三重,3
TianXianJingMai,54,五十四重,3
TianXianJingMai,55,五十五重,3
TianXianJingMai,56,五十六重,3
TianXianJingMai,57,五十七重,3
TianXianJingMai,58,五十八重,3
TianXianJingMai,59,五十九重,3
TianXianJingMai,60,六十重,3
TianXianJingMai,61,六十一重,3
TianXianJingMai,62,六十二重,3
TianXianJingMai,63,六十三重,3
TianXianJingMai,64,六十四重,3
TianXianJingMai,65,六十五重,3
TianXianJingMai,66,六十六重,3
TianXianJingMai,67,六十七重,3
TianXianJingMai,68,六十八重,3
TianXianJingMai,69,六十九重,3
TianXianJingMai,70,七十重,3
TianXianJingMai,71,七十一重,3
TianXianJingMai,72,七十二重,3
TianXianJingMai,73,七十三重,3
TianXianJingMai,74,七十四重,3
TianXianJingMai,75,七十五重,4
TianXianJingMai,76,七十六重,4
TianXianJingMai,77,七十七重,4
TianXianJingMai,78,七十八重,4
TianXianJingMai,79,七十九重,4
TianXianJingMai,80,八十重,4
TianXianJingMai,81,八十一重,4
TianXianJingMai,82,八十二重,4
TianXianJingMai,83,八十三重,4
TianXianJingMai,84,八十四重,4
TianXianJingMai,85,八十五重,4
TianXianJingMai,86,八十六重,4
TianXianJingMai,87,八十七重,4
TianXianJingMai,88,八十八重,4
TianXianJingMai,89,八十九重,4
TianXianJingMai,90,九十重,4
TianXianJingMai,91,九十一重,4
TianXianJingMai,92,九十二重,4
TianXianJingMai,93,九十三重,4
TianXianJingMai,94,九十四重,4
TianXianJingMai,95,九十五重,4
TianXianJingMai,96,九十六重,4
TianXianJingMai,97,九十七重,4
TianXianJingMai,98,九十八重,4
TianXianJingMai,99,九十九重,4
TianXianJingMai,100,一百重,4
