名字,等级,升到几级,物品id,物品数量,货币单位,货币数量,每一次加多少经验值,多少经验可以升级,进阶奖励
Name_ks,Level_kn,ToLevel_n,itemid_n,itemnum_n,moneyunit_n,money_n,expcell_n,maxexp_n,prize_t
HeroRide,1,2,20001,3,1,400,10,100,
HeroRide,2,3,20001,3,1,500,10,200,
HeroRide,3,4,20001,4,1,600,10,400,
HeroRide,4,5,20001,5,1,700,10,600,
HeroRide,5,6,20001,7,1,800,10,900,"{""item"",20001,55}"
HeroRide,6,7,20001,10,1,900,10,1000,"{""item"",20001,92}"
HeroRide,7,8,20001,15,1,1000,10,1200,"{""item"",20001,91},{""item"",20001,91}"
HeroRide,8,9,20001,25,1,1100,10,1500,"{""item"",20001,234},{""item"",20001,234}"
HeroRide,9,10,20001,30,1,1200,10,2000,"{""item"",20001,304},{""item"",20001,304},{""item"",20001,304}"
HeroRide,10,11,20001,35,1,1300,10,2500,"{""item"",20001,539},{""item"",20001,539},{""item"",20001,539}"
HeroRide,11,12,20001,40,1,1400,10,3000,"{""item"",20001,896},{""item"",20001,896},{""item"",20001,896}"
HeroRide,12,13,20001,45,1,1500,10,3500,"{""item"",20001,1412},{""item"",20001,1412},{""item"",20001,1412}"
HeroRide,13,14,20001,50,1,1600,10,4000,"{""item"",20001,2133},{""item"",20001,2133},{""item"",20001,2133}"
HeroRide,14,15,20001,55,1,1700,10,4500,"{""item"",20001,3110},{""item"",20001,3110},{""item"",20001,3110}"
HeroRide,15,,20001,,1,,,,
HeroWing,1,2,20004,3,1,400,10,100,
HeroWing,2,3,20004,3,1,500,10,200,
HeroWing,3,4,20004,4,1,600,10,400,
HeroWing,4,5,20004,5,1,700,10,600,
HeroWing,5,6,20004,7,1,800,10,900,"{""item"",20004,55}"
HeroWing,6,7,20004,10,1,900,10,1000,"{""item"",20004,92}"
HeroWing,7,8,20004,15,1,1000,10,1200,"{""item"",20004,91},{""item"",20004,91}"
HeroWing,8,9,20004,25,1,1100,10,1500,"{""item"",20004,234},{""item"",20004,234}"
HeroWing,9,10,20004,30,1,1200,10,2000,"{""item"",20004,304},{""item"",20004,304},{""item"",20004,304}"
HeroWing,10,11,20004,35,1,1300,10,2500,"{""item"",20004,539},{""item"",20004,539},{""item"",20004,539}"
HeroWing,11,12,20004,40,1,1400,10,3000,"{""item"",20004,896},{""item"",20004,896},{""item"",20004,896}"
HeroWing,12,13,20004,45,1,1500,10,3500,"{""item"",20004,1412},{""item"",20004,1412},{""item"",20004,1412}"
HeroWing,13,14,20004,50,1,1600,10,4000,"{""item"",20004,2133},{""item"",20004,2133},{""item"",20004,2133}"
HeroWing,14,15,20004,55,1,1700,10,4500,"{""item"",20004,3110},{""item"",20004,3110},{""item"",20004,3110}"
HeroWing,15,,20004,,1,,,,
PetTongLin,1,2,20007,3,1,400,10,100,
PetTongLin,2,3,20007,3,1,500,10,200,
PetTongLin,3,4,20007,4,1,600,10,400,
PetTongLin,4,5,20007,5,1,700,10,600,
PetTongLin,5,6,20007,7,1,800,10,900,"{""item"",20007,46}"
PetTongLin,6,7,20007,10,1,900,10,1000,"{""item"",20007,77}"
PetTongLin,7,8,20007,15,1,1000,10,1200,"{""item"",20007,74},{""item"",20007,74}"
PetTongLin,8,9,20007,25,1,1100,10,1500,"{""item"",20007,180},{""item"",20007,180}"
PetTongLin,9,10,20007,30,1,1200,10,2000,"{""item"",20007,224},{""item"",20007,224},{""item"",20007,224}"
PetTongLin,10,11,20007,35,1,1300,10,2500,"{""item"",20007,382},{""item"",20007,382},{""item"",20007,382}"
PetTongLin,11,12,20007,40,1,1400,10,3000,"{""item"",20007,616},{""item"",20007,616},{""item"",20007,616}"
PetTongLin,12,13,20007,45,1,1500,10,3500,"{""item"",20007,946},{""item"",20007,946},{""item"",20007,946}"
PetTongLin,13,14,20007,50,1,1600,10,4000,"{""item"",20007,1400},{""item"",20007,1400},{""item"",20007,1400}"
PetTongLin,14,15,20007,55,1,1700,10,4500,"{""item"",20007,2006},{""item"",20007,2006},{""item"",20007,2006}"
PetTongLin,15,,20007,,1,,,,
PetSouHun,1,2,20008,3,1,400,10,100,
PetSouHun,2,3,20008,3,1,500,10,200,
PetSouHun,3,4,20008,4,1,600,10,400,
PetSouHun,4,5,20008,5,1,700,10,600,
PetSouHun,5,6,20008,7,1,800,10,900,"{""item"",20008,46}"
PetSouHun,6,7,20008,10,1,900,10,1000,"{""item"",20008,77}"
PetSouHun,7,8,20008,15,1,1000,10,1200,"{""item"",20008,74},{""item"",20008,74}"
PetSouHun,8,9,20008,25,1,1100,10,1500,"{""item"",20008,180},{""item"",20008,180}"
PetSouHun,9,10,20008,30,1,1200,10,2000,"{""item"",20008,224},{""item"",20008,224},{""item"",20008,224}"
PetSouHun,10,11,20008,35,1,1300,10,2500,"{""item"",20008,382},{""item"",20008,382},{""item"",20008,382}"
PetSouHun,11,12,20008,40,1,1400,10,3000,"{""item"",20008,616},{""item"",20008,616},{""item"",20008,616}"
PetSouHun,12,13,20008,45,1,1500,10,3500,"{""item"",20008,946},{""item"",20008,946},{""item"",20008,946}"
PetSouHun,13,14,20008,50,1,1600,10,4000,"{""item"",20008,1400},{""item"",20008,1400},{""item"",20008,1400}"
PetSouHun,14,15,20008,55,1,1700,10,4500,"{""item"",20008,2006},{""item"",20008,2006},{""item"",20008,2006}"
PetSouHun,15,,20008,,1,,,,
Pet,1,2,20013,1,1,400,10,30,
Pet,2,3,20013,1,1,500,10,30,
Pet,3,4,20013,1,1,600,10,30,
Pet,4,5,20013,1,1,700,10,30,
Pet,5,6,20013,1,1,800,10,40,
Pet,6,7,20013,1,1,900,10,40,
Pet,7,8,20013,1,1,1000,10,40,
Pet,8,9,20013,1,1,1100,10,40,
Pet,9,10,20013,1,1,1200,10,40,
Pet,10,11,20013,2,1,1300,10,50,
Pet,11,12,20013,2,1,1400,10,50,
Pet,12,13,20013,2,1,1500,10,50,
Pet,13,14,20013,2,1,1600,10,50,
Pet,14,15,20013,2,1,1700,10,50,
Pet,15,16,20013,2,1,1800,10,60,
Pet,16,17,20013,2,1,1900,10,60,
