部下ID,攻击条名字,攻击条位置X,攻击条位置Y,特效1ID（这里特殊的地方是填的ID不是ModelEffect里的ID，而是ModelDefine里的）,特效1位置X,特效1位置Y,特效2ID,特效1位置X,特效1位置Y
entryId_kn,attackName_s,attX_n,attY_n,effect1_n,effect1X_n,effect1Y_n,effect2_n,effect2X_n,effect2Y_n
18000,ATTACK,300,500,8034,250,420,,,
18002,ATTACK,300,400,8034,350,280,,,
18003,ATTACK,300,300,,,,,,
18004,ATTACK,200,350,,,,,,
18005,ATTACK,200,400,8034,230,350,,,
18007,ATTACK,300,400,8034,200,300,,,
18008,ATTACK,300,300,,,,,,
18009,ATTACK,300,400,,,,,,
18010,ATTACK,300,320,,,,,,
18013,ATTACK,200,300,8034,260,600,,,
18014,ATTACK,200,250,,,,,,
18015,ATTACK,300,400,,,,,,
18016,ATTACK,300,400,,,,,,
18017,ATTACK,250,450,,,,,,
18018,ATTACK,300,350,8034,300,650,,,
18019,ATTACK,270,420,8034,250,650,,,
18020,ATTACK,300,250,8034,380,600,,,
18021,ATTACK,300,400,8034,290,630,,,
18022,ATTACK,300,400,,,,,,
18023,ATTACK,300,320,,,,,,
18024,ATTACK,230,380,,,,,,
18025,ATTACK,300,500,8034,200,300,,,
18026,ATTACK,250,350,8034,290,600,,,
18027,ATTACK,300,350,,,,,,
18028,ATTACK,300,400,8034,340,560,,,
18029,ATTACK,250,420,,,,,,
18012,ATTACK,300,400,8034,300,550,,,
