power索引,类型ID,目标ID,数值,标识（0：不显示；1：普通；2：暴击）,buffID,buff持续时间,buff数量,方向,状态,金钱掉落,物品掉落,物品品质,说明
powerId_kn,effect_n,target_n,point_n,flag,buff_n,life_n,count_n,dir_n,status_n,value_n,itemId_n,quality_n,introduction_c
1,1,8,100,1,,,,,,,,,加HP
2,2,8,100,1,,,,,,,,,减HP
3,3,8,100,1,,,,,,,,,加HP上限
4,4,8,100,1,,,,,,,,,减HP上限
5,5,8,100,1,,,,,,,,,加RP
6,6,8,100,1,,,,,,,,,减RP
7,7,8,,,,,,,,,,,不命中
8,8,8,,,,,,,,,,,闪躲
9,9,8,,,,,,,,,,,表演受击动作
10,10,8,,,5,1000,1,,,,,,加buff
11,11,8,,,5,1000,1,,,,,,剔除buff
12,12,8,,,5,1000,1,,,,,,更新buff
13,13,8,,,,,,,,,,,buff免疫
14,14,8,,,,,,,,,,,抵抗buff
15,15,8,,,,,,,,,,,打断吟唱技能
16,16,8,,,,,,4,,,,,移动
17,17,8,,,,,,,1,,,,状态（主要用于die）
18,18,8,,,,,,,,200,,,掉落金币
19,19,8,,,,,,,,,10006,3,掉落物品
20,20,8,,,,,,,,,,,吸收伤害
21,121,1,,,,,,,,,,,战斗画面冻结，需要点击target指定序号按钮才退出状态
22,122,1,,,,,,,,,,,客户端战斗结束，后面target的数值只要填1即可
23,123,11,,,,,,,1,,,,战斗中对话
100,9,6,,,,,,,,,,,
101,9,9,,,,,,,,,,,
102,9,12,,,,,,,,,,,
103,2,6,2356,1,,,,,,,,,
104,2,9,2410,1,,,,,,,,,
105,2,12,2230,1,,,,,,,,,
106,9,1,,,,,,,,,,,
107,9,2,,,,,,,,,,,
108,9,3,,,,,,,,,,,
109,9,4,,,,,,,,,,,
110,9,5,,,,,,,,,,,
111,2,1,1681,1,,,,,,,,,
112,2,2,1520,1,,,,,,,,,
113,2,3,1456,1,,,,,,,,,
114,2,4,1624,1,,,,,,,,,
115,2,5,1422,1,,,,,,,,,
116,9,1,,,,,,,,,,,
117,9,4,,,,,,,,,,,
118,2,1,1865,1,,,,,,,,,
119,2,4,1798,1,,,,,,,,,
120,9,6,,,,,,,,,,,
121,9,7,,,,,,,,,,,
122,9,8,,,,,,,,,,,
123,9,9,,,,,,,,,,,
124,9,10,,,,,,,,,,,
125,9,11,,,,,,,,,,,
126,9,12,,,,,,,,,,,
127,9,13,,,,,,,,,,,
128,9,14,,,,,,,,,,,
129,2,6,2314,1,,,,,,,,,
130,2,7,2215,1,,,,,,,,,
131,2,8,2222,1,,,,,,,,,
132,2,9,2341,1,,,,,,,,,
133,2,10,2056,1,,,,,,,,,
134,2,11,2031,1,,,,,,,,,
135,2,12,2415,1,,,,,,,,,
136,2,13,2315,1,,,,,,,,,
137,2,14,2451,1,,,,,,,,,
138,9,1,,,,,,,,,,,
139,9,2,,,,,,,,,,,
140,9,3,,,,,,,,,,,
141,2,1,2236,1,,,,,,,,,
142,2,2,2241,1,,,,,,,,,
143,2,3,2251,1,,,,,,,,,
144,9,1,,,,,,,,,,,
145,9,2,,,,,,,,,,,
146,9,3,,,,,,,,,,,
147,9,4,,,,,,,,,,,
148,9,5,,,,,,,,,,,
149,2,1,1823,1,,,,,,,,,
150,2,2,1874,1,,,,,,,,,
151,2,3,1854,1,,,,,,,,,
152,2,4,1826,1,,,,,,,,,
153,2,5,1849,1,,,,,,,,,
154,9,8,,,,,,,,,,,
155,2,8,2689,1,,,,,,,,,
156,17,8,,,,,,,1,,,,
157,1,6,2310,1,,,,,,,,,
158,1,7,2150,1,,,,,,,,,
159,1,9,2210,1,,,,,,,,,
160,1,10,2213,1,,,,,,,,,
161,1,11,2214,1,,,,,,,,,
162,1,12,1050,1,,,,,,,,,
163,1,13,2130,1,,,,,,,,,
164,1,14,2301,1,,,,,,,,,
165,9,1,,,,,,,,,,,
166,2,1,3050,1,,,,,,,,,
167,17,1,,,,,,,1,,,,
168,9,12,,,,,,,,,,,
169,2,12,3215,1,,,,,,,,,
170,17,12,,,,,,,1,,,,
171,9,2,,,,,,,,,,,
172,9,3,,,,,,,,,,,
173,9,4,,,,,,,,,,,
174,9,5,,,,,,,,,,,
175,2,2,1710,1,,,,,,,,,
176,2,3,1721,1,,,,,,,,,
177,2,4,1713,1,,,,,,,,,
178,2,5,1741,1,,,,,,,,,
179,9,2,,,,,,,,,,,
180,2,2,3212,1,,,,,,,,,
181,17,2,,,,,,,1,,,,
182,9,9,,,,,,,,,,,
183,9,10,,,,,,,,,,,
184,9,11,,,,,,,,,,,
185,2,9,3415,1,,,,,,,,,
186,2,10,3421,1,,,,,,,,,
187,2,11,3423,1,,,,,,,,,
188,17,9,,,,,,,1,,,,
189,17,10,,,,,,,1,,,,
190,17,11,,,,,,,1,,,,
191,9,3,,,,,,,,,,,
192,9,4,,,,,,,,,,,
193,9,5,,,,,,,,,,,
194,2,3,3056,1,,,,,,,,,
195,2,4,3048,1,,,,,,,,,
196,2,5,3061,1,,,,,,,,,
197,17,3,,,,,,,1,,,,
198,17,4,,,,,,,1,,,,
199,17,5,,,,,,,1,,,,
200,122,1,,,,,,,,,,,
