索引,说明,军团等级,可能奖励,怪物npc索引,怪物组合,个人击杀上限,协助数量,首通奖励,掉落库,协助掉落,固定奖励
Index_kn,name_s,level,prizeShow_t,monsterNpc,monsterQueue_t,limitCount,help_n,first_t,lib_t,help_t,fixPrize_t
100,帮会副本1,1,"{""item"",60020,1},{""item"",60025,1},{""item"",60026,1},{""item"",60027,1},{""item"",60028,1}",14000110,"[2]=14000102,[3]=14000103,[4]=14000104,[5]=14000105,[6]=14000106,[8]=14000108,[9]=14000109,[10]=14000110,[11]=14000111,[12]=14000112",5,5,"{""bindRmb"",1000},{""facContribute"",1000}",9,"{""item"",60086,1}","{""exp"",470000},{""facContribute"",100},{""item"",60020,1}"
101,帮会副本2,2,"{""item"",60020,1},{""item"",60032,1},{""item"",60031,1},{""item"",60030,1},{""item"",60029,1}",14000210,"[2]=14000202,[3]=14000203,[4]=14000204,[5]=14000205,[6]=14000206,[8]=14000208,[9]=14000209,[10]=14000210,[11]=14000211,[12]=14000212",5,5,"{""bindRmb"",1500},{""facContribute"",2000}",10,"{""item"",60086,1}","{""exp"",820000},{""facContribute"",200},{""item"",60020,1}"
102,帮会副本3,3,"{""item"",60020,1},{""item"",60027,1},{""item"",60029,1},{""item"",60031,1},{""item"",60025,1},{""item"",60032,1}",14000310,"[2]=14000302,[3]=14000303,[4]=14000304,[5]=14000305,[6]=14000306,[8]=14000308,[9]=14000309,[10]=14000310,[11]=14000311,[12]=14000312",5,5,"{""bindRmb"",2000},{""facContribute"",3000}",11,"{""item"",60086,1}","{""exp"",1930000},{""facContribute"",300},{""item"",60020,1}"
103,帮会副本4,4,"{""item"",60021,1},{""item"",60059,1},{""item"",60025,1},{""item"",60026,1},{""item"",60027,1},{""item"",60028,1}",14000410,"[2]=14000402,[3]=14000403,[4]=14000404,[5]=14000405,[6]=14000406,[8]=14000408,[9]=14000409,[10]=14000410,[11]=14000411,[12]=14000412",5,5,"{""bindRmb"",2500},{""facContribute"",4000}",12,"{""item"",60086,1}","{""exp"",3440000},{""facContribute"",400},{""item"",60021,1}"
104,帮会副本5,5,"{""item"",60021,1},{""item"",60059,1},{""item"",60032,1},{""item"",60031,1},{""item"",60030,1},{""item"",60029,1}",14000510,"[2]=14000502,[3]=14000503,[4]=14000504,[5]=14000505,[6]=14000506,[8]=14000508,[9]=14000509,[10]=14000510,[11]=14000511,[12]=14000512",5,5,"{""bindRmb"",3000},{""facContribute"",5000}",13,"{""item"",60086,1}","{""exp"",5020000},{""facContribute"",500},{""item"",60021,1}"
105,帮会副本6,6,"{""item"",60022,1},{""item"",60027,1},{""item"",60029,1},{""item"",60031,1},{""item"",60025,1},{""item"",60032,1}",14000610,"[2]=14000602,[3]=14000603,[4]=14000604,[5]=14000605,[6]=14000606,[8]=14000608,[9]=14000609,[10]=14000610,[11]=14000611,[12]=14000612",5,5,"{""bindRmb"",3500},{""facContribute"",6000}",14,"{""item"",60086,1}","{""exp"",6880000},{""facContribute"",600},{""item"",60022,1}"
106,帮会副本7,7,"{""item"",60022,1},{""item"",60059,1},{""item"",60025,1},{""item"",60026,1},{""item"",60027,1},{""item"",60028,1}",14000710,"[2]=14000702,[3]=14000703,[4]=14000704,[5]=14000705,[6]=14000706,[8]=14000708,[9]=14000709,[10]=14000710,[11]=14000711,[12]=14000712",5,5,"{""bindRmb"",4000},{""facContribute"",7000}",15,"{""item"",60086,1}","{""exp"",8870000},{""facContribute"",700},{""item"",60022,1}"
107,帮会副本8,8,"{""item"",60023,1},{""item"",60059,1},{""item"",60032,1},{""item"",60031,1},{""item"",60030,1},{""item"",60029,1}",14000810,"[2]=14000802,[3]=14000803,[4]=14000804,[5]=14000805,[6]=14000806,[8]=14000808,[9]=14000809,[10]=14000810,[11]=14000811,[12]=14000812",5,5,"{""bindRmb"",4500},{""facContribute"",8000}",16,"{""item"",60086,1}","{""exp"",11000000},{""facContribute"",800},{""item"",60023,1}"
108,帮会副本9,9,"{""item"",60023,1},{""item"",60027,1},{""item"",60029,1},{""item"",60031,1},{""item"",60025,1},{""item"",60032,1}",14000910,"[2]=14000902,[3]=14000903,[4]=14000904,[5]=14000905,[6]=14000906,[8]=14000908,[9]=14000909,[10]=14000910,[11]=14000911,[12]=14000912",5,5,"{""bindRmb"",5000},{""facContribute"",9000}",17,"{""item"",60086,1}","{""exp"",13270000},{""facContribute"",900},{""item"",60023,1}"
109,帮会副本10,10,"{""item"",60024,1},{""item"",60027,1},{""item"",60029,1},{""item"",60031,1},{""item"",60025,1},{""item"",60032,1}",14001010,"[2]=14001002,[3]=14001003,[4]=14001004,[5]=14001005,[6]=14001006,[8]=14001008,[9]=14001009,[10]=14001010,[11]=14001011,[12]=14001012",5,5,"{""bindRmb"",5500},{""facContribute"",10000}",18,"{""item"",60086,1}","{""exp"",15820000},{""facContribute"",1000},{""item"",60024,1}"
