任务类型,说明,角色等级,,npcId
taskType_kn,name_s,level_kn,cNpcId,npcId_t
100,帮会采集,50,21027,0
100,帮会采集,60,21028,0
100,帮会采集,70,21029,0
100,帮会采集,80,21030,0
100,帮会采集,90,21031,0
100,帮会采集,100,21032,0
100,帮会采集,110,21033,0
100,帮会采集,120,21034,0
100,帮会采集,130,21035,0
100,帮会采集,140,21036,0
100,帮会采集,150,21037,0
100,帮会采集,160,21038,0
100,帮会采集,170,21039,0
100,帮会采集,180,21040,0
100,帮会采集,190,21041,0
100,帮会采集,200,21042,0
100,帮会采集,210,21043,0
100,帮会采集,220,21044,0
100,帮会采集,230,21045,0
100,帮会采集,240,21046,0
101,帮会小怪,50,21001,"[2]=4000109,[3]=4000109,[4]=4000109,[5]=4000109,[6]=4000109,[8]=4000109,[9]=4000109,[10]=4000110,[11]=4000109,[12]=4000109"
101,帮会小怪,70,21002,"[2]=4000209,[3]=4000209,[4]=4000209,[5]=4000209,[6]=4000209,[8]=4000209,[9]=4000209,[10]=4000210,[11]=4000209,[12]=4000209"
101,帮会小怪,80,21003,"[2]=4000309,[3]=4000309,[4]=4000309,[5]=4000309,[6]=4000309,[8]=4000309,[9]=4000309,[10]=4000310,[11]=4000309,[12]=4000309"
101,帮会小怪,90,21004,"[2]=4000409,[3]=4000409,[4]=4000409,[5]=4000409,[6]=4000409,[8]=4000409,[9]=4000409,[10]=4000410,[11]=4000409,[12]=4000409"
101,帮会小怪,100,21005,"[2]=4000509,[3]=4000509,[4]=4000509,[5]=4000509,[6]=4000509,[8]=4000509,[9]=4000509,[10]=4000510,[11]=4000509,[12]=4000509"
101,帮会小怪,110,21006,"[2]=4000609,[3]=4000609,[4]=4000609,[5]=4000609,[6]=4000609,[8]=4000609,[9]=4000609,[10]=4000610,[11]=4000609,[12]=4000609"
101,帮会小怪,120,21007,"[2]=4000709,[3]=4000709,[4]=4000709,[5]=4000709,[6]=4000709,[8]=4000709,[9]=4000709,[10]=4000710,[11]=4000709,[12]=4000709"
101,帮会小怪,130,21008,"[2]=4000809,[3]=4000809,[4]=4000809,[5]=4000809,[6]=4000809,[8]=4000809,[9]=4000809,[10]=4000810,[11]=4000809,[12]=4000809"
101,帮会小怪,140,21009,"[2]=4000909,[3]=4000909,[4]=4000909,[5]=4000909,[6]=4000909,[8]=4000909,[9]=4000909,[10]=4000910,[11]=4000909,[12]=4000909"
101,帮会小怪,150,21010,"[2]=4001009,[3]=4001009,[4]=4001009,[5]=4001009,[6]=4001009,[8]=4001009,[9]=4001009,[10]=4001010,[11]=4001009,[12]=4001009"
101,帮会小怪,160,21011,"[2]=4001109,[3]=4001109,[4]=4001109,[5]=4001109,[6]=4001109,[8]=4001109,[9]=4001109,[10]=4001110,[11]=4001109,[12]=4001109"
101,帮会小怪,170,21012,"[2]=4001209,[3]=4001209,[4]=4001209,[5]=4001209,[6]=4001209,[8]=4001209,[9]=4001209,[10]=4001210,[11]=4001209,[12]=4001209"
101,帮会小怪,180,21013,"[2]=4001309,[3]=4001309,[4]=4001309,[5]=4001309,[6]=4001309,[8]=4001309,[9]=4001309,[10]=4001310,[11]=4001309,[12]=4001309"
101,帮会小怪,190,21014,"[2]=4001409,[3]=4001409,[4]=4001409,[5]=4001409,[6]=4001409,[8]=4001409,[9]=4001409,[10]=4001410,[11]=4001409,[12]=4001409"
101,帮会小怪,200,21015,"[2]=4001509,[3]=4001509,[4]=4001509,[5]=4001509,[6]=4001509,[8]=4001509,[9]=4001509,[10]=4001510,[11]=4001509,[12]=4001509"
101,帮会小怪,210,21016,"[2]=4001609,[3]=4001609,[4]=4001609,[5]=4001609,[6]=4001609,[8]=4001609,[9]=4001609,[10]=4001610,[11]=4001609,[12]=4001609"
101,帮会小怪,220,21017,"[2]=4001709,[3]=4001709,[4]=4001709,[5]=4001709,[6]=4001709,[8]=4001709,[9]=4001709,[10]=4001710,[11]=4001709,[12]=4001709"
101,帮会小怪,230,21018,"[2]=4001809,[3]=4001809,[4]=4001809,[5]=4001809,[6]=4001809,[8]=4001809,[9]=4001809,[10]=4001810,[11]=4001809,[12]=4001809"
101,帮会小怪,240,21019,"[2]=4001909,[3]=4001909,[4]=4001909,[5]=4001909,[6]=4001909,[8]=4001909,[9]=4001909,[10]=4001910,[11]=4001909,[12]=4001909"
