位置,阶,紫色 4;金色 5;红色 6,通用装备基础属性,通用装备附加属性,生命填1，攻击填2，防御填3
Pos_n,Stage_n,Quality_n,effects_t,addeffects_t,property_n
1,1,4,"{'maxhp',150}","{'maxhp',30}",1
1,2,4,"{'maxhp',300}","{'maxhp',60}",1
1,3,4,"{'maxhp',600}","{'maxhp',120}",1
1,4,4,"{'maxhp',1050}","{'maxhp',210}",1
1,5,4,"{'maxhp',1650}","{'maxhp',330}",1
1,6,4,"{'maxhp',2460}","{'maxhp',492}",1
1,7,4,"{'maxhp',3420}","{'maxhp',684}",1
1,8,4,"{'maxhp',4680}","{'maxhp',936}",1
1,9,4,"{'maxhp',6390}","{'maxhp',1278}",1
1,10,4,"{'maxhp',8730}","{'maxhp',1746}",1
1,1,5,"{'maxhp',250}","{'maxhp',50}",1
1,2,5,"{'maxhp',500}","{'maxhp',100}",1
1,3,5,"{'maxhp',1000}","{'maxhp',200}",1
1,4,5,"{'maxhp',1750}","{'maxhp',350}",1
1,5,5,"{'maxhp',2750}","{'maxhp',550}",1
1,6,5,"{'maxhp',4100}","{'maxhp',820}",1
1,7,5,"{'maxhp',5700}","{'maxhp',1140}",1
1,8,5,"{'maxhp',7800}","{'maxhp',1560}",1
1,9,5,"{'maxhp',10650}","{'maxhp',2130}",1
1,10,5,"{'maxhp',14550}","{'maxhp',2910}",1
1,1,6,"{'maxhp',450}","{'maxhp',90}",1
1,2,6,"{'maxhp',900}","{'maxhp',180}",1
1,3,6,"{'maxhp',1800}","{'maxhp',360}",1
1,4,6,"{'maxhp',3150}","{'maxhp',630}",1
1,5,6,"{'maxhp',4950}","{'maxhp',990}",1
1,6,6,"{'maxhp',7380}","{'maxhp',1476}",1
1,7,6,"{'maxhp',10260}","{'maxhp',2052}",1
1,8,6,"{'maxhp',14040}","{'maxhp',2808}",1
1,9,6,"{'maxhp',19170}","{'maxhp',3834}",1
1,10,6,"{'maxhp',26190}","{'maxhp',5238}",1
2,1,4,"{'demage',15}","{'demage',3}",2
2,2,4,"{'demage',30}","{'demage',6}",2
2,3,4,"{'demage',60}","{'demage',12}",2
2,4,4,"{'demage',105}","{'demage',21}",2
2,5,4,"{'demage',165}","{'demage',33}",2
2,6,4,"{'demage',246}","{'demage',49}",2
2,7,4,"{'demage',342}","{'demage',68}",2
2,8,4,"{'demage',468}","{'demage',94}",2
2,9,4,"{'demage',639}","{'demage',128}",2
2,10,4,"{'demage',873}","{'demage',175}",2
2,1,5,"{'demage',25}","{'demage',5}",2
2,2,5,"{'demage',50}","{'demage',10}",2
2,3,5,"{'demage',100}","{'demage',20}",2
2,4,5,"{'demage',175}","{'demage',35}",2
2,5,5,"{'demage',275}","{'demage',55}",2
2,6,5,"{'demage',410}","{'demage',82}",2
2,7,5,"{'demage',570}","{'demage',114}",2
2,8,5,"{'demage',780}","{'demage',156}",2
2,9,5,"{'demage',1065}","{'demage',213}",2
2,10,5,"{'demage',1455}","{'demage',291}",2
2,1,6,"{'demage',45}","{'demage',9}",2
2,2,6,"{'demage',90}","{'demage',18}",2
2,3,6,"{'demage',180}","{'demage',36}",2
2,4,6,"{'demage',315}","{'demage',63}",2
2,5,6,"{'demage',495}","{'demage',99}",2
2,6,6,"{'demage',738}","{'demage',148}",2
2,7,6,"{'demage',1026}","{'demage',205}",2
2,8,6,"{'demage',1404}","{'demage',281}",2
2,9,6,"{'demage',1917}","{'demage',383}",2
