阶,灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,银两数量,道具ID,道具数量
Stage_kn,Quality_kn,money_n,itemid_n,itemnum_n
1,4,360,60002,6
2,4,600,60002,10
3,4,840,60002,14
4,4,1080,60002,18
5,4,1320,60002,22
6,4,1560,60002,26
7,4,1800,60002,30
8,4,2040,60002,34
9,4,2280,60002,38
10,4,2520,60002,42
1,5,1800,60002,30
2,5,3000,60002,50
3,5,4200,60002,70
4,5,5400,60002,90
5,5,6600,60002,110
6,5,7800,60002,130
7,5,9000,60002,150
8,5,10200,60002,170
9,5,11400,60002,190
10,5,12600,60002,210
7,6,,60062,224
8,6,,60062,416
9,6,,60062,688
10,6,,60062,1248
