套装ID,灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,子类型,装备基础属性
Suit_n,Quality_n,subtype_n,effects_t
101,1,201,"{'demage',25},{'hujia',24}"
101,2,201,"{'demage',50},{'hujia',48}"
101,3,201,"{'demage',75},{'hujia',72}"
101,4,201,"{'demage',125},{'hujia',120}"
101,5,201,"{'demage',250},{'hujia',240}"
102,1,201,"{'demage',50},{'hujia',48}"
102,2,201,"{'demage',100},{'hujia',96}"
102,3,201,"{'demage',150},{'hujia',144}"
102,4,201,"{'demage',250},{'hujia',240}"
102,5,201,"{'demage',500},{'hujia',480}"
103,1,201,"{'demage',84},{'hujia',80}"
103,2,201,"{'demage',168},{'hujia',160}"
103,3,201,"{'demage',252},{'hujia',240}"
103,4,201,"{'demage',420},{'hujia',400}"
103,5,201,"{'demage',840},{'hujia',800}"
104,1,201,"{'demage',126},{'hujia',120}"
104,2,201,"{'demage',252},{'hujia',240}"
104,3,201,"{'demage',378},{'hujia',360}"
104,4,201,"{'demage',630},{'hujia',600}"
104,5,201,"{'demage',1260},{'hujia',1200}"
105,1,201,"{'demage',184},{'hujia',176}"
105,2,201,"{'demage',369},{'hujia',352}"
105,3,201,"{'demage',554},{'hujia',528}"
105,4,201,"{'demage',924},{'hujia',880}"
105,5,201,"{'demage',1848},{'hujia',1760}"
105,6,201,"{'demage',4620},{'hujia',4400}"
106,1,201,"{'demage',252},{'hujia',240}"
106,2,201,"{'demage',504},{'hujia',480}"
106,3,201,"{'demage',756},{'hujia',720}"
106,4,201,"{'demage',1260},{'hujia',1200}"
106,5,201,"{'demage',2520},{'hujia',2400}"
106,6,201,"{'demage',6300},{'hujia',6000}"
107,1,201,"{'demage',327},{'hujia',312}"
107,2,201,"{'demage',655},{'hujia',624}"
107,3,201,"{'demage',982},{'hujia',936}"
107,4,201,"{'demage',1638},{'hujia',1560}"
107,5,201,"{'demage',3276},{'hujia',3120}"
107,6,201,"{'demage',8190},{'hujia',7800}"
108,1,201,"{'demage',420},{'hujia',400}"
108,2,201,"{'demage',840},{'hujia',800}"
108,3,201,"{'demage',1260},{'hujia',1200}"
108,4,201,"{'demage',2100},{'hujia',2000}"
108,5,201,"{'demage',4200},{'hujia',4000}"
108,6,201,"{'demage',10500},{'hujia',10000}"
109,1,201,"{'demage',520},{'hujia',496}"
109,2,201,"{'demage',1041},{'hujia',992}"
109,3,201,"{'demage',1562},{'hujia',1488}"
109,4,201,"{'demage',2604},{'hujia',2480}"
109,5,201,"{'demage',5208},{'hujia',4960}"
109,6,201,"{'demage',13020},{'hujia',12400}"
110,1,201,"{'demage',630},{'hujia',600}"
110,2,201,"{'demage',1260},{'hujia',1200}"
110,3,201,"{'demage',1890},{'hujia',1800}"
110,4,201,"{'demage',3150},{'hujia',3000}"
110,5,201,"{'demage',6300},{'hujia',6000}"
110,6,201,"{'demage',15750},{'hujia',15000}"
111,1,201,"{'demage',781},{'hujia',744}"
111,2,201,"{'demage',1562},{'hujia',1488}"
111,3,201,"{'demage',2343},{'hujia',2232}"
111,4,201,"{'demage',3906},{'hujia',3720}"
111,5,201,"{'demage',7812},{'hujia',7440}"
111,6,201,"{'demage',19530},{'hujia',18600}"
112,1,201,"{'demage',966},{'hujia',920}"
112,2,201,"{'demage',1932},{'hujia',1840}"
112,3,201,"{'demage',2898},{'hujia',2760}"
112,4,201,"{'demage',4830},{'hujia',4600}"
112,5,201,"{'demage',9660},{'hujia',9200}"
112,6,201,"{'demage',24150},{'hujia',23000}"
113,1,201,"{'demage',1176},{'hujia',1120}"
113,2,201,"{'demage',2352},{'hujia',2240}"
113,3,201,"{'demage',3528},{'hujia',3360}"
113,4,201,"{'demage',5880},{'hujia',5600}"
113,5,201,"{'demage',11760},{'hujia',11200}"
113,6,201,"{'demage',29400},{'hujia',28000}"
101,1,202,"{'maxhp',30},{'demage',45}"
101,2,202,"{'maxhp',60},{'demage',90}"
101,3,202,"{'maxhp',90},{'demage',135}"
101,4,202,"{'maxhp',150},{'demage',225}"
101,5,202,"{'maxhp',300},{'demage',450}"
102,1,202,"{'maxhp',60},{'demage',90}"
102,2,202,"{'maxhp',120},{'demage',180}"
102,3,202,"{'maxhp',180},{'demage',270}"
102,4,202,"{'maxhp',300},{'demage',450}"
102,5,202,"{'maxhp',600},{'demage',900}"
103,1,202,"{'maxhp',100},{'demage',151}"
103,2,202,"{'maxhp',200},{'demage',302}"
103,3,202,"{'maxhp',300},{'demage',453}"
103,4,202,"{'maxhp',500},{'demage',755}"
103,5,202,"{'maxhp',1000},{'demage',1510}"
104,1,202,"{'maxhp',150},{'demage',228}"
104,2,202,"{'maxhp',300},{'demage',456}"
104,3,202,"{'maxhp',450},{'demage',684}"
104,4,202,"{'maxhp',750},{'demage',1140}"
104,5,202,"{'maxhp',1500},{'demage',2280}"
105,1,202,"{'maxhp',220},{'demage',334}"
105,2,202,"{'maxhp',440},{'demage',668}"
105,3,202,"{'maxhp',660},{'demage',1003}"
105,4,202,"{'maxhp',1100},{'demage',1672}"
105,5,202,"{'maxhp',2200},{'demage',3344}"
105,6,202,"{'maxhp',5500},{'demage',8360}"
106,1,202,"{'maxhp',300},{'demage',456}"
106,2,202,"{'maxhp',600},{'demage',912}"
106,3,202,"{'maxhp',900},{'demage',1368}"
106,4,202,"{'maxhp',1500},{'demage',2280}"
106,5,202,"{'maxhp',3000},{'demage',4560}"
106,6,202,"{'maxhp',7500},{'demage',11400}"
107,1,202,"{'maxhp',390},{'demage',592}"
107,2,202,"{'maxhp',780},{'demage',1185}"
107,3,202,"{'maxhp',1170},{'demage',1778}"
107,4,202,"{'maxhp',1950},{'demage',2964}"
107,5,202,"{'maxhp',3900},{'demage',5928}"
107,6,202,"{'maxhp',9750},{'demage',14820}"
108,1,202,"{'maxhp',500},{'demage',760}"
108,2,202,"{'maxhp',1000},{'demage',1520}"
108,3,202,"{'maxhp',1500},{'demage',2280}"
108,4,202,"{'maxhp',2500},{'demage',3800}"
108,5,202,"{'maxhp',5000},{'demage',7600}"
108,6,202,"{'maxhp',12500},{'demage',19000}"
109,1,202,"{'maxhp',620},{'demage',942}"
109,2,202,"{'maxhp',1240},{'demage',1884}"
109,3,202,"{'maxhp',1860},{'demage',2827}"
109,4,202,"{'maxhp',3100},{'demage',4712}"
109,5,202,"{'maxhp',6200},{'demage',9424}"
109,6,202,"{'maxhp',15500},{'demage',23560}"
110,1,202,"{'maxhp',750},{'demage',1140}"
110,2,202,"{'maxhp',1500},{'demage',2280}"
110,3,202,"{'maxhp',2250},{'demage',3420}"
110,4,202,"{'maxhp',3750},{'demage',5700}"
110,5,202,"{'maxhp',7500},{'demage',11400}"
110,6,202,"{'maxhp',18750},{'demage',28500}"
111,1,202,"{'maxhp',930},{'demage',1413}"
111,2,202,"{'maxhp',1860},{'demage',2827}"
111,3,202,"{'maxhp',2790},{'demage',4240}"
111,4,202,"{'maxhp',4650},{'demage',7068}"
111,5,202,"{'maxhp',9300},{'demage',14136}"
111,6,202,"{'maxhp',23250},{'demage',35340}"
112,1,202,"{'maxhp',1150},{'demage',1748}"
112,2,202,"{'maxhp',2300},{'demage',3496}"
112,3,202,"{'maxhp',3450},{'demage',5244}"
112,4,202,"{'maxhp',5750},{'demage',8740}"
112,5,202,"{'maxhp',11500},{'demage',17480}"
112,6,202,"{'maxhp',28750},{'demage',43700}"
113,1,202,"{'maxhp',1400},{'demage',2128}"
113,2,202,"{'maxhp',2800},{'demage',4256}"
113,3,202,"{'maxhp',4200},{'demage',6384}"
113,4,202,"{'maxhp',7000},{'demage',10640}"
113,5,202,"{'maxhp',14000},{'demage',21280}"
113,6,202,"{'maxhp',35000},{'demage',53200}"
101,1,203,"{'maxhp',180},{'hujia',72}"
101,2,203,"{'maxhp',360},{'hujia',144}"
101,3,203,"{'maxhp',540},{'hujia',216}"
101,4,203,"{'maxhp',900},{'hujia',360}"
101,5,203,"{'maxhp',1800},{'hujia',720}"
102,1,203,"{'maxhp',360},{'hujia',144}"
102,2,203,"{'maxhp',720},{'hujia',288}"
102,3,203,"{'maxhp',1080},{'hujia',432}"
102,4,203,"{'maxhp',1800},{'hujia',720}"
102,5,203,"{'maxhp',3600},{'hujia',1440}"
103,1,203,"{'maxhp',600},{'hujia',240}"
103,2,203,"{'maxhp',1200},{'hujia',480}"
103,3,203,"{'maxhp',1800},{'hujia',720}"
103,4,203,"{'maxhp',3000},{'hujia',1200}"
103,5,203,"{'maxhp',6000},{'hujia',2400}"
104,1,203,"{'maxhp',900},{'hujia',360}"
104,2,203,"{'maxhp',1800},{'hujia',720}"
104,3,203,"{'maxhp',2700},{'hujia',1080}"
104,4,203,"{'maxhp',4500},{'hujia',1800}"
104,5,203,"{'maxhp',9000},{'hujia',3600}"
105,1,203,"{'maxhp',1320},{'hujia',528}"
105,2,203,"{'maxhp',2640},{'hujia',1056}"
105,3,203,"{'maxhp',3960},{'hujia',1584}"
105,4,203,"{'maxhp',6600},{'hujia',2640}"
105,5,203,"{'maxhp',13200},{'hujia',5280}"
105,6,203,"{'maxhp',33000},{'hujia',13200}"
106,1,203,"{'maxhp',1800},{'hujia',720}"
106,2,203,"{'maxhp',3600},{'hujia',1440}"
106,3,203,"{'maxhp',5400},{'hujia',2160}"
106,4,203,"{'maxhp',9000},{'hujia',3600}"
106,5,203,"{'maxhp',18000},{'hujia',7200}"
106,6,203,"{'maxhp',45000},{'hujia',18000}"
107,1,203,"{'maxhp',2340},{'hujia',936}"
107,2,203,"{'maxhp',4680},{'hujia',1872}"
107,3,203,"{'maxhp',7020},{'hujia',2808}"
107,4,203,"{'maxhp',11700},{'hujia',4680}"
107,5,203,"{'maxhp',23400},{'hujia',9360}"
107,6,203,"{'maxhp',58500},{'hujia',23400}"
108,1,203,"{'maxhp',3000},{'hujia',1200}"
108,2,203,"{'maxhp',6000},{'hujia',2400}"
