套装ID,灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,得到多少游戏币,得到什么物品,得到多少个物品
Suit_kn,Quality_kn,money_n,itemid_n,itemnum_n
100,1,120,60001,1
100,2,240,60001,2
100,3,360,60001,3
100,4,480,60001,4
101,1,120,60001,1
101,2,240,60001,2
101,3,360,60001,3
101,4,480,60001,4
102,1,120,60001,2
102,2,240,60001,4
102,3,360,60001,6
102,4,480,60001,8
103,1,120,60001,2
103,2,240,60001,4
103,3,360,60001,6
103,4,480,60001,8
104,1,180,60001,3
104,2,360,60001,6
104,3,540,60001,9
104,4,720,60001,12
105,1,180,60001,3
105,2,360,60001,6
105,3,540,60001,9
105,4,720,60001,12
106,1,180,60001,3
106,2,360,60001,6
106,3,540,60001,9
106,4,720,60001,12
107,1,240,60001,4
107,2,480,60001,8
107,3,720,60001,12
107,4,960,60001,16
108,1,240,60001,4
108,2,480,60001,8
108,3,720,60001,12
108,4,960,60001,16
109,1,300,60001,5
109,2,600,60001,10
109,3,900,60001,15
109,4,1200,60001,20
110,1,300,60001,5
110,2,600,60001,10
110,3,900,60001,15
110,4,1200,60001,20
111,1,360,60001,6
111,2,720,60001,12
111,3,1080,60001,18
111,4,1440,60001,24
112,1,360,60001,6
112,2,720,60001,12
112,3,1080,60001,18
112,4,1440,60001,24
113,1,420,60001,7
113,2,840,60001,14
113,3,1260,60001,21
113,4,1680,60001,28
101,5,,60019,5
102,5,,60019,5
103,5,,60019,15
104,5,,60019,40
105,5,,60019,100
106,5,,60019,240
107,5,,60019,600
108,5,,60019,1500
109,5,,60019,3600
110,5,,60019,7800
111,5,,60019,13600
112,5,,60019,21800
113,5,,60019,33600
101,6,,60007,30
102,6,,60007,30
103,6,,60007,30
104,6,,60007,30
105,6,,60007,30
106,6,,60007,60
107,6,,60007,110
108,6,,60007,190
109,6,,60007,300
110,6,,60007,440
111,6,,60007,610
112,6,,60007,820
113,6,,60007,1090
901,5,,60019,100
