套装ID,灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,子类型,初始值百分比,"极品属性属性洗练随机条数{种类,权重}","极品属性种类库{种类,权重}",种类对应的基础值 种类=最大值,"种类对应的增长范围{种类,{{0.01,0.1,100},{0.1,0.2,100},{0.2,0.5,1}}}",种类洗练需要的物品,属性洗练需要的物品
Suit_n,Quality_n,subtype_n,init_n,wordNum_t,refineWord_t,wordBase_t,word_range_t,typeId,propertyId
105,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=55000,[""demage""]=6875,[""hujia""]=6875,[""speed""]=275,[""hitrate""]=5500,[""dodge""]=5500,[""critrate""]=5500,[""critratedec""]=5500,[""chuanjia""]=2750,[""chuanjiadec""]=2750","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
106,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=61600,[""demage""]=7700,[""hujia""]=7700,[""speed""]=308,[""hitrate""]=6160,[""dodge""]=6160,[""critrate""]=6160,[""critratedec""]=6160,[""chuanjia""]=3080,[""chuanjiadec""]=3080","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
107,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=68200,[""demage""]=8525,[""hujia""]=8525,[""speed""]=341,[""hitrate""]=6820,[""dodge""]=6820,[""critrate""]=6820,[""critratedec""]=6820,[""chuanjia""]=3410,[""chuanjiadec""]=3410","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
108,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=74800,[""demage""]=9350,[""hujia""]=9350,[""speed""]=374,[""hitrate""]=7480,[""dodge""]=7480,[""critrate""]=7480,[""critratedec""]=7480,[""chuanjia""]=3740,[""chuanjiadec""]=3740","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
109,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=81400,[""demage""]=10175,[""hujia""]=10175,[""speed""]=407,[""hitrate""]=8140,[""dodge""]=8140,[""critrate""]=8140,[""critratedec""]=8140,[""chuanjia""]=4070,[""chuanjiadec""]=4070","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
110,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=88000,[""demage""]=11000,[""hujia""]=11000,[""speed""]=440,[""hitrate""]=8800,[""dodge""]=8800,[""critrate""]=8800,[""critratedec""]=8800,[""chuanjia""]=4400,[""chuanjiadec""]=4400","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
111,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=94600,[""demage""]=11825,[""hujia""]=11825,[""speed""]=473,[""hitrate""]=9460,[""dodge""]=9460,[""critrate""]=9460,[""critratedec""]=9460,[""chuanjia""]=4730,[""chuanjiadec""]=4730","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
112,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=101200,[""demage""]=12650,[""hujia""]=12650,[""speed""]=506,[""hitrate""]=10120,[""dodge""]=10120,[""critrate""]=10120,[""critratedec""]=10120,[""chuanjia""]=5060,[""chuanjiadec""]=5060","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
113,6,201,0.090909,"{1,400},{2,100}","{""demage"",100},{""hujia"",100},{""maxhp"",100},{""speed"",100},{""hitrate"",100},{""dodge"",100},{""critrate"",100},{""critratedec"",100},{""chuanjia"",100},{""chuanjiadec"",100}","[""maxhp""]=107800,[""demage""]=13475,[""hujia""]=13475,[""speed""]=539,[""hitrate""]=10780,[""dodge""]=10780,[""critrate""]=10780,[""critratedec""]=10780,[""chuanjia""]=5390,[""chuanjiadec""]=5390","[""maxhp""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""demage""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hujia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""speed""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""hitrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""dodge""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critrate""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""critratedec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjia""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}},[""chuanjiadec""]={{0.01,0.0101,500},{0.00909,0.0091,250},{0.008273,0.0083,500}}",60010,60009
