套装id,子类型,扣除物品的id,碎片,银两
Id_kn,subtype_kn,entryId,fragment_n,funds_n
105,201,60007,30,250000
106,201,60007,50,400000
107,201,60007,80,550000
108,201,60007,110,700000
109,201,60007,140,850000
110,201,60007,170,1000000
111,201,60007,210,1150000
112,201,60007,270,1300000
105,202,60007,30,250000
106,202,60007,50,400000
107,202,60007,80,550000
108,202,60007,110,700000
109,202,60007,140,850000
110,202,60007,170,1000000
111,202,60007,210,1150000
112,202,60007,270,1300000
105,203,60007,30,250000
106,203,60007,50,400000
107,203,60007,80,550000
108,203,60007,110,700000
109,203,60007,140,850000
110,203,60007,170,1000000
111,203,60007,210,1150000
112,203,60007,270,1300000
105,204,60007,30,250000
106,204,60007,50,400000
107,204,60007,80,550000
108,204,60007,110,700000
109,204,60007,140,850000
110,204,60007,170,1000000
111,204,60007,210,1150000
112,204,60007,270,1300000
105,205,60007,30,250000
106,205,60007,50,400000
107,205,60007,80,550000
108,205,60007,110,700000
109,205,60007,140,850000
110,205,60007,170,1000000
111,205,60007,210,1150000
112,205,60007,270,1300000
105,206,60007,30,250000
106,206,60007,50,400000
107,206,60007,80,550000
108,206,60007,110,700000
109,206,60007,140,850000
110,206,60007,170,1000000
111,206,60007,210,1150000
112,206,60007,270,1300000
105,207,60007,30,250000
106,207,60007,50,400000
107,207,60007,80,550000
108,207,60007,110,700000
109,207,60007,140,850000
110,207,60007,170,1000000
111,207,60007,210,1150000
112,207,60007,270,1300000
105,208,60007,30,250000
106,208,60007,50,400000
107,208,60007,80,550000
108,208,60007,110,700000
109,208,60007,140,850000
110,208,60007,170,1000000
111,208,60007,210,1150000
112,208,60007,270,1300000
105,209,60007,30,250000
106,209,60007,50,400000
107,209,60007,80,550000
108,209,60007,110,700000
109,209,60007,140,850000
110,209,60007,170,1000000
111,209,60007,210,1150000
112,209,60007,270,1300000
105,210,60007,30,250000
106,210,60007,50,400000
107,210,60007,80,550000
108,210,60007,110,700000
109,210,60007,140,850000
110,210,60007,170,1000000
111,210,60007,210,1150000
112,210,60007,270,1300000
