索引,法宝名称,名称,物品图标,堆叠数量,物品等级,类型(通用装备的大类2),子类型,神魂类型,职业类型
ItemEntry_kn,readme_s,name_s,Icon_n,overlap,level,type_n,subtype_n,shenhunType,vocation
70001,杀气诀,杀气诀,75003,1,1,5,801,11,10003
70002,致命魂毒,致命魂毒,75004,1,1,5,801,11,10003
70003,防守反击,防守反击,75004,1,1,5,801,11,10003
70004,狂暴三连,狂暴三连,75005,1,1,5,801,11,10003
70005,灼热炎域,灼热炎域,76005,1,1,5,801,11,10002
70006,创伤,创伤,70002,1,1,5,801,11,
70007,机遇打击,机遇打击,70001,1,1,5,801,11,
70008,致命一击,致命一击,70005,1,1,5,801,11,
70009,乾天罡气,乾天罡气,70004,1,1,5,801,11,
70010,风暴打击,风暴打击,70005,1,1,5,801,11,
70011,治疗波,治疗波,70004,1,1,5,801,11,
70012,趁人之危,趁人之危,70003,1,1,5,801,11,
71001,安神,安神,74003,1,1,5,801,12,10001
71002,蛊惑,蛊惑,74004,1,1,5,801,12,10001
71003,定身反击,定身反击,74005,1,1,5,801,12,10001
71004,济世救人,济世救人,76004,1,1,5,801,12,10002
71005,扰乱士气,扰乱士气,71003,1,1,5,801,12,
71006,欺凌,欺凌,71002,1,1,5,801,12,
72001,重伤,重伤,76003,1,1,5,801,13,10002
72002,慈悲之道,慈悲之道,76004,1,1,5,801,13,10002
72003,复仇,复仇,72004,1,1,5,801,13,
72004,战争狂热,战争狂热,72005,1,1,5,801,13,
72005,舍己为人,舍己为人,72005,1,1,5,801,13,
72006,斗志复兴,斗志复兴,72001,1,1,5,801,13,
72007,阎罗令,阎罗令,72005,1,1,5,801,13,
73001,护驾,护驾,73002,1,1,5,801,14,
73002,生命连接,生命连接,73001,1,1,5,801,14,
73003,嘲讽,嘲讽,74004,1,1,5,801,14,10001
73004,伤害反弹,伤害反弹,73003,1,1,5,801,14,
