法宝ID,灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,装备基础属性,技能,技能名称,技能描述,技能显示,技能效果,属性效果
ItemEntry_kn,Quality_kn,effects_t,skillId,skillName_s,skillTips_s,skillattt_t,attrEffects_t,skillAttri_t
19001,1,"{'maxhp',320}",,,,,,
19002,1,"{'demage',40}",,,,,,
19003,1,"{'hujia',40}",,,,,,
19004,1,"{'speed',1}",,,,,,
19005,1,"{'hitrate',30}",,,,,,
19006,1,"{'dodge',30}",,,,,,
19007,1,"{'chuanjia',20}",,,,,,
19008,1,"{'chuanjiadec',20}",,,,,,
19001,2,"{'maxhp',480}",,,,,,
19002,2,"{'demage',60}",,,,,,
19003,2,"{'hujia',60}",,,,,,
19004,2,"{'speed',2}",,,,,,
19005,2,"{'critrate',40}",,,,,,
19006,2,"{'critratedec',40}",,,,,,
19007,2,"{'chuanjia',30}",,,,,,
19008,2,"{'chuanjiadec',30}",,,,,,
19001,3,"{'maxhp',640}",,,,,,
19002,3,"{'demage',80}",,,,,,
19003,3,"{'hujia',80}",,,,,,
19004,3,"{'speed',3}",,,,,,
19005,3,"{'critrate',60}",,,,,,
19006,3,"{'critratedec',60}",,,,,,
19007,3,"{'chuanjia',40}",,,,,,
19008,3,"{'chuanjiadec',40}",,,,,,
19001,4,"{'maxhp',800}",,,,,,
19002,4,"{'demage',100}",,,,,,
19003,4,"{'hujia',100}",,,,,,
19004,4,"{'speed',4}",,,,,,
19005,4,"{'critrate',80}",,,,,,
19006,4,"{'critratedec',80}",,,,,,
19007,4,"{'chuanjia',50}",,,,,,
19008,4,"{'chuanjiadec',50}",,,,,,
19001,5,"{'maxhp',1200},{'demage',240}",,无视防御,【固定】增加%d点无视防御,"{0,9,{800}},{10,19,{900}},{20,29,{1000}},{30,49,{1100}},{50,50,{1200}},",,"{0,9,{'chuanjia',800}},{10,19,{'chuanjia',900}},{20,29,{'chuanjia',1000}},{30,49,{'chuanjia',1100}},{50,50,{'chuanjia',1200}},"
19002,5,"{'maxhp',1200},{'demage',240}",,减免无视,【固定】增加%d点减免无视,"{0,9,{800}},{10,19,{900}},{20,29,{1000}},{30,49,{1100}},{50,50,{1200}},",,"{0,9,{'chuanjiadec',800}},{10,19,{'chuanjiadec',900}},{20,29,{'chuanjiadec',1000}},{30,49,{'chuanjiadec',1100}},{50,50,{'chuanjiadec',1200}},"
19003,5,"{'demage',240},{'hujia',120}",,pvp伤加,【固定】增加%spvp伤加,"{0,9,{0.02}},{10,19,{0.025}},{20,29,{0.03}},{30,49,{0.035}},{50,50,{0.04}},",,"{0,9,{'pvpattinc',0.02}},{10,19,{'pvpattinc',0.025}},{20,29,{'pvpattinc',0.03}},{30,49,{'pvpattinc',0.035}},{50,50,{'pvpattinc',0.04}},"
19004,5,"{'demage',240},{'hujia',120}",,pvp伤减,【固定】增加%spvp伤减,"{0,9,{0.02}},{10,19,{0.025}},{20,29,{0.03}},{30,49,{0.035}},{50,50,{0.04}},",,"{0,9,{'pvpattdec',0.02}},{10,19,{'pvpattdec',0.025}},{20,29,{'pvpattdec',0.03}},{30,49,{'pvpattdec',0.035}},{50,50,{'pvpattdec',0.04}},"
