#光效ID,光效名称,模型ID,绑定骨骼,绑定次序,音效,X坐标偏移（以站在左边的战斗角色为准）,Y坐标偏移,特效播放速度
Id_kn,Name_s,model_n,bindBone_s,bindOrder_n,sound_s,offx_n,offy_n,speed_n
10001,受击,1001,,,,,,
10002,暴击,1002,,,,,,
10003,冰技能01,1003,,,,,,
10004,缠绕01,1004,,,,,,
10005,刀光01,1005,,,,,,
10006,刀光02,1006,,,,,,
10008,风01,1008,,,,,,
10009,风02,1009,,,,,,
10010,风03,1010,,,,,,
10011,风04,1011,,,,,,
10012,光技能01,1012,,,,,,
10013,光技能02,1013,,,,,,
10014,光技能03,1014,,,,,,
10015,光技能04,1015,,,,,,
10016,光技能05,1016,,,,,,
10017,光技能06,1017,,,,,,
10018,光技能07,1018,,,,,,
10019,光技能08,1019,,,,,,
10020,光技能09,1020,,,,,,
10021,光技能10,1021,,,,,,
10022,光技能11,1022,,,,,,
10023,花技能01,1023,,,,,,
10024,花技能02,1024,,,,,,
10025,花技能03,1025,,,,,,
10026,花技能04,1026,,,,,,
10027,火技能01,1027,,,,,,
10028,火技能02,1028,,,,,,
10029,火技能03,1029,,,,,,
10030,雷击01,1030,,,,,,
10031,雷击02,1031,,,,,,
10032,雷击03,1032,,,,,,
10033,雷击04,1033,,,,,,
10034,雷击05,1034,,,,,,
10035,雷击06,1035,,,,,,
10036,雷击07,1036,,,,,,
10037,落石01,1037,,,,,,
10038,落石02,1038,,,,,,
10039,水技能01,1039,,,,,,
10040,水技能02,1040,,,,,,
10041,水技能03,1041,,,,,,
10042,水技能04,1042,,,,,,
10043,雪技能01,1043,,,,,,
10044,网01,1044,,,,,,
10045,受击02,1045,,,,,,
10046,冰02,1046,,,,,,
10047,冰03,1047,,,,,,
10048,冰04,1048,,,,,,
10049,刀光03,1049,,,,,,
10050,毒01,1050,,,,,,
10051,光12,1051,,,,,,
10052,光13,1052,,,,,,
10053,光14,1053,,,,,,
10054,光15,1054,,,,,,
10055,火04,1055,,,,,,
10056,火05,1056,,,,,,
10057,雷08,1057,,,,,,
10058,毒02,1058,,,,,,
10059,雷09,1059,,,,,,
10060,火06,1060,,,,,,
10061,水05,1061,,,,,,
10062,蛇01,1062,,,,,,
10063,混沌,1063,,,,,,
10064,靡籁,1064,,,,,,
10065,神武技能01,1065,,,,,,
10066,神武技能02,1066,,,,,,
10067,神武技能03,1067,,,,,,
10068,神武技能04,1068,,,,,,
10069,神武技能05,1069,,,,,,
10070,神武技能06,1070,,,,,,
