模型,名称,攻击范围（填格子数）,身位框（填格子数）,（1，女的；2，男生）
Id_kn,Name_s,AttackScope_n,BodyScope_n,sex_n
23001,女儿国王01,10,3,1
17001,月光碟,15,3,1
17002,炼丹童子,15,3,2
17003,桃花仙子,15,3,1
17004,圣灵蝶,15,3,1
17005,流浪剑客,10,3,2
17006,多闻天王,10,3,2
17007,增长天王,10,3,2
17008,阎罗王,10,3,2
17009,百花仙子,15,3,1
17010,雷震子,10,3,2
20001,忠勇兔,15,3,1
20002,粉红兔,10,3,1
20003,鲛人,15,3,1
20004,狐妖,10,3,1
20005,鱼精,15,3,1
20006,剑灵,10,3,1
20007,鲨鱼精,15,3,1
20008,棕熊,10,3,1
20009,熊精,10,3,1
20010,蟹精,10,3,1
20011,小白虎,15,3,1
20012,剑邪,15,3,1
20013,重明鸟,10,3,1
20014,巨灵,15,3,1
20015,白熊精,10,3,1
20016,九尾狐,15,3,1
20017,龙乌,15,3,1
20018,晶魂,10,3,1
20019,麒麟,15,3,1
20020,黑风小妖,10,3,1
20021,熊猫,10,3,1
20022,黑水玄蛇,10,3,1
20023,火灵,10,3,1
20024,猿猴,10,3,1
20025,地狱三头犬,10,3,1
20026,星魔,15,3,1
20027,业魔,15,3,1
20028,龙象精,15,3,1
20029,白象精,15,3,1
20030,冰龙,15,3,1
20031,剑侠兔,15,3,1
20032,封蛇,15,3,1
20033,鬼武者,10,3,1
20034,黑风老妖,10,3,1
20035,招财猫,15,3,1
20036,酒仙,15,3,1
20037,狻猊,15,3,1
20038,水龙,10,3,1
20039,朱雀,10,3,1
20040,青龙,15,3,1
20041,白虎,10,3,1
20042,玄武,10,3,1
20043,猪刚鬣,15,3,1
20044,虎力大仙,15,3,1
20045,蓝巨人,15,3,1
20046,狮驼,15,3,1
20047,鹿力大仙,15,3,1
20048,申公豹,15,3,1
20049,琵琶精,15,3,1
20050,天神,15,3,1
20051,吕洞宾,15,3,1
20052,嫦娥,15,3,1
20053,三太子,15,3,1
20054,斗战胜佛,15,3,1
20055,太上老君,15,3,1
20056,九尾狐,15,3,1
20057,变异神将,15,3,1
20058,象神,15,3,1
90001,神武男,10,3,2
90002,逍遥男,15,3,2
90003,心魔男,10,3,2
91001,神武女,10,3,1
91002,逍遥女,10,3,1
91003,心魔女,10,3,1
100001,小乌龟,10,3,1
100002,强盗,10,3,1
100003,小骷髅,15,3,1
100004,跳跳鼠,15,3,1
100005,蚌精,15,3,1
100006,蛮牛,15,3,1
100007,石狮,15,3,1
100008,白熊精,15,3,1
100009,异面怪,15,3,1
100010,蝶精灵,10,3,1
100011,寒霜狼,10,3,1
100012,剑魂,15,3,1
100013,古树精,15,3,1
100014,林妖,15,3,1
100015,麟鹿,10,3,1
100016,冰火螳螂,10,3,1
100017,炎魔,15,3,1
100018,邪毒蜂,10,3,1
100019,小僵尸,10,3,1
100020,瞌睡蛇,15,3,1
100021,五毒蝎,15,3,1
100022,巫龟,15,3,1
100023,灵猴,15,3,1
100024,石巨人,15,3,1
100025,魔爪花,10,3,1
100026,木鱼怪,15,3,1
100027,硬壳龟,10,3,1
100028,利刃猿,10,3,1
100029,山精,10,3,1
100030,宠物剑邪,10,3,1
100031,上官清,10,3,1
100032,逸琼玄女,10,3,1
100033,玉冥真人,15,3,1
100034,云中子,15,3,1
100035,地域三头犬,15,3,1
100036,靡籁,15,3,1
100037,混沌,15,3,1
100038,穷奇,15,3,1
100039,深渊之龙,15,3,1
100040,魅,10,3,1
100041,魑,10,3,1
110001,靡籁,15,3,1
110002,混沌,15,3,1
110003,穷奇,15,3,1
110004,深渊之龙,10,3,1
110005,魅,10,3,1
110006,魑,15,3,1
