#Id,名字,特效ID,特效ID2,模型ID,模型ID2(性别女模型),坐骑模型偏移高度,称号(神位)
ID_kn,name_c,effectId_n,effectId2_n,model_n,model2_n,offy_n,image_s
15001,HeroRide,105001,,,,30,
15002,HeroRide,105002,,,,30,
15003,HeroRide,105003,,,,30,
15004,HeroRide,105004,,,,46,
15005,HeroRide,105005,,,,40,
15006,HeroRide,105006,,,,40,
15007,HeroRide,105007,,,,60,
15008,HeroRide,105008,,,,50,
15009,HeroRide,105009,,,,48,
15010,HeroRide,105010,,,,80,
13001,HeroWing,103001,,,,,
13002,HeroWing,103002,,,,,
13003,HeroWing,103003,,,,,
13004,HeroWing,103004,,,,,
13005,HeroWing,103005,,,,,
13006,HeroWing,103006,,,,,
13007,HeroWing,103007,,,,,
13008,HeroWing,103008,,,,,
13009,HeroWing,103009,,,,,
13010,HeroWing,103010,,,,,
13011,HeroWing,103011,,,,,
13012,HeroWing,103012,,,,,
22001,PetSouHun,202001,,,,,
22002,PetSouHun,202002,,,,,
22003,PetSouHun,202003,,,,,
22004,PetSouHun,202004,,,,,
22005,PetSouHun,202005,,,,,
22006,PetSouHun,202006,,,,,
22007,PetSouHun,202007,,,,,
22008,PetSouHun,202008,,,,,
22009,PetSouHun,202009,,,,,
22010,PetSouHun,202010,,,,,
22011,PetSouHun,202011,,,,,
22012,PetSouHun,202012,,,,,
22013,PetSouHun,202013,,,,,
22014,PetSouHun,202014,,,,,
22015,PetSouHun,202015,,,,,
18001,XianLvFaZhen,108001,,,,,
18002,XianLvFaZhen,108002,,,,,
18003,XianLvFaZhen,108003,,,,,
18004,XianLvFaZhen,108004,,,,,
18005,XianLvFaZhen,108005,,,,,
18006,XianLvFaZhen,108006,,,,,
18007,XianLvFaZhen,108007,,,,,
18008,XianLvFaZhen,108008,,,,,
18009,XianLvFaZhen,108009,,,,,
18010,XianLvFaZhen,108010,,,,,
18011,XianLvFaZhen,108011,,,,,
18012,XianLvFaZhen,108012,,,,,
18013,XianLvFaZhen,108013,,,,,
18014,XianLvFaZhen,108014,,,,,
18015,XianLvFaZhen,108015,,,,,
19001,XianLvXianWei,,,,,,xianWei_icon01
19002,XianLvXianWei,,,,,,xianWei_icon02
19003,XianLvXianWei,,,,,,xianWei_icon03
19004,XianLvXianWei,,,,,,xianWei_icon04
19005,XianLvXianWei,,,,,,xianWei_icon05
19006,XianLvXianWei,,,,,,xianWei_icon06
19007,XianLvXianWei,,,,,,xianWei_icon07
19008,XianLvXianWei,,,,,,xianWei_icon08
19009,XianLvXianWei,,,,,,xianWei_icon09
19010,XianLvXianWei,,,,,,xianWei_icon10
19011,XianLvXianWei,,,,,,xianWei_icon11
19012,XianLvXianWei,,,,,,xianWei_icon12
19013,XianLvXianWei,,,,,,xianWei_icon13
19014,XianLvXianWei,,,,,,xianWei_icon14
19015,XianLvXianWei,,,,,,xianWei_icon15
11001,TianXian,,,11001,,,
11002,TianXian,,,11002,,,
11003,TianXian,,,11003,,,
11004,TianXian,,,11004,,,
11005,TianXian,,,11005,,,
11006,TianXian,,,11006,,,
11007,TianXian,,,11007,,,
11008,TianXian,,,11008,,,
11009,TianXian,,,11009,,,
11010,TianXian,,,11010,,,
12001,TianXianWeapon,102001,102101,,,,
12002,TianXianWeapon,102002,102102,,,,
12003,TianXianWeapon,102003,102103,,,,
12004,TianXianWeapon,102004,102104,,,,
12005,TianXianWeapon,102005,102105,,,,
12006,TianXianWeapon,102006,102106,,,,
12007,TianXianWeapon,102007,102107,,,,
12008,TianXianWeapon,102008,102108,,,,
12009,TianXianWeapon,102009,102109,,,,
12010,TianXianWeapon,102010,102110,,,,
12011,TianXianWeapon,102011,102111,,,,
12012,TianXianWeapon,102012,102112,,,,
12013,TianXianWeapon,102012,102112,,,,
12014,TianXianWeapon,102013,102113,,,,
12015,TianXianWeapon,102013,102113,,,,
23001,TianNv,,,23001,,,
24001,TianNvXianQi,204001,,,,,
24002,TianNvXianQi,204002,,,,,
24003,TianNvXianQi,204003,,,,,
24004,TianNvXianQi,204004,,,,,
24005,TianNvXianQi,204005,,,,,
24006,TianNvXianQi,204006,,,,,
24007,TianNvXianQi,204007,,,,,
24008,TianNvXianQi,204008,,,,,
24009,TianNvXianQi,204009,,,,,
24010,TianNvXianQi,204010,,,,,
24011,TianNvXianQi,204011,,,,,
24012,TianNvXianQi,204012,,,,,
24013,TianNvXianQi,204013,,,,,
24014,TianNvXianQi,204014,,,,,
24015,TianNvXianQi,204015,,,,,
26001,TianNvLingQi,206001,,,,,
26002,TianNvLingQi,206002,,,,,
26003,TianNvLingQi,206003,,,,,
26004,TianNvLingQi,206004,,,,,
26005,TianNvLingQi,206005,,,,,
26006,TianNvLingQi,206006,,,,,
26007,TianNvLingQi,206007,,,,,
26008,TianNvLingQi,206008,,,,,
26009,TianNvLingQi,206009,,,,,
26010,TianNvLingQi,206010,,,,,
26011,TianNvLingQi,206011,,,,,
26012,TianNvLingQi,206012,,,,,
26013,TianNvLingQi,206013,,,,,
26014,TianNvLingQi,206014,,,,,
26015,TianNvLingQi,206015,,,,,
25001,TianNvHuaNian,205001,,,,,
25002,TianNvHuaNian,205002,,,,,
25003,TianNvHuaNian,205003,,,,,
25004,TianNvHuaNian,205004,,,,,
25005,TianNvHuaNian,205005,,,,,
25006,TianNvHuaNian,205006,,,,,
25007,TianNvHuaNian,205007,,,,,
25008,TianNvHuaNian,205008,,,,,
25009,TianNvHuaNian,205009,,,,,
25010,TianNvHuaNian,205010,,,,,
25011,TianNvHuaNian,205011,,,,,
25012,TianNvHuaNian,205012,,,,,
25013,TianNvHuaNian,205013,,,,,
25014,TianNvHuaNian,205014,,,,,
25015,TianNvHuaNian,205015,,,,,
30001,HeroRide,300001,,,,30,
30002,HeroRide,300002,,,,40,
30003,HeroRide,300003,,,,80,
30004,HeroRide,300004,,,,40,
30005,HeroRide,300005,,,,40,
30006,HeroRide,300006,,,,80,
30007,HeroRide,300007,,,,60,
30008,HeroRide,300008,,,,73,
40001,HeroWing,400001,,,,,
40002,HeroWing,400002,,,,,
40003,HeroWing,400003,,,,,
50001,TianXian,,,50001,,,
50002,TianXian,,,50002,,,
50003,TianXian,,,50003,,,
50004,TianXian,,,50004,,,
50005,TianXian,,,50005,,,
50006,TianXian,,,50006,,,
50007,TianXian,,,50007,,,
50008,TianXian,,,50008,,,
50009,TianXian,,,50009,,,
50010,TianXian,,,50010,,,
50011,TianXian,,,50011,,,
50012,TianXian,,,50012,,,
60001,TianXianWeapon,600001,601001,,,,
60002,TianXianWeapon,600002,601002,,,,
60003,TianXianWeapon,600003,601003,,,,
60004,TianXianWeapon,600004,601004,,,,
60005,TianXianWeapon,600005,601005,,,,
60006,TianXianWeapon,600006,601006,,,,
60007,TianXianWeapon,600007,601007,,,,
60008,TianXianWeapon,600008,601008,,,,
60009,TianXianWeapon,600009,601009,,,,
60010,TianXianWeapon,600010,601010,,,,
70001,TianNv,,,70001,,,
70002,TianNv,,,70002,,,
80001,Hero,,,,,,chengHao_icon09
80002,Hero,,,,,,chengHao_icon01
80003,Hero,,,,,,chengHao_icon02
80004,Hero,,,,,,chengHao_icon10
80005,Hero,,,,,,chengHao_icon11
80006,Hero,,,,,,chengHao_icon03
80007,Hero,,,,,,chengHao_icon12
80008,Hero,,,,,,chengHao_icon04
80009,Hero,,,,,,chengHao_icon05
80010,Hero,,,,,,chengHao_icon18
80011,Hero,,,,,,chengHao_icon06
80012,Hero,,,,,,chengHao_icon13
80013,Hero,,,,,,chengHao_icon07
80014,Hero,,,,,,chengHao_icon19
80015,Hero,,,,,,chengHao_icon24
80016,Hero,,,,,,chengHao_icon14
80017,Hero,,,,,,chengHao_icon20
80018,Hero,,,,,,chengHao_icon15
80019,Hero,,,,,,chengHao_icon28
80020,Hero,,,,,,chengHao_icon08
80021,Hero,,,,,,chengHao_icon21
80022,Hero,,,,,,chengHao_icon25
80023,Hero,,,,,,chengHao_icon27
80024,Hero,,,,,,chengHao_icon16
80025,Hero,,,,,,chengHao_icon22
80026,Hero,,,,,,chengHao_icon29
80027,Hero,,,,,,chengHao_icon30
80028,Hero,,,,,,chengHao_icon17
80029,Hero,,,,,,chengHao_icon26
80030,Hero,,,,,,chengHao_icon23
80031,Hero,,,,,,chengHao_icon31
80032,Hero,,,,,,chengHao_icon32
80033,Hero,,,,,,chengHao_icon33
80034,Hero,,,,,,chengHao_icon34
80035,Hero,,,,,,chengHao_icon35
80036,Hero,,,,,,chengHao_icon36
80037,Hero,,,,,,chengHao_icon37
80038,Hero,,,,,,chengHao_icon38
80039,Hero,,,,,,chengHao_icon39
80040,Hero,,,,,,chengHao_icon40
80041,Hero,,,,,,chengHao_icon41
80042,Hero,,,,,,chengHao_icon42
80043,Hero,,,,,,chengHao_icon43
80044,Hero,,,,,,chengHao_icon44
80045,Hero,,,,,,chengHao_icon45
80046,Hero,,,,,,chengHao_icon46
80047,Hero,,,,,,chengHao_icon47
80048,Hero,,,,,,chengHao_icon48
90010,HeroEquip,900010,901010,,,,
90011,HeroEquip,900011,901011,,,,
90012,HeroEquip,900012,901012,,,,
90013,HeroEquip,900013,901013,,,,
90014,HeroEquip,900014,901014,,,,
90015,HeroEquip,900015,901015,,,,
90016,HeroEquip,900016,901016,,,,
90017,HeroEquip,900017,901017,,,,
