#顺序,动作,动作参数,重复执行action,说明, 
ActionIndex_n,Action_s,Param_t,Repeat_n,des_c,
1,VisibleWnd,"[""name""]=""FightClientBottomFrame"", [""visible""]=true, ",1,,
2,SetPlayerXY,"[""y""]=700, [""x""]=10, [""var""]=""2_18"", ",1,,
2,SetPlayerXY,"[""y""]=700, [""x""]=10, [""var""]=""2_6"", ",1,,
2,SetPlayerXY,"[""y""]=540, [""x""]=10, [""var""]=""2_4"", ",1,,
2,SetPlayerXY,"[""y""]=400, [""x""]=240, [""var""]=""2_2"", ",1,,
2,SetPlayerXY,"[""y""]=470, [""x""]=10, [""var""]=""2_9"", ",1,,
2,SetPlayerXY,"[""y""]=320, [""x""]=10, [""var""]=""2_7"", ",1,,
2,SetPlayerXY,"[""y""]=400, [""x""]=10, [""var""]=""2_14"", ",1,,
2,SetPlayerXY,"[""y""]=540, [""x""]=10, [""var""]=""2_16"", ",1,,
2,SetPlayerXY,"[""y""]=540, [""x""]=240, [""var""]=""2_4"", ",1,,
2,SetPlayerXY,"[""y""]=620, [""x""]=10, [""var""]=""2_11"", ",1,,
3,SetPlayerXY,"[""y""]=320, [""x""]=480, [""var""]=""1_7"", ",1,,
3,SetPlayerXY,"[""y""]=620, [""x""]=480, [""var""]=""1_11"", ",1,,
3,SetPlayerXY,"[""y""]=700, [""x""]=590, [""var""]=""1_18"", ",1,,
3,SetPlayerXY,"[""y""]=400, [""x""]=590, [""var""]=""1_14"", ",1,,
3,SetPlayerXY,"[""y""]=700, [""x""]=400, [""var""]=""1_6"", ",1,,
3,SetPlayerXY,"[""y""]=400, [""x""]=400, [""var""]=""1_2"", ",1,,
3,SetPlayerXY,"[""y""]=540, [""x""]=590, [""var""]=""1_16"", ",1,,
4,MovePlayer,"[""y""]=700, [""x""]=50, [""var""]=""2_18"", [""speed""]=1, [""dir""]=0, [""coor""]=""view"", [""camera""]=false, ",1,,
4,MovePlayer,"[""y""]=320, [""x""]=160, [""var""]=""2_7"", [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
4,MovePlayer,"[""y""]=470, [""x""]=160, [""var""]=""2_9"", [""speed""]=1, [""dir""]=0, [""coor""]=""view"", [""camera""]=false, ",1,,
4,MovePlayer,"[""y""]=700, [""x""]=240, [""var""]=""2_6"", [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
4,MovePlayer,"[""y""]=400, [""x""]=50, [""var""]=""2_14"", [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
4,MovePlayer,"[""y""]=540, [""x""]=50, [""var""]=""2_16"", [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
4,MovePlayer,"[""y""]=620, [""x""]=160, [""var""]=""2_11"", [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
4,MovePlayer,"[""y""]=540, [""x""]=240, [""var""]=""2_4"", [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
4,Speak,"[""text""]=""没有人可以阻止我带回佐藤助，这是我的忍道。"", [""showTime""]=3000, [""var""]=""2_18"", ",1,,
8,Speak,"[""filp""]=true, [""text""]=""没有谁可以阻止我放弃任务，这是我的信念！（这样对称说话果然很有气势，哈哈哈）"", [""showTime""]=4000, [""var""]=""2_2"", ",1,,
