#buff_id,buff名称,buff图标id,buff特效ID,一次性特效ID,特效缩放,限制发招,效果索引,飘字图片名列表（获得BUFF时出现）,说明
id_kn,name_s,icon_id_n,effect_t,oneceEffect_t,scaleList_t,marked_s,paramList_t,charaterList_t,read_c
10001,下回合伤害提升30%,,,10213,,,,,下回合伤害提升30%
10002,下回合伤害提升10%,,,10213,,,,,下回合伤害提升10%
10003,下回合伤害提升30%,,,10213,,,,,下回合伤害提升30%
10004,下回合伤害提升10%,,,10213,,,,,下回合伤害提升10%
10005,下回合伤害提升30%,,,10213,,,,,下回合伤害提升30%
10006,下回合伤害提升10%,,,10213,,,,,下回合伤害提升10%
10007,攻击触发命中提升,,,,,,,,攻击触发命中提升
10008,命中持续2回合,,,,,,,,命中持续2回合
10009,攻击触发命中提升,,,,,,,,攻击触发命中提升
10010,命中持续2回合,,,,,,,,命中持续2回合
10011,攻击触发命中提升,,,,,,,,攻击触发命中提升
10012,命中持续2回合,,,,,,,,命中持续2回合
10013,攻击触发命中提升,,,,,,,,攻击触发命中提升
10014,命中持续2回合PVP,,,,,,,,命中持续2回合PVP
10015,攻击时有概率提升30%PVE防御持续2回合,,,,,,,,攻击时有概率提升30%PVE防御持续2回合
10016,防御,,10212,,,,,,防御
10017,攻击时有概率提升30%PVE伤害持续2回合,,,,,,,,攻击时有概率提升30%PVE伤害持续2回合
10018,伤害,,,10213,,,,,伤害
10019,攻击时有概率提升50%PVP伤害持续2回合,,,,,,,,攻击时有概率提升50%PVP伤害持续2回合
10020,伤害,,,10213,,,,,伤害
10021,攻击时有概率提升50%PVP防御持续2回合,,,,,,,,攻击时有概率提升50%PVP防御持续2回合
10022,防御,,10212,,,,,,防御
10023,攻击时有概率提升50%攻击持续2回合,,,,,,,,攻击时有概率提升50%攻击持续2回合
10024,攻击,,,,,,,,攻击
10025,攻击时有概率提升30%闪避持续2回合,,,,,,,,攻击时有概率提升30%闪避持续2回合
10026,闪避,,,,,,,,闪避
